
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:01.901152: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:06.657055: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Tr: 106.63, Rewards Val: 72.02, Rewards Disc: 0.50, Rewards Eval: 117.18, Total Timesteps: 2680000 episode:133 

Rewards Tr: 89.01, Rewards Val: 75.21, Rewards Disc: 0.44, Rewards Eval: 67.93, Total Timesteps: 2700000 episode:134 

Rewards Tr: 88.67, Rewards Val: 75.72, Rewards Disc: 0.53, Rewards Eval: 104.95, Total Timesteps: 2720000 episode:135 

Rewards Tr: 86.19, Rewards Val: 82.70, Rewards Disc: 0.51, Rewards Eval: 85.19, Total Timesteps: 2740000 episode:136 

Rewards Tr: 82.73, Rewards Val: 78.43, Rewards Disc: 0.55, Rewards Eval: 141.96, Total Timesteps: 2760000 episode:137 

Rewards Tr: 94.12, Rewards Val: 95.92, Rewards Disc: 0.60, Rewards Eval: 43.53, Total Timesteps: 2780000 episode:138 

Rewards Tr: 94.67, Rewards Val: 71.32, Rewards Disc: 0.58, Rewards Eval: 118.97, Total Timesteps: 2800000 episode:139 

Rewards Tr: 92.46, Rewards Val: 81.08, Rewards Disc: 0.54, Rewards Eval: 81.34, Total Timesteps: 2820000 episode:140 

Rewards Tr: 105.27, Rewards Val: 90.96, Rewards Disc: 0.51, Rewards Eval: 137.83, Total Timesteps: 2840000 episode:141 

Rewards Tr: 99.84, Rewards Val: 111.98, Rewards Disc: 0.54, Rewards Eval: 122.84, Total Timesteps: 2860000 episode:142 

Rewards Tr: 103.35, Rewards Val: 85.71, Rewards Disc: 0.48, Rewards Eval: 69.56, Total Timesteps: 2880000 episode:143 

Rewards Tr: 116.67, Rewards Val: 97.86, Rewards Disc: 0.50, Rewards Eval: 93.55, Total Timesteps: 2900000 episode:144 

Rewards Tr: 93.11, Rewards Val: 72.01, Rewards Disc: 0.44, Rewards Eval: 59.34, Total Timesteps: 2920000 episode:145 

Rewards Tr: 92.82, Rewards Val: 96.21, Rewards Disc: 0.53, Rewards Eval: 67.12, Total Timesteps: 2940000 episode:146 

Rewards Tr: 102.45, Rewards Val: 81.07, Rewards Disc: 0.59, Rewards Eval: 110.40, Total Timesteps: 2960000 episode:147 

Rewards Tr: 117.98, Rewards Val: 85.25, Rewards Disc: 0.55, Rewards Eval: 91.66, Total Timesteps: 2980000 episode:148 

Rewards Tr: 108.41, Rewards Val: 100.19, Rewards Disc: 0.59, Rewards Eval: 139.05, Total Timesteps: 3000000 episode:149 

Rewards Tr: 115.40, Rewards Val: 78.41, Rewards Disc: 0.62, Rewards Eval: 123.84, Total Timesteps: 3020000 episode:150 

Rewards Tr: 111.15, Rewards Val: 80.08, Rewards Disc: 0.51, Rewards Eval: 116.44, Total Timesteps: 3040000 episode:151 

