For Seed: 1 

2022-02-01 15:43:33.463730: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-01 15:43:37.156946: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: -26.21, Rewards Eval: -1.23, Total Timesteps: 10000 episode:0 
Rewards Agent: 1509.09, Rewards Eval: 1531.07, Total Timesteps: 1540000 episode:153 

Rewards Agent: 1524.89, Rewards Eval: 1517.47, Total Timesteps: 1550000 episode:154 

Rewards Agent: 1490.28, Rewards Eval: 1516.20, Total Timesteps: 1560000 episode:155 

Rewards Agent: 1492.55, Rewards Eval: 1514.48, Total Timesteps: 1570000 episode:156 

Rewards Agent: 1519.73, Rewards Eval: 1506.29, Total Timesteps: 1580000 episode:157 

Rewards Agent: 1511.81, Rewards Eval: 1538.45, Total Timesteps: 1590000 episode:158 

Rewards Agent: 1527.05, Rewards Eval: 1523.86, Total Timesteps: 1600000 episode:159 

Rewards Agent: 1552.52, Rewards Eval: 1575.38, Total Timesteps: 1610000 episode:160 

Rewards Agent: 1482.69, Rewards Eval: 1569.90, Total Timesteps: 1620000 episode:161 

Rewards Agent: 1581.44, Rewards Eval: 1520.88, Total Timesteps: 1630000 episode:162 

Rewards Agent: 1533.33, Rewards Eval: 1533.02, Total Timesteps: 1640000 episode:163 

Rewards Agent: 1552.21, Rewards Eval: 1597.66, Total Timesteps: 1650000 episode:164 

Rewards Agent: 1560.15, Rewards Eval: 1532.90, Total Timesteps: 1660000 episode:165 

Rewards Agent: 1581.67, Rewards Eval: 1574.92, Total Timesteps: 1670000 episode:166 

Rewards Agent: 1589.26, Rewards Eval: 1601.38, Total Timesteps: 1680000 episode:167 

Rewards Agent: 1568.29, Rewards Eval: 1576.85, Total Timesteps: 1690000 episode:168 

Rewards Agent: 1583.77, Rewards Eval: 1680.96, Total Timesteps: 1700000 episode:169 

Rewards Agent: 1537.21, Rewards Eval: 1649.30, Total Timesteps: 1710000 episode:170 

Rewards Agent: 1618.96, Rewards Eval: 1623.65, Total Timesteps: 1720000 episode:171 

Rewards Agent: 1568.30, Rewards Eval: 1489.49, Total Timesteps: 1730000 episode:172 

Rewards Agent: 1592.59, Rewards Eval: 1654.59, Total Timesteps: 1740000 episode:173 

