
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:26.842228: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:30.650402: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: 710.24, Rewards Eval: 747.29, Total Timesteps: 1850000 episode:184 

Rewards Agent: 697.97, Rewards Eval: 657.50, Total Timesteps: 1860000 episode:185 

Rewards Agent: 707.48, Rewards Eval: 702.53, Total Timesteps: 1870000 episode:186 

Rewards Agent: 745.28, Rewards Eval: 751.82, Total Timesteps: 1880000 episode:187 

Rewards Agent: 730.13, Rewards Eval: 698.23, Total Timesteps: 1890000 episode:188 

Rewards Agent: 704.74, Rewards Eval: 716.53, Total Timesteps: 1900000 episode:189 

Rewards Agent: 723.43, Rewards Eval: 769.12, Total Timesteps: 1910000 episode:190 

Rewards Agent: 733.40, Rewards Eval: 665.29, Total Timesteps: 1920000 episode:191 

Rewards Agent: 708.90, Rewards Eval: 738.59, Total Timesteps: 1930000 episode:192 

Rewards Agent: 735.99, Rewards Eval: 726.50, Total Timesteps: 1940000 episode:193 

Rewards Agent: 712.92, Rewards Eval: 766.07, Total Timesteps: 1950000 episode:194 

Rewards Agent: 719.00, Rewards Eval: 718.86, Total Timesteps: 1960000 episode:195 

Rewards Agent: 727.69, Rewards Eval: 750.38, Total Timesteps: 1970000 episode:196 

Rewards Agent: 716.13, Rewards Eval: 773.79, Total Timesteps: 1980000 episode:197 

Rewards Agent: 726.77, Rewards Eval: 744.57, Total Timesteps: 1990000 episode:198 

Rewards Agent: 720.58, Rewards Eval: 699.13, Total Timesteps: 2000000 episode:199 

Rewards Agent: 730.90, Rewards Eval: 788.07, Total Timesteps: 2010000 episode:200 

Rewards Agent: 749.74, Rewards Eval: 721.05, Total Timesteps: 2020000 episode:201 

Rewards Agent: 765.60, Rewards Eval: 715.72, Total Timesteps: 2030000 episode:202 

Rewards Agent: 762.77, Rewards Eval: 724.36, Total Timesteps: 2040000 episode:203 

Rewards Agent: 729.24, Rewards Eval: 734.15, Total Timesteps: 2050000 episode:204 

Rewards Agent: 740.08, Rewards Eval: 792.07, Total Timesteps: 2060000 episode:205 

Rewards Agent: 775.74, Rewards Eval: 751.93, Total Timesteps: 2070000 episode:206 

Rewards Agent: 761.93, Rewards Eval: 771.62, Total Timesteps: 2080000 episode:207 

Rewards Agent: 757.30, Rewards Eval: 791.09, Total Timesteps: 2090000 episode:208 

Rewards Agent: 758.66, Rewards Eval: 766.29, Total Timesteps: 2100000 episode:209 

Rewards Agent: 779.03, Rewards Eval: 719.53, Total Timesteps: 2110000 episode:210 

Rewards Agent: 763.71, Rewards Eval: 671.79, Total Timesteps: 2120000 episode:211 

Rewards Agent: 755.87, Rewards Eval: 777.05, Total Timesteps: 2130000 episode:212 

Rewards Agent: 776.11, Rewards Eval: 670.62, Total Timesteps: 2140000 episode:213 

Rewards Agent: 765.84, Rewards Eval: 787.25, Total Timesteps: 2150000 episode:214 

Rewards Agent: 759.83, Rewards Eval: 806.99, Total Timesteps: 2160000 episode:215 

Rewards Agent: 796.59, Rewards Eval: 806.22, Total Timesteps: 2170000 episode:216 

Rewards Agent: 789.49, Rewards Eval: 808.99, Total Timesteps: 2180000 episode:217 

Rewards Agent: 770.17, Rewards Eval: 778.04, Total Timesteps: 2190000 episode:218 

Rewards Agent: 789.98, Rewards Eval: 826.09, Total Timesteps: 2200000 episode:219 

Rewards Agent: 777.50, Rewards Eval: 760.46, Total Timesteps: 2210000 episode:220 

Rewards Agent: 801.96, Rewards Eval: 764.93, Total Timesteps: 2220000 episode:221 

Rewards Agent: 777.71, Rewards Eval: 861.34, Total Timesteps: 2230000 episode:222 

Rewards Agent: 801.29, Rewards Eval: 769.39, Total Timesteps: 2240000 episode:223 

Rewards Agent: 800.01, Rewards Eval: 763.55, Total Timesteps: 2250000 episode:224 

Rewards Agent: 805.32, Rewards Eval: 733.70, Total Timesteps: 2260000 episode:225 

Rewards Agent: 808.36, Rewards Eval: 731.01, Total Timesteps: 2270000 episode:226 

Rewards Agent: 810.99, Rewards Eval: 864.23, Total Timesteps: 2280000 episode:227 

Rewards Agent: 789.46, Rewards Eval: 824.65, Total Timesteps: 2290000 episode:228 

Rewards Agent: 819.67, Rewards Eval: 756.95, Total Timesteps: 2300000 episode:229 

Rewards Agent: 820.31, Rewards Eval: 811.44, Total Timesteps: 2310000 episode:230 

Rewards Agent: 782.46, Rewards Eval: 769.99, Total Timesteps: 2320000 episode:231 

Rewards Agent: 821.33, Rewards Eval: 838.15, Total Timesteps: 2330000 episode:232 

Rewards Agent: 832.44, Rewards Eval: 759.96, Total Timesteps: 2340000 episode:233 

Rewards Agent: 827.51, Rewards Eval: 851.01, Total Timesteps: 2350000 episode:234 

Rewards Agent: 832.06, Rewards Eval: 839.66, Total Timesteps: 2360000 episode:235 

Rewards Agent: 841.45, Rewards Eval: 848.05, Total Timesteps: 2370000 episode:236 

Rewards Agent: 822.89, Rewards Eval: 835.21, Total Timesteps: 2380000 episode:237 

