
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:18.300069: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:21.102949: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 10469 MB memory:  -> device: 0, name: Tesla K80, pci bus id: 0000:05:00.0, compute capability: 3.7
Rewards Agent: 755.27, Rewards Disc: 0.86, Rewards Eval: 795.66, Total Timesteps: 1900000 episode:189 

Rewards Agent: 750.31, Rewards Disc: 0.78, Rewards Eval: 795.32, Total Timesteps: 1910000 episode:190 

Rewards Agent: 750.98, Rewards Disc: 0.73, Rewards Eval: 767.95, Total Timesteps: 1920000 episode:191 

Rewards Agent: 760.94, Rewards Disc: 0.83, Rewards Eval: 813.78, Total Timesteps: 1930000 episode:192 

Rewards Agent: 749.68, Rewards Disc: 0.82, Rewards Eval: 799.75, Total Timesteps: 1940000 episode:193 

Rewards Agent: 756.11, Rewards Disc: 0.80, Rewards Eval: 801.17, Total Timesteps: 1950000 episode:194 

Rewards Agent: 780.04, Rewards Disc: 0.84, Rewards Eval: 792.65, Total Timesteps: 1960000 episode:195 

Rewards Agent: 747.12, Rewards Disc: 0.82, Rewards Eval: 827.31, Total Timesteps: 1970000 episode:196 

Rewards Agent: 767.89, Rewards Disc: 0.81, Rewards Eval: 785.62, Total Timesteps: 1980000 episode:197 

Rewards Agent: 783.81, Rewards Disc: 0.77, Rewards Eval: 767.65, Total Timesteps: 1990000 episode:198 

Rewards Agent: 750.64, Rewards Disc: 0.74, Rewards Eval: 817.43, Total Timesteps: 2000000 episode:199 

Rewards Agent: 746.14, Rewards Disc: 0.77, Rewards Eval: 803.38, Total Timesteps: 2010000 episode:200 

Rewards Agent: 781.51, Rewards Disc: 0.83, Rewards Eval: 835.83, Total Timesteps: 2020000 episode:201 

Rewards Agent: 778.55, Rewards Disc: 0.87, Rewards Eval: 861.71, Total Timesteps: 2030000 episode:202 

Rewards Agent: 774.68, Rewards Disc: 0.83, Rewards Eval: 823.49, Total Timesteps: 2040000 episode:203 

Rewards Agent: 786.31, Rewards Disc: 0.78, Rewards Eval: 828.60, Total Timesteps: 2050000 episode:204 

Rewards Agent: 779.03, Rewards Disc: 0.80, Rewards Eval: 801.36, Total Timesteps: 2060000 episode:205 

Rewards Agent: 801.63, Rewards Disc: 0.82, Rewards Eval: 842.97, Total Timesteps: 2070000 episode:206 

Rewards Agent: 791.77, Rewards Disc: 0.84, Rewards Eval: 809.38, Total Timesteps: 2080000 episode:207 

Rewards Agent: 786.62, Rewards Disc: 0.82, Rewards Eval: 830.23, Total Timesteps: 2090000 episode:208 

Rewards Agent: 803.89, Rewards Disc: 0.76, Rewards Eval: 806.37, Total Timesteps: 2100000 episode:209 

Rewards Agent: 775.91, Rewards Disc: 0.77, Rewards Eval: 826.73, Total Timesteps: 2110000 episode:210 

Rewards Agent: 803.91, Rewards Disc: 0.81, Rewards Eval: 810.54, Total Timesteps: 2120000 episode:211 

Rewards Agent: 797.40, Rewards Disc: 0.77, Rewards Eval: 835.79, Total Timesteps: 2130000 episode:212 

Rewards Agent: 806.66, Rewards Disc: 0.73, Rewards Eval: 855.45, Total Timesteps: 2140000 episode:213 

Rewards Agent: 790.96, Rewards Disc: 0.67, Rewards Eval: 850.02, Total Timesteps: 2150000 episode:214 

Rewards Agent: 807.34, Rewards Disc: 0.72, Rewards Eval: 843.83, Total Timesteps: 2160000 episode:215 

