
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:28.193203: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:34.100129: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Agent: 516.39, Rewards Eval: 550.36, Total Timesteps: 1400000 episode:139 

Rewards Agent: 468.41, Rewards Eval: 372.54, Total Timesteps: 1410000 episode:140 

Rewards Agent: 532.93, Rewards Eval: 499.47, Total Timesteps: 1420000 episode:141 

Rewards Agent: 547.92, Rewards Eval: 576.92, Total Timesteps: 1430000 episode:142 

Rewards Agent: 567.49, Rewards Eval: 649.86, Total Timesteps: 1440000 episode:143 

Rewards Agent: 555.95, Rewards Eval: 616.16, Total Timesteps: 1450000 episode:144 

Rewards Agent: 570.51, Rewards Eval: 681.82, Total Timesteps: 1460000 episode:145 

Rewards Agent: 627.18, Rewards Eval: 638.04, Total Timesteps: 1470000 episode:146 

Rewards Agent: 635.20, Rewards Eval: 445.38, Total Timesteps: 1480000 episode:147 

Rewards Agent: 620.42, Rewards Eval: 594.32, Total Timesteps: 1490000 episode:148 

Rewards Agent: 612.90, Rewards Eval: 721.05, Total Timesteps: 1500000 episode:149 

Rewards Agent: 658.63, Rewards Eval: 613.71, Total Timesteps: 1510000 episode:150 

Rewards Agent: 648.32, Rewards Eval: 654.93, Total Timesteps: 1520000 episode:151 

Rewards Agent: 633.84, Rewards Eval: 719.30, Total Timesteps: 1530000 episode:152 

Rewards Agent: 673.91, Rewards Eval: 661.44, Total Timesteps: 1540000 episode:153 

Rewards Agent: 645.39, Rewards Eval: 714.42, Total Timesteps: 1550000 episode:154 

Rewards Agent: 662.61, Rewards Eval: 714.97, Total Timesteps: 1560000 episode:155 

Rewards Agent: 683.89, Rewards Eval: 540.09, Total Timesteps: 1570000 episode:156 

Rewards Agent: 681.68, Rewards Eval: 666.39, Total Timesteps: 1580000 episode:157 

Rewards Agent: 675.69, Rewards Eval: 686.27, Total Timesteps: 1590000 episode:158 

Rewards Agent: 721.25, Rewards Eval: 758.08, Total Timesteps: 1600000 episode:159 

Rewards Agent: 717.95, Rewards Eval: 723.03, Total Timesteps: 1610000 episode:160 

Rewards Agent: 691.38, Rewards Eval: 808.39, Total Timesteps: 1620000 episode:161 

Rewards Agent: 723.80, Rewards Eval: 726.71, Total Timesteps: 1630000 episode:162 

Rewards Agent: 696.95, Rewards Eval: 745.06, Total Timesteps: 1640000 episode:163 

Rewards Agent: 702.40, Rewards Eval: 747.82, Total Timesteps: 1650000 episode:164 

Rewards Agent: 708.89, Rewards Eval: 736.52, Total Timesteps: 1660000 episode:165 

Rewards Agent: 746.26, Rewards Eval: 786.64, Total Timesteps: 1670000 episode:166 

Rewards Agent: 752.59, Rewards Eval: 880.93, Total Timesteps: 1680000 episode:167 

