For Seed: 3 

Rewards Tr: 917.15, Rewards Val: 931.16, Rewards Disc: 0.72, Rewards Eval: 943.17, Total Timesteps: 47250000 episode:188 

Rewards Tr: 898.72, Rewards Val: 886.38, Rewards Disc: 0.74, Rewards Eval: 673.86, Total Timesteps: 47500000 episode:189 

Rewards Tr: 866.77, Rewards Val: 904.95, Rewards Disc: 0.75, Rewards Eval: 723.39, Total Timesteps: 47750000 episode:190 

Rewards Tr: 877.64, Rewards Val: 908.68, Rewards Disc: 0.77, Rewards Eval: 916.46, Total Timesteps: 48000000 episode:191 

Rewards Tr: 965.06, Rewards Val: 947.05, Rewards Disc: 0.72, Rewards Eval: 1001.83, Total Timesteps: 48250000 episode:192 

Rewards Tr: 1008.08, Rewards Val: 1002.90, Rewards Disc: 0.74, Rewards Eval: 734.37, Total Timesteps: 48500000 episode:193 

Rewards Tr: 985.55, Rewards Val: 995.86, Rewards Disc: 0.78, Rewards Eval: 1012.39, Total Timesteps: 48750000 episode:194 

Rewards Tr: 963.53, Rewards Val: 938.87, Rewards Disc: 0.78, Rewards Eval: 866.27, Total Timesteps: 49000000 episode:195 

