For Seed: 103 

Rewards Tr: 76.72, Rewards Val: 78.97, Rewards Eval: 68.22, Total Timesteps: 42141060 episode:94 

Rewards Tr: 80.18, Rewards Val: 79.15, Rewards Eval: 42.18, Total Timesteps: 42741060 episode:95 

Rewards Tr: 85.76, Rewards Val: 79.86, Rewards Eval: 73.80, Total Timesteps: 43341060 episode:96 

Rewards Tr: 86.99, Rewards Val: 84.06, Rewards Eval: 72.89, Total Timesteps: 43941060 episode:97 

Rewards Tr: 94.47, Rewards Val: 93.97, Rewards Eval: 50.36, Total Timesteps: 44541060 episode:98 

Rewards Tr: 96.71, Rewards Val: 96.05, Rewards Eval: 66.85, Total Timesteps: 45141060 episode:99 

Rewards Tr: 99.69, Rewards Val: 98.82, Rewards Eval: 70.21, Total Timesteps: 45741060 episode:100 

Rewards Tr: 104.74, Rewards Val: 103.08, Rewards Eval: 63.35, Total Timesteps: 46341060 episode:101 

Rewards Tr: 110.52, Rewards Val: 108.77, Rewards Eval: 89.90, Total Timesteps: 46941060 episode:102 

Rewards Tr: 116.24, Rewards Val: 114.06, Rewards Eval: 50.87, Total Timesteps: 47541060 episode:103 

Rewards Tr: 118.16, Rewards Val: 113.94, Rewards Eval: 98.09, Total Timesteps: 48141060 episode:104 

Rewards Tr: 116.52, Rewards Val: 120.73, Rewards Eval: 88.59, Total Timesteps: 48741060 episode:105 

Rewards Tr: 120.79, Rewards Val: 124.75, Rewards Eval: 56.73, Total Timesteps: 49341060 episode:106 

Rewards Tr: 127.50, Rewards Val: 126.71, Rewards Eval: 117.62, Total Timesteps: 49941060 episode:107 

Rewards Tr: 129.70, Rewards Val: 132.66, Rewards Eval: 102.74, Total Timesteps: 50541060 episode:108 

Rewards Tr: 133.99, Rewards Val: 132.56, Rewards Eval: 95.89, Total Timesteps: 51141060 episode:109 

Rewards Tr: 134.60, Rewards Val: 136.69, Rewards Eval: 109.35, Total Timesteps: 51741060 episode:110 

Rewards Tr: 139.32, Rewards Val: 137.34, Rewards Eval: 141.08, Total Timesteps: 52341060 episode:111 

Rewards Tr: 142.03, Rewards Val: 142.57, Rewards Eval: 138.75, Total Timesteps: 52941060 episode:112 

Rewards Tr: 140.33, Rewards Val: 146.32, Rewards Eval: 120.35, Total Timesteps: 53541060 episode:113 

Rewards Tr: 142.51, Rewards Val: 143.24, Rewards Eval: 133.70, Total Timesteps: 54141060 episode:114 

Rewards Tr: 146.91, Rewards Val: 146.97, Rewards Eval: 123.52, Total Timesteps: 54741060 episode:115 

Rewards Tr: 146.92, Rewards Val: 148.18, Rewards Eval: 121.57, Total Timesteps: 55341060 episode:116 

Rewards Tr: 148.04, Rewards Val: 148.83, Rewards Eval: 94.14, Total Timesteps: 55941060 episode:117 

Rewards Tr: 149.95, Rewards Val: 147.29, Rewards Eval: 124.16, Total Timesteps: 56541060 episode:118 

Rewards Tr: 152.08, Rewards Val: 152.35, Rewards Eval: 103.57, Total Timesteps: 57141060 episode:119 

Rewards Tr: 152.46, Rewards Val: 154.23, Rewards Eval: 119.93, Total Timesteps: 57741060 episode:120 

Rewards Tr: 149.95, Rewards Val: 148.32, Rewards Eval: 121.18, Total Timesteps: 58341060 episode:121 

Rewards Tr: 155.87, Rewards Val: 153.50, Rewards Eval: 109.60, Total Timesteps: 58941060 episode:122 

Rewards Tr: 153.86, Rewards Val: 154.16, Rewards Eval: 149.18, Total Timesteps: 59541060 episode:123 

Rewards Tr: 157.40, Rewards Val: 156.43, Rewards Eval: 125.04, Total Timesteps: 60141060 episode:124 

Rewards Tr: 151.37, Rewards Val: 153.04, Rewards Eval: 127.20, Total Timesteps: 60741060 episode:125 

Rewards Tr: 157.08, Rewards Val: 155.06, Rewards Eval: 130.23, Total Timesteps: 61341060 episode:126 

Rewards Tr: 156.94, Rewards Val: 158.19, Rewards Eval: 119.64, Total Timesteps: 61941060 episode:127 

Rewards Tr: 157.59, Rewards Val: 155.81, Rewards Eval: 136.86, Total Timesteps: 62541060 episode:128 

Rewards Tr: 157.50, Rewards Val: 155.85, Rewards Eval: 135.51, Total Timesteps: 63141060 episode:129 

Rewards Tr: 152.14, Rewards Val: 160.36, Rewards Eval: 101.75, Total Timesteps: 63741060 episode:130 

Rewards Tr: 154.86, Rewards Val: 155.78, Rewards Eval: 112.44, Total Timesteps: 64341060 episode:131 

Rewards Tr: 157.55, Rewards Val: 159.44, Rewards Eval: 119.86, Total Timesteps: 64941060 episode:132 

Rewards Tr: 155.41, Rewards Val: 158.80, Rewards Eval: 145.56, Total Timesteps: 65541060 episode:133 

Rewards Tr: 161.15, Rewards Val: 160.50, Rewards Eval: 138.41, Total Timesteps: 66141060 episode:134 

Rewards Tr: 160.33, Rewards Val: 159.50, Rewards Eval: 146.54, Total Timesteps: 66741060 episode:135 

Rewards Tr: 159.19, Rewards Val: 162.57, Rewards Eval: 131.08, Total Timesteps: 67341060 episode:136 

Rewards Tr: 158.43, Rewards Val: 163.55, Rewards Eval: 136.13, Total Timesteps: 67941060 episode:137 

Rewards Tr: 157.51, Rewards Val: 158.26, Rewards Eval: 130.91, Total Timesteps: 68541060 episode:138 

Rewards Tr: 157.86, Rewards Val: 156.44, Rewards Eval: 157.18, Total Timesteps: 69141060 episode:139 

Rewards Tr: 158.93, Rewards Val: 159.11, Rewards Eval: 170.90, Total Timesteps: 69741060 episode:140 

Rewards Tr: 156.44, Rewards Val: 155.93, Rewards Eval: 139.30, Total Timesteps: 70341060 episode:141 

Rewards Tr: 155.07, Rewards Val: 155.76, Rewards Eval: 151.46, Total Timesteps: 70941060 episode:142 

Rewards Tr: 159.02, Rewards Val: 158.42, Rewards Eval: 119.04, Total Timesteps: 71541060 episode:143 

Rewards Tr: 156.82, Rewards Val: 153.59, Rewards Eval: 118.97, Total Timesteps: 72141060 episode:144 

Rewards Tr: 158.62, Rewards Val: 154.35, Rewards Eval: 159.89, Total Timesteps: 72741060 episode:145 

Rewards Tr: 154.99, Rewards Val: 152.05, Rewards Eval: 138.71, Total Timesteps: 73341060 episode:146 

Rewards Tr: 155.44, Rewards Val: 152.01, Rewards Eval: 116.13, Total Timesteps: 73941060 episode:147 

Rewards Tr: 155.52, Rewards Val: 155.55, Rewards Eval: 164.04, Total Timesteps: 74541060 episode:148 

Rewards Tr: 153.60, Rewards Val: 151.49, Rewards Eval: 183.90, Total Timesteps: 75141060 episode:149 

Rewards Tr: 153.72, Rewards Val: 152.20, Rewards Eval: 108.49, Total Timesteps: 75741060 episode:150 

Rewards Tr: 153.59, Rewards Val: 148.09, Rewards Eval: 123.07, Total Timesteps: 76341060 episode:151 

Rewards Tr: 152.44, Rewards Val: 148.68, Rewards Eval: 128.90, Total Timesteps: 76941060 episode:152 

Rewards Tr: 153.61, Rewards Val: 155.02, Rewards Eval: 105.61, Total Timesteps: 77541060 episode:153 

