For Seed: 1 

Rewards Tr: 779.32, Rewards Val: 777.06, Rewards Disc: 10.71, Rewards Eval: 1168.47, Total Timesteps: 11012530 episode:104 

Rewards Tr: 786.63, Rewards Val: 803.35, Rewards Disc: 11.16, Rewards Eval: 579.00, Total Timesteps: 11195480 episode:105 

Rewards Tr: 743.62, Rewards Val: 784.75, Rewards Disc: 8.96, Rewards Eval: 1411.14, Total Timesteps: 11361660 episode:106 

Rewards Tr: 777.65, Rewards Val: 777.34, Rewards Disc: 10.07, Rewards Eval: 1045.17, Total Timesteps: 11528950 episode:107 

Rewards Tr: 764.74, Rewards Val: 802.65, Rewards Disc: 9.24, Rewards Eval: 802.81, Total Timesteps: 11697830 episode:108 

Rewards Tr: 846.57, Rewards Val: 848.55, Rewards Disc: 6.21, Rewards Eval: 982.16, Total Timesteps: 11892300 episode:109 

Rewards Tr: 779.53, Rewards Val: 805.09, Rewards Disc: 7.72, Rewards Eval: 1365.54, Total Timesteps: 12065150 episode:110 

Rewards Tr: 821.96, Rewards Val: 830.77, Rewards Disc: 6.18, Rewards Eval: 1355.82, Total Timesteps: 12258720 episode:111 

Rewards Tr: 851.76, Rewards Val: 860.86, Rewards Disc: 6.26, Rewards Eval: 1453.06, Total Timesteps: 12487500 episode:112 

Rewards Tr: 926.93, Rewards Val: 936.89, Rewards Disc: 3.56, Rewards Eval: 1217.87, Total Timesteps: 12742330 episode:113 

Rewards Tr: 1040.76, Rewards Val: 1001.01, Rewards Disc: 3.37, Rewards Eval: 1647.31, Total Timesteps: 13024990 episode:114 

Rewards Tr: 1052.01, Rewards Val: 1055.30, Rewards Disc: 2.31, Rewards Eval: 1238.65, Total Timesteps: 13308440 episode:115 

Rewards Tr: 1105.70, Rewards Val: 1068.70, Rewards Disc: 1.06, Rewards Eval: 1311.86, Total Timesteps: 13596170 episode:116 

Rewards Tr: 972.07, Rewards Val: 984.95, Rewards Disc: 4.88, Rewards Eval: 1610.19, Total Timesteps: 13843870 episode:117 

Rewards Tr: 959.11, Rewards Val: 980.57, Rewards Disc: 4.85, Rewards Eval: 801.74, Total Timesteps: 14098720 episode:118 

Rewards Tr: 887.10, Rewards Val: 912.44, Rewards Disc: 5.11, Rewards Eval: 648.59, Total Timesteps: 14309730 episode:119 

Rewards Tr: 843.87, Rewards Val: 881.74, Rewards Disc: 7.36, Rewards Eval: 1050.07, Total Timesteps: 14512340 episode:120 

Rewards Tr: 844.61, Rewards Val: 886.80, Rewards Disc: 3.51, Rewards Eval: 1267.63, Total Timesteps: 14717000 episode:121 

Rewards Tr: 832.60, Rewards Val: 863.41, Rewards Disc: 6.28, Rewards Eval: 1637.03, Total Timesteps: 14912110 episode:122 

Rewards Tr: 919.36, Rewards Val: 969.67, Rewards Disc: 3.66, Rewards Eval: 1338.96, Total Timesteps: 15127410 episode:123 

Rewards Tr: 834.42, Rewards Val: 827.17, Rewards Disc: 7.41, Rewards Eval: 1213.89, Total Timesteps: 15306530 episode:124 

Rewards Tr: 857.33, Rewards Val: 841.24, Rewards Disc: 6.53, Rewards Eval: 1458.60, Total Timesteps: 15493700 episode:125 

Rewards Tr: 899.06, Rewards Val: 917.61, Rewards Disc: 3.55, Rewards Eval: 1413.66, Total Timesteps: 15691980 episode:126 

Rewards Tr: 888.57, Rewards Val: 956.07, Rewards Disc: 2.53, Rewards Eval: 1172.59, Total Timesteps: 15900060 episode:127 

Rewards Tr: 960.05, Rewards Val: 995.95, Rewards Disc: -0.52, Rewards Eval: 1271.67, Total Timesteps: 16133540 episode:128 

Rewards Tr: 926.46, Rewards Val: 923.31, Rewards Disc: 3.04, Rewards Eval: 943.55, Total Timesteps: 16361170 episode:129 

