For Seed: 1 

Rewards Tr: 973.83, Rewards Disc: 7.20, Rewards Eval: 1429.49, Total Timesteps: 11633160 episode:123 

Rewards Tr: 1139.60, Rewards Disc: 5.38, Rewards Eval: 2007.10, Total Timesteps: 11792230 episode:124 

Rewards Tr: 1331.04, Rewards Disc: 3.77, Rewards Eval: 1584.63, Total Timesteps: 11969950 episode:125 

Rewards Tr: 1320.44, Rewards Disc: 4.17, Rewards Eval: 1168.63, Total Timesteps: 12151760 episode:126 

Rewards Tr: 1307.79, Rewards Disc: 3.89, Rewards Eval: 1783.94, Total Timesteps: 12337450 episode:127 

Rewards Tr: 1075.64, Rewards Disc: 6.57, Rewards Eval: 1735.99, Total Timesteps: 12486350 episode:128 

Rewards Tr: 1149.60, Rewards Disc: 4.57, Rewards Eval: 1551.24, Total Timesteps: 12635110 episode:129 

Rewards Tr: 1144.77, Rewards Disc: 4.91, Rewards Eval: 1573.03, Total Timesteps: 12787400 episode:130 

Rewards Tr: 1162.33, Rewards Disc: 3.85, Rewards Eval: 1274.39, Total Timesteps: 12950650 episode:131 

Rewards Tr: 1081.24, Rewards Disc: 5.26, Rewards Eval: 1679.54, Total Timesteps: 13105740 episode:132 

Rewards Tr: 1196.45, Rewards Disc: 4.24, Rewards Eval: 1822.66, Total Timesteps: 13272630 episode:133 

Rewards Tr: 1357.62, Rewards Disc: 2.91, Rewards Eval: 1112.63, Total Timesteps: 13460010 episode:134 

Rewards Tr: 1054.65, Rewards Disc: 5.00, Rewards Eval: 1621.27, Total Timesteps: 13617060 episode:135 

Rewards Tr: 1124.12, Rewards Disc: 4.79, Rewards Eval: 1421.31, Total Timesteps: 13780830 episode:136 

Rewards Tr: 1184.34, Rewards Disc: 4.33, Rewards Eval: 1300.06, Total Timesteps: 13940280 episode:137 

Rewards Tr: 1242.89, Rewards Disc: 3.90, Rewards Eval: 1454.85, Total Timesteps: 14102570 episode:138 

Rewards Tr: 1185.87, Rewards Disc: 4.21, Rewards Eval: 1717.84, Total Timesteps: 14252970 episode:139 

Rewards Tr: 1021.76, Rewards Disc: 5.71, Rewards Eval: 1661.34, Total Timesteps: 14388360 episode:140 

Rewards Tr: 1056.96, Rewards Disc: 5.09, Rewards Eval: 1491.51, Total Timesteps: 14531990 episode:141 

Rewards Tr: 1100.55, Rewards Disc: 4.59, Rewards Eval: 1662.66, Total Timesteps: 14687870 episode:142 

Rewards Tr: 1137.79, Rewards Disc: 4.73, Rewards Eval: 1421.79, Total Timesteps: 14841620 episode:143 

Rewards Tr: 1306.70, Rewards Disc: 3.23, Rewards Eval: 1766.63, Total Timesteps: 15023380 episode:144 

Rewards Tr: 1285.10, Rewards Disc: 3.20, Rewards Eval: 1746.93, Total Timesteps: 15190680 episode:145 

Rewards Tr: 1326.37, Rewards Disc: 2.93, Rewards Eval: 1843.20, Total Timesteps: 15369140 episode:146 

Rewards Tr: 1262.71, Rewards Disc: 3.76, Rewards Eval: 1871.04, Total Timesteps: 15548900 episode:147 

Rewards Tr: 1257.54, Rewards Disc: 4.20, Rewards Eval: 2155.39, Total Timesteps: 15728170 episode:148 

Rewards Tr: 1375.15, Rewards Disc: 2.90, Rewards Eval: 1538.71, Total Timesteps: 15917710 episode:149 

Rewards Tr: 1321.12, Rewards Disc: 2.77, Rewards Eval: 1664.53, Total Timesteps: 16098660 episode:150 

Rewards Tr: 1256.28, Rewards Disc: 3.33, Rewards Eval: 1700.38, Total Timesteps: 16280860 episode:151 

Rewards Tr: 1172.58, Rewards Disc: 3.96, Rewards Eval: 1383.96, Total Timesteps: 16440220 episode:152 

Rewards Tr: 1167.81, Rewards Disc: 4.11, Rewards Eval: 1539.69, Total Timesteps: 16602780 episode:153 

Rewards Tr: 1220.73, Rewards Disc: 3.62, Rewards Eval: 2354.03, Total Timesteps: 16766890 episode:154 

Rewards Tr: 1217.24, Rewards Disc: 3.80, Rewards Eval: 1430.24, Total Timesteps: 16923780 episode:155 

Rewards Tr: 1231.40, Rewards Disc: 3.53, Rewards Eval: 1628.50, Total Timesteps: 17103360 episode:156 

Rewards Tr: 1347.51, Rewards Disc: 2.54, Rewards Eval: 2108.81, Total Timesteps: 17282860 episode:157 

Rewards Tr: 1285.62, Rewards Disc: 3.30, Rewards Eval: 1698.00, Total Timesteps: 17457140 episode:158 

Rewards Tr: 1240.34, Rewards Disc: 3.40, Rewards Eval: 1443.64, Total Timesteps: 17620390 episode:159 

Rewards Tr: 1222.20, Rewards Disc: 3.75, Rewards Eval: 1823.50, Total Timesteps: 17786280 episode:160 

Rewards Tr: 1186.55, Rewards Disc: 3.49, Rewards Eval: 1724.86, Total Timesteps: 17945620 episode:161 

Rewards Tr: 1227.06, Rewards Disc: 3.35, Rewards Eval: 1555.40, Total Timesteps: 18116570 episode:162 

Rewards Tr: 1274.94, Rewards Disc: 2.08, Rewards Eval: 1930.15, Total Timesteps: 18290230 episode:163 

Rewards Tr: 1229.07, Rewards Disc: 2.66, Rewards Eval: 1940.69, Total Timesteps: 18457360 episode:164 

Rewards Tr: 1212.78, Rewards Disc: 2.19, Rewards Eval: 1521.13, Total Timesteps: 18615760 episode:165 

Rewards Tr: 1193.77, Rewards Disc: 2.56, Rewards Eval: 2050.83, Total Timesteps: 18774170 episode:166 

Rewards Tr: 1163.80, Rewards Disc: 2.66, Rewards Eval: 2049.34, Total Timesteps: 18924960 episode:167 

Rewards Tr: 1147.86, Rewards Disc: 2.29, Rewards Eval: 1448.42, Total Timesteps: 19087630 episode:168 

Rewards Tr: 1310.90, Rewards Disc: 1.27, Rewards Eval: 1564.13, Total Timesteps: 19263690 episode:169 

Rewards Tr: 1161.01, Rewards Disc: 2.74, Rewards Eval: 1754.75, Total Timesteps: 19428020 episode:170 

Rewards Tr: 1083.22, Rewards Disc: 3.68, Rewards Eval: 1594.91, Total Timesteps: 19587460 episode:171 

Rewards Tr: 1144.69, Rewards Disc: 3.40, Rewards Eval: 1542.94, Total Timesteps: 19748650 episode:172 

Rewards Tr: 1194.59, Rewards Disc: 2.94, Rewards Eval: 1883.11, Total Timesteps: 19904490 episode:173 

Rewards Tr: 1221.38, Rewards Disc: 3.13, Rewards Eval: 1760.24, Total Timesteps: 20073780 episode:174 

Rewards Tr: 1235.89, Rewards Disc: 2.08, Rewards Eval: 1397.66, Total Timesteps: 20237400 episode:175 

Rewards Tr: 1219.61, Rewards Disc: 2.56, Rewards Eval: 1728.50, Total Timesteps: 20404740 episode:176 

Rewards Tr: 1281.93, Rewards Disc: 1.85, Rewards Eval: 1644.51, Total Timesteps: 20575660 episode:177 

Rewards Tr: 1348.52, Rewards Disc: 0.89, Rewards Eval: 1555.03, Total Timesteps: 20758990 episode:178 

Rewards Tr: 1237.07, Rewards Disc: 2.42, Rewards Eval: 1657.87, Total Timesteps: 20923100 episode:179 

Rewards Tr: 1268.59, Rewards Disc: 1.92, Rewards Eval: 1523.31, Total Timesteps: 21099170 episode:180 

Rewards Tr: 1304.18, Rewards Disc: 1.41, Rewards Eval: 1796.90, Total Timesteps: 21276720 episode:181 

Rewards Tr: 1464.89, Rewards Disc: 0.31, Rewards Eval: 2204.53, Total Timesteps: 21466290 episode:182 

Rewards Tr: 1356.78, Rewards Disc: 1.50, Rewards Eval: 1661.05, Total Timesteps: 21642170 episode:183 

Rewards Tr: 1411.93, Rewards Disc: 1.01, Rewards Eval: 1251.69, Total Timesteps: 21823770 episode:184 

Rewards Tr: 1324.01, Rewards Disc: 1.65, Rewards Eval: 1370.84, Total Timesteps: 22004480 episode:185 

Rewards Tr: 1315.88, Rewards Disc: 1.33, Rewards Eval: 1727.50, Total Timesteps: 22176440 episode:186 

Rewards Tr: 1378.07, Rewards Disc: 0.58, Rewards Eval: 2285.19, Total Timesteps: 22347360 episode:187 

Rewards Tr: 1279.97, Rewards Disc: 1.04, Rewards Eval: 1802.49, Total Timesteps: 22523220 episode:188 

Rewards Tr: 1517.22, Rewards Disc: -0.07, Rewards Eval: 1375.99, Total Timesteps: 22703940 episode:189 

Rewards Tr: 1346.66, Rewards Disc: 1.37, Rewards Eval: 1863.14, Total Timesteps: 22877830 episode:190 

Rewards Tr: 1350.04, Rewards Disc: 1.25, Rewards Eval: 1631.67, Total Timesteps: 23055200 episode:191 

Rewards Tr: 1361.67, Rewards Disc: 1.00, Rewards Eval: 1522.59, Total Timesteps: 23230120 episode:192 

Rewards Tr: 1269.95, Rewards Disc: 1.88, Rewards Eval: 1424.83, Total Timesteps: 23407500 episode:193 

Rewards Tr: 1237.22, Rewards Disc: 2.12, Rewards Eval: 1668.37, Total Timesteps: 23572330 episode:194 

Rewards Tr: 1263.81, Rewards Disc: 1.62, Rewards Eval: 1894.32, Total Timesteps: 23749830 episode:195 

Rewards Tr: 1226.81, Rewards Disc: 2.16, Rewards Eval: 1826.51, Total Timesteps: 23912870 episode:196 

Rewards Tr: 1270.36, Rewards Disc: 1.89, Rewards Eval: 1571.57, Total Timesteps: 24074120 episode:197 

Rewards Tr: 1195.48, Rewards Disc: 2.03, Rewards Eval: 1888.85, Total Timesteps: 24240280 episode:198 

Rewards Tr: 1248.72, Rewards Disc: 1.39, Rewards Eval: 1512.71, Total Timesteps: 24414260 episode:199 

Rewards Tr: 1308.78, Rewards Disc: 0.48, Rewards Eval: 1483.83, Total Timesteps: 24584000 episode:200 

Rewards Tr: 1253.81, Rewards Disc: 1.00, Rewards Eval: 1477.94, Total Timesteps: 24750530 episode:201 

Rewards Tr: 1207.95, Rewards Disc: 2.14, Rewards Eval: 1897.06, Total Timesteps: 24916090 episode:202 

Rewards Tr: 1361.05, Rewards Disc: 0.31, Rewards Eval: 2069.87, Total Timesteps: 25097370 episode:203 

