For Seed: 1 

Rewards Tr: 1059.95, Rewards Disc: 0.78, Rewards Eval: 879.07, Total Timesteps: 13882440 episode:207 

Rewards Tr: 1059.20, Rewards Disc: 0.83, Rewards Eval: 1031.64, Total Timesteps: 13985410 episode:208 

Rewards Tr: 1064.62, Rewards Disc: 1.00, Rewards Eval: 824.34, Total Timesteps: 14085790 episode:209 

Rewards Tr: 1104.66, Rewards Disc: 0.96, Rewards Eval: 837.35, Total Timesteps: 14192650 episode:210 

Rewards Tr: 1082.86, Rewards Disc: 1.32, Rewards Eval: 1013.04, Total Timesteps: 14289050 episode:211 

Rewards Tr: 1101.01, Rewards Disc: 0.93, Rewards Eval: 733.21, Total Timesteps: 14395900 episode:212 

Rewards Tr: 1124.38, Rewards Disc: 0.61, Rewards Eval: 821.78, Total Timesteps: 14510660 episode:213 

Rewards Tr: 1133.76, Rewards Disc: 0.63, Rewards Eval: 712.40, Total Timesteps: 14622360 episode:214 

Rewards Tr: 1111.78, Rewards Disc: 0.73, Rewards Eval: 900.21, Total Timesteps: 14729250 episode:215 

Rewards Tr: 1063.00, Rewards Disc: 1.14, Rewards Eval: 930.81, Total Timesteps: 14831610 episode:216 

Rewards Tr: 1061.25, Rewards Disc: 0.89, Rewards Eval: 1040.35, Total Timesteps: 14938480 episode:217 

Rewards Tr: 1084.36, Rewards Disc: 0.82, Rewards Eval: 769.30, Total Timesteps: 15046720 episode:218 

Rewards Tr: 1068.85, Rewards Disc: 1.09, Rewards Eval: 831.80, Total Timesteps: 15149100 episode:219 

Rewards Tr: 1104.83, Rewards Disc: 0.71, Rewards Eval: 922.04, Total Timesteps: 15257600 episode:220 

Rewards Tr: 1104.98, Rewards Disc: 0.77, Rewards Eval: 810.36, Total Timesteps: 15361510 episode:221 

Rewards Tr: 1092.80, Rewards Disc: 0.68, Rewards Eval: 1132.39, Total Timesteps: 15461020 episode:222 

Rewards Tr: 1096.25, Rewards Disc: 0.67, Rewards Eval: 1128.57, Total Timesteps: 15567790 episode:223 

Rewards Tr: 1109.80, Rewards Disc: 0.42, Rewards Eval: 677.98, Total Timesteps: 15676320 episode:224 

Rewards Tr: 1092.05, Rewards Disc: 0.44, Rewards Eval: 958.53, Total Timesteps: 15786710 episode:225 

Rewards Tr: 1063.54, Rewards Disc: 0.93, Rewards Eval: 924.76, Total Timesteps: 15883410 episode:226 

Rewards Tr: 1064.90, Rewards Disc: 0.52, Rewards Eval: 1238.62, Total Timesteps: 15989900 episode:227 

Rewards Tr: 1074.86, Rewards Disc: 0.64, Rewards Eval: 756.01, Total Timesteps: 16096150 episode:228 

Rewards Tr: 1071.39, Rewards Disc: 0.64, Rewards Eval: 965.97, Total Timesteps: 16189310 episode:229 

Rewards Tr: 1080.29, Rewards Disc: 0.59, Rewards Eval: 935.13, Total Timesteps: 16286180 episode:230 

Rewards Tr: 1088.04, Rewards Disc: 0.63, Rewards Eval: 984.91, Total Timesteps: 16391180 episode:231 

Rewards Tr: 1085.37, Rewards Disc: 0.68, Rewards Eval: 1049.41, Total Timesteps: 16489040 episode:232 

Rewards Tr: 1079.94, Rewards Disc: 0.85, Rewards Eval: 1262.21, Total Timesteps: 16591620 episode:233 

Rewards Tr: 1103.20, Rewards Disc: 0.64, Rewards Eval: 1130.84, Total Timesteps: 16695790 episode:234 

