
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 950.04, Rewards Val: 940.18, Rewards Eval: 752.48, Total Timesteps: 36591400 episode:104 

Rewards Tr: 910.51, Rewards Val: 925.62, Rewards Eval: 780.97, Total Timesteps: 37191400 episode:105 

Rewards Tr: 926.95, Rewards Val: 904.16, Rewards Eval: 925.51, Total Timesteps: 37791400 episode:106 

Rewards Tr: 945.47, Rewards Val: 953.26, Rewards Eval: 973.31, Total Timesteps: 38391400 episode:107 

Rewards Tr: 973.06, Rewards Val: 973.39, Rewards Eval: 917.43, Total Timesteps: 38991400 episode:108 

Rewards Tr: 988.83, Rewards Val: 978.12, Rewards Eval: 903.47, Total Timesteps: 39591400 episode:109 

Rewards Tr: 973.98, Rewards Val: 965.35, Rewards Eval: 861.81, Total Timesteps: 40191400 episode:110 

Rewards Tr: 957.99, Rewards Val: 958.69, Rewards Eval: 1018.60, Total Timesteps: 40791400 episode:111 

Rewards Tr: 963.36, Rewards Val: 949.00, Rewards Eval: 1022.14, Total Timesteps: 41391400 episode:112 

Rewards Tr: 937.40, Rewards Val: 941.12, Rewards Eval: 993.63, Total Timesteps: 41991400 episode:113 

Rewards Tr: 936.79, Rewards Val: 946.03, Rewards Eval: 913.70, Total Timesteps: 42591400 episode:114 

Rewards Tr: 953.20, Rewards Val: 946.63, Rewards Eval: 843.84, Total Timesteps: 43191400 episode:115 

Rewards Tr: 961.86, Rewards Val: 965.09, Rewards Eval: 1016.32, Total Timesteps: 43791400 episode:116 

Rewards Tr: 974.98, Rewards Val: 972.11, Rewards Eval: 946.88, Total Timesteps: 44391400 episode:117 

Rewards Tr: 972.37, Rewards Val: 975.66, Rewards Eval: 996.49, Total Timesteps: 44991400 episode:118 

Rewards Tr: 979.90, Rewards Val: 993.82, Rewards Eval: 876.21, Total Timesteps: 45591400 episode:119 

Rewards Tr: 962.39, Rewards Val: 950.87, Rewards Eval: 879.72, Total Timesteps: 46191400 episode:120 

Rewards Tr: 938.75, Rewards Val: 945.55, Rewards Eval: 926.53, Total Timesteps: 46791400 episode:121 

Rewards Tr: 954.14, Rewards Val: 949.81, Rewards Eval: 966.69, Total Timesteps: 47391400 episode:122 

Rewards Tr: 937.19, Rewards Val: 963.71, Rewards Eval: 971.85, Total Timesteps: 47991400 episode:123 

Rewards Tr: 955.69, Rewards Val: 948.80, Rewards Eval: 938.73, Total Timesteps: 48591400 episode:124 

Rewards Tr: 972.10, Rewards Val: 942.15, Rewards Eval: 1019.33, Total Timesteps: 49191400 episode:125 

Rewards Tr: 988.35, Rewards Val: 999.94, Rewards Eval: 915.54, Total Timesteps: 49791400 episode:126 

Rewards Tr: 999.83, Rewards Val: 988.66, Rewards Eval: 904.83, Total Timesteps: 50391400 episode:127 

Rewards Tr: 967.89, Rewards Val: 978.93, Rewards Eval: 905.17, Total Timesteps: 50991400 episode:128 

Rewards Tr: 927.41, Rewards Val: 959.14, Rewards Eval: 688.98, Total Timesteps: 51591400 episode:129 

Rewards Tr: 908.39, Rewards Val: 905.21, Rewards Eval: 938.06, Total Timesteps: 52191400 episode:130 

Rewards Tr: 920.49, Rewards Val: 894.09, Rewards Eval: 1028.85, Total Timesteps: 52791400 episode:131 

Rewards Tr: 970.25, Rewards Val: 949.58, Rewards Eval: 1031.28, Total Timesteps: 53391400 episode:132 

Rewards Tr: 981.47, Rewards Val: 965.33, Rewards Eval: 934.62, Total Timesteps: 53991400 episode:133 

Rewards Tr: 979.56, Rewards Val: 981.62, Rewards Eval: 1036.54, Total Timesteps: 54591400 episode:134 

Rewards Tr: 960.68, Rewards Val: 960.25, Rewards Eval: 1032.04, Total Timesteps: 55191400 episode:135 

Rewards Tr: 960.84, Rewards Val: 939.01, Rewards Eval: 966.12, Total Timesteps: 55791400 episode:136 
