For Seed: 1 

Rewards Tr: 170.55, Rewards Eval: 166.87, Total Timesteps: 28763920 episode:162 

Rewards Tr: 167.56, Rewards Eval: 203.44, Total Timesteps: 28963920 episode:163 

Rewards Tr: 168.47, Rewards Eval: 175.19, Total Timesteps: 29163920 episode:164 

Rewards Tr: 172.96, Rewards Eval: 152.53, Total Timesteps: 29363920 episode:165 

Rewards Tr: 166.46, Rewards Eval: 183.21, Total Timesteps: 29563920 episode:166 

Rewards Tr: 169.65, Rewards Eval: 183.93, Total Timesteps: 29763920 episode:167 

Rewards Tr: 167.81, Rewards Eval: 177.50, Total Timesteps: 29963920 episode:168 

Rewards Tr: 168.99, Rewards Eval: 159.07, Total Timesteps: 30163920 episode:169 

Rewards Tr: 167.37, Rewards Eval: 107.87, Total Timesteps: 30363920 episode:170 

Rewards Tr: 172.81, Rewards Eval: 158.64, Total Timesteps: 30563920 episode:171 

Rewards Tr: 174.05, Rewards Eval: 199.77, Total Timesteps: 30763920 episode:172 

Rewards Tr: 171.06, Rewards Eval: 153.56, Total Timesteps: 30963920 episode:173 

Rewards Tr: 168.80, Rewards Eval: 182.63, Total Timesteps: 31163920 episode:174 

Rewards Tr: 178.28, Rewards Eval: 155.18, Total Timesteps: 31363920 episode:175 

Rewards Tr: 170.18, Rewards Eval: 180.92, Total Timesteps: 31563920 episode:176 

Rewards Tr: 170.86, Rewards Eval: 157.24, Total Timesteps: 31763920 episode:177 

Rewards Tr: 169.31, Rewards Eval: 180.72, Total Timesteps: 31963920 episode:178 

Rewards Tr: 174.29, Rewards Eval: 163.80, Total Timesteps: 32163920 episode:179 

Rewards Tr: 175.69, Rewards Eval: 140.47, Total Timesteps: 32363920 episode:180 

Rewards Tr: 171.84, Rewards Eval: 148.91, Total Timesteps: 32563920 episode:181 

Rewards Tr: 170.40, Rewards Eval: 165.94, Total Timesteps: 32763920 episode:182 

Rewards Tr: 170.64, Rewards Eval: 163.23, Total Timesteps: 32963920 episode:183 

Rewards Tr: 176.38, Rewards Eval: 200.85, Total Timesteps: 33163920 episode:184 

Rewards Tr: 172.36, Rewards Eval: 164.95, Total Timesteps: 33363920 episode:185 

Rewards Tr: 174.66, Rewards Eval: 146.64, Total Timesteps: 33563920 episode:186 

Rewards Tr: 172.67, Rewards Eval: 190.80, Total Timesteps: 33763920 episode:187 

Rewards Tr: 176.15, Rewards Eval: 197.89, Total Timesteps: 33963920 episode:188 

Rewards Tr: 175.32, Rewards Eval: 208.43, Total Timesteps: 34163920 episode:189 

Rewards Tr: 179.17, Rewards Eval: 148.99, Total Timesteps: 34363920 episode:190 

Rewards Tr: 174.71, Rewards Eval: 156.38, Total Timesteps: 34563920 episode:191 

Rewards Tr: 176.35, Rewards Eval: 155.04, Total Timesteps: 34763920 episode:192 

Rewards Tr: 178.26, Rewards Eval: 151.22, Total Timesteps: 34963920 episode:193 

Rewards Tr: 173.47, Rewards Eval: 148.39, Total Timesteps: 35163920 episode:194 

Rewards Tr: 175.20, Rewards Eval: 187.67, Total Timesteps: 35363920 episode:195 

Rewards Tr: 178.00, Rewards Eval: 146.88, Total Timesteps: 35563920 episode:196 

Rewards Tr: 176.10, Rewards Eval: 183.74, Total Timesteps: 35763920 episode:197 

Rewards Tr: 177.26, Rewards Eval: 168.44, Total Timesteps: 35963920 episode:198 

Rewards Tr: 173.05, Rewards Eval: 189.25, Total Timesteps: 36163920 episode:199 

Elapsed Time: 357.5 minutes 

