For Seed: 1 

Rewards Tr: 136.37, Rewards Val: 134.23, Rewards Eval: 115.44, Total Timesteps: 40891710 episode:122 

Rewards Tr: 134.29, Rewards Val: 133.43, Rewards Eval: 89.84, Total Timesteps: 41291710 episode:123 

Rewards Tr: 135.73, Rewards Val: 139.95, Rewards Eval: 120.89, Total Timesteps: 41691710 episode:124 

Rewards Tr: 143.51, Rewards Val: 139.73, Rewards Eval: 125.68, Total Timesteps: 42091710 episode:125 

Rewards Tr: 142.02, Rewards Val: 140.17, Rewards Eval: 105.10, Total Timesteps: 42491710 episode:126 

Rewards Tr: 142.95, Rewards Val: 143.54, Rewards Eval: 122.78, Total Timesteps: 42891710 episode:127 

Rewards Tr: 140.98, Rewards Val: 141.52, Rewards Eval: 116.79, Total Timesteps: 43291710 episode:128 

Rewards Tr: 144.30, Rewards Val: 146.54, Rewards Eval: 101.14, Total Timesteps: 43691710 episode:129 

Rewards Tr: 148.15, Rewards Val: 150.40, Rewards Eval: 74.73, Total Timesteps: 44091710 episode:130 

Rewards Tr: 148.81, Rewards Val: 149.86, Rewards Eval: 116.16, Total Timesteps: 44491710 episode:131 

Rewards Tr: 148.89, Rewards Val: 152.02, Rewards Eval: 128.38, Total Timesteps: 44891710 episode:132 

Rewards Tr: 152.63, Rewards Val: 148.20, Rewards Eval: 168.90, Total Timesteps: 45291710 episode:133 

Rewards Tr: 151.41, Rewards Val: 149.22, Rewards Eval: 124.58, Total Timesteps: 45691710 episode:134 

Rewards Tr: 155.31, Rewards Val: 155.97, Rewards Eval: 147.28, Total Timesteps: 46091710 episode:135 

Rewards Tr: 154.59, Rewards Val: 153.39, Rewards Eval: 121.48, Total Timesteps: 46491710 episode:136 

Rewards Tr: 151.63, Rewards Val: 156.99, Rewards Eval: 163.42, Total Timesteps: 46891710 episode:137 

Rewards Tr: 159.52, Rewards Val: 155.68, Rewards Eval: 136.71, Total Timesteps: 47291710 episode:138 

Rewards Tr: 156.61, Rewards Val: 157.90, Rewards Eval: 137.10, Total Timesteps: 47691710 episode:139 

Rewards Tr: 158.13, Rewards Val: 159.53, Rewards Eval: 147.13, Total Timesteps: 48091710 episode:140 

Rewards Tr: 156.25, Rewards Val: 154.59, Rewards Eval: 146.26, Total Timesteps: 48491710 episode:141 

Rewards Tr: 154.12, Rewards Val: 153.03, Rewards Eval: 131.37, Total Timesteps: 48891710 episode:142 

Rewards Tr: 159.48, Rewards Val: 157.56, Rewards Eval: 141.47, Total Timesteps: 49291710 episode:143 

Rewards Tr: 157.41, Rewards Val: 154.40, Rewards Eval: 142.74, Total Timesteps: 49691710 episode:144 

Rewards Tr: 160.95, Rewards Val: 158.92, Rewards Eval: 153.83, Total Timesteps: 50091710 episode:145 

Rewards Tr: 159.96, Rewards Val: 158.08, Rewards Eval: 104.70, Total Timesteps: 50491710 episode:146 

Rewards Tr: 159.88, Rewards Val: 158.78, Rewards Eval: 157.38, Total Timesteps: 50891710 episode:147 

Rewards Tr: 151.66, Rewards Val: 160.45, Rewards Eval: 143.99, Total Timesteps: 51291710 episode:148 

Rewards Tr: 153.04, Rewards Val: 158.43, Rewards Eval: 115.92, Total Timesteps: 51691710 episode:149 

Rewards Tr: 155.79, Rewards Val: 161.12, Rewards Eval: 129.96, Total Timesteps: 52091710 episode:150 

Rewards Tr: 157.98, Rewards Val: 159.04, Rewards Eval: 133.50, Total Timesteps: 52491710 episode:151 

Rewards Tr: 157.34, Rewards Val: 156.88, Rewards Eval: 148.41, Total Timesteps: 52891710 episode:152 

Rewards Tr: 157.68, Rewards Val: 160.32, Rewards Eval: 116.46, Total Timesteps: 53291710 episode:153 

Rewards Tr: 158.02, Rewards Val: 156.68, Rewards Eval: 143.98, Total Timesteps: 53691710 episode:154 

Rewards Tr: 161.00, Rewards Val: 160.73, Rewards Eval: 168.58, Total Timesteps: 54091710 episode:155 

Rewards Tr: 158.07, Rewards Val: 159.91, Rewards Eval: 161.65, Total Timesteps: 54491710 episode:156 

Rewards Tr: 163.64, Rewards Val: 161.37, Rewards Eval: 140.36, Total Timesteps: 54891710 episode:157 

Rewards Tr: 158.36, Rewards Val: 155.70, Rewards Eval: 134.65, Total Timesteps: 55291710 episode:158 

Rewards Tr: 157.32, Rewards Val: 161.10, Rewards Eval: 136.00, Total Timesteps: 55691710 episode:159 

