For Seed: 102 

Rewards Tr: 94.55, Rewards Disc: 0.35, Rewards Eval: 110.92, Total Timesteps: 29227910 episode:124 

Rewards Tr: 73.88, Rewards Disc: 0.56, Rewards Eval: 104.87, Total Timesteps: 29512050 episode:125 

Rewards Tr: 95.37, Rewards Disc: 0.35, Rewards Eval: 138.74, Total Timesteps: 29812050 episode:126 

Rewards Tr: 81.19, Rewards Disc: 0.49, Rewards Eval: 107.02, Total Timesteps: 30104060 episode:127 

Rewards Tr: 132.66, Rewards Disc: -0.03, Rewards Eval: 135.46, Total Timesteps: 30404060 episode:128 

Rewards Tr: 105.01, Rewards Disc: 0.25, Rewards Eval: 79.98, Total Timesteps: 30704060 episode:129 

Rewards Tr: 73.06, Rewards Disc: 0.57, Rewards Eval: 87.46, Total Timesteps: 31004060 episode:130 

Rewards Tr: 112.23, Rewards Disc: 0.18, Rewards Eval: 102.07, Total Timesteps: 31304060 episode:131 

Rewards Tr: 126.87, Rewards Disc: 0.03, Rewards Eval: 124.89, Total Timesteps: 31604060 episode:132 

Rewards Tr: 124.26, Rewards Disc: 0.06, Rewards Eval: 93.07, Total Timesteps: 31904060 episode:133 

Rewards Tr: 129.62, Rewards Disc: 0.00, Rewards Eval: 124.16, Total Timesteps: 32204060 episode:134 

Rewards Tr: 130.18, Rewards Disc: -0.00, Rewards Eval: 97.77, Total Timesteps: 32504060 episode:135 

Rewards Tr: 129.45, Rewards Disc: 0.01, Rewards Eval: 132.43, Total Timesteps: 32804060 episode:136 

Rewards Tr: 107.14, Rewards Disc: 0.23, Rewards Eval: 139.81, Total Timesteps: 33104060 episode:137 

Rewards Tr: 129.31, Rewards Disc: 0.01, Rewards Eval: 150.91, Total Timesteps: 33404060 episode:138 

Rewards Tr: 137.77, Rewards Disc: -0.08, Rewards Eval: 118.19, Total Timesteps: 33704060 episode:139 

Rewards Tr: 132.55, Rewards Disc: -0.03, Rewards Eval: 123.88, Total Timesteps: 34004060 episode:140 

Rewards Tr: 146.45, Rewards Disc: -0.16, Rewards Eval: 92.86, Total Timesteps: 34304060 episode:141 

Rewards Tr: 154.48, Rewards Disc: -0.24, Rewards Eval: 125.97, Total Timesteps: 34604060 episode:142 

Rewards Tr: 152.92, Rewards Disc: -0.23, Rewards Eval: 129.15, Total Timesteps: 34904060 episode:143 

Rewards Tr: 150.91, Rewards Disc: -0.21, Rewards Eval: 139.68, Total Timesteps: 35204060 episode:144 

Rewards Tr: 154.11, Rewards Disc: -0.24, Rewards Eval: 106.42, Total Timesteps: 35504060 episode:145 

Rewards Tr: 161.48, Rewards Disc: -0.31, Rewards Eval: 171.47, Total Timesteps: 35804060 episode:146 

Rewards Tr: 147.72, Rewards Disc: -0.18, Rewards Eval: 126.74, Total Timesteps: 36104060 episode:147 

Rewards Tr: 157.15, Rewards Disc: -0.27, Rewards Eval: 160.01, Total Timesteps: 36404060 episode:148 

Rewards Tr: 159.71, Rewards Disc: -0.30, Rewards Eval: 141.24, Total Timesteps: 36704060 episode:149 

Rewards Tr: 160.27, Rewards Disc: -0.30, Rewards Eval: 149.85, Total Timesteps: 37004060 episode:150 

Rewards Tr: 159.27, Rewards Disc: -0.29, Rewards Eval: 137.73, Total Timesteps: 37304060 episode:151 

Rewards Tr: 154.54, Rewards Disc: -0.25, Rewards Eval: 169.01, Total Timesteps: 37604060 episode:152 

Rewards Tr: 132.74, Rewards Disc: -0.03, Rewards Eval: 149.71, Total Timesteps: 37904060 episode:153 

Rewards Tr: 116.85, Rewards Disc: 0.13, Rewards Eval: 156.39, Total Timesteps: 38204060 episode:154 

Rewards Tr: 102.90, Rewards Disc: 0.27, Rewards Eval: 123.87, Total Timesteps: 38504060 episode:155 

