
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.55, Rewards Eval: 0.00, Total Timesteps: 9130 episode:0 
Rewards Tr: 963.40, Rewards Eval: 607.90, Total Timesteps: 17375320 episode:182 

Rewards Tr: 972.91, Rewards Eval: 524.41, Total Timesteps: 17577050 episode:183 

Rewards Tr: 977.24, Rewards Eval: 615.59, Total Timesteps: 17770810 episode:184 

Rewards Tr: 987.20, Rewards Eval: 443.55, Total Timesteps: 17976800 episode:185 

Rewards Tr: 1052.20, Rewards Eval: 541.61, Total Timesteps: 18188250 episode:186 

Rewards Tr: 1082.88, Rewards Eval: 397.10, Total Timesteps: 18415010 episode:187 

Rewards Tr: 1050.16, Rewards Eval: 362.28, Total Timesteps: 18642050 episode:188 

Rewards Tr: 1005.84, Rewards Eval: 621.24, Total Timesteps: 18836930 episode:189 

Rewards Tr: 1086.06, Rewards Eval: 657.79, Total Timesteps: 19073020 episode:190 

Rewards Tr: 1168.95, Rewards Eval: 505.12, Total Timesteps: 19327680 episode:191 

Rewards Tr: 1259.96, Rewards Eval: 705.16, Total Timesteps: 19596080 episode:192 

Rewards Tr: 1235.33, Rewards Eval: 548.66, Total Timesteps: 19856030 episode:193 

Rewards Tr: 1216.59, Rewards Eval: 609.60, Total Timesteps: 20109290 episode:194 

Rewards Tr: 1093.90, Rewards Eval: 536.88, Total Timesteps: 20343990 episode:195 

Rewards Tr: 1026.03, Rewards Eval: 526.09, Total Timesteps: 20551240 episode:196 

Rewards Tr: 1155.84, Rewards Eval: 935.79, Total Timesteps: 20789330 episode:197 

Rewards Tr: 1149.67, Rewards Eval: 809.06, Total Timesteps: 21016850 episode:198 

Rewards Tr: 1130.56, Rewards Eval: 575.53, Total Timesteps: 21246870 episode:199 

Rewards Tr: 1199.31, Rewards Eval: 383.59, Total Timesteps: 21478600 episode:200 

Rewards Tr: 973.73, Rewards Eval: 598.82, Total Timesteps: 21655740 episode:201 

Rewards Tr: 973.81, Rewards Eval: 757.78, Total Timesteps: 21837220 episode:202 

Rewards Tr: 1211.85, Rewards Eval: 708.39, Total Timesteps: 22096950 episode:203 

Rewards Tr: 1414.55, Rewards Eval: 585.91, Total Timesteps: 22387590 episode:204 

Rewards Tr: 1470.67, Rewards Eval: 656.70, Total Timesteps: 22674770 episode:205 

Rewards Tr: 1511.46, Rewards Eval: 730.04, Total Timesteps: 22965200 episode:206 

Rewards Tr: 1211.94, Rewards Eval: 595.54, Total Timesteps: 23200880 episode:207 

Rewards Tr: 989.05, Rewards Eval: 469.38, Total Timesteps: 23380200 episode:208 

Rewards Tr: 1012.67, Rewards Eval: 658.84, Total Timesteps: 23556200 episode:209 

Rewards Tr: 1034.69, Rewards Eval: 579.13, Total Timesteps: 23735720 episode:210 

Rewards Tr: 1171.02, Rewards Eval: 946.61, Total Timesteps: 23960560 episode:211 

Rewards Tr: 1074.98, Rewards Eval: 736.37, Total Timesteps: 24169110 episode:212 

Rewards Tr: 1140.41, Rewards Eval: 548.57, Total Timesteps: 24383000 episode:213 

Rewards Tr: 1089.91, Rewards Eval: 510.44, Total Timesteps: 24592730 episode:214 

Rewards Tr: 1037.46, Rewards Eval: 414.65, Total Timesteps: 24776960 episode:215 

Rewards Tr: 1108.78, Rewards Eval: 614.66, Total Timesteps: 24989970 episode:216 

Rewards Tr: 1198.71, Rewards Eval: 754.20, Total Timesteps: 25228820 episode:217 

Rewards Tr: 1520.70, Rewards Eval: 695.22, Total Timesteps: 25517420 episode:218 

Rewards Tr: 1677.21, Rewards Eval: 767.84, Total Timesteps: 25813820 episode:219 

Rewards Tr: 1636.41, Rewards Eval: 863.55, Total Timesteps: 26107390 episode:220 

Rewards Tr: 1377.42, Rewards Eval: 715.53, Total Timesteps: 26381970 episode:221 

Rewards Tr: 1328.17, Rewards Eval: 647.79, Total Timesteps: 26635870 episode:222 

Rewards Tr: 1227.93, Rewards Eval: 557.83, Total Timesteps: 26870660 episode:223 

Rewards Tr: 1221.36, Rewards Eval: 857.99, Total Timesteps: 27098230 episode:224 

Rewards Tr: 1278.25, Rewards Eval: 898.59, Total Timesteps: 27330950 episode:225 

Rewards Tr: 1409.84, Rewards Eval: 832.13, Total Timesteps: 27602710 episode:226 

Rewards Tr: 1508.40, Rewards Eval: 998.05, Total Timesteps: 27889010 episode:227 

Rewards Tr: 1660.60, Rewards Eval: 586.93, Total Timesteps: 28183460 episode:228 

Rewards Tr: 1468.05, Rewards Eval: 461.57, Total Timesteps: 28466090 episode:229 

Rewards Tr: 1283.76, Rewards Eval: 613.71, Total Timesteps: 28716590 episode:230 

Rewards Tr: 1237.83, Rewards Eval: 669.89, Total Timesteps: 28953540 episode:231 

Rewards Tr: 1490.87, Rewards Eval: 585.44, Total Timesteps: 29227780 episode:232 

Rewards Tr: 1601.43, Rewards Eval: 744.78, Total Timesteps: 29518840 episode:233 

Rewards Tr: 1285.97, Rewards Eval: 791.10, Total Timesteps: 29751580 episode:234 

Rewards Tr: 1192.84, Rewards Eval: 825.03, Total Timesteps: 29989620 episode:235 

Rewards Tr: 1292.90, Rewards Eval: 686.77, Total Timesteps: 30232200 episode:236 

Rewards Tr: 1271.58, Rewards Eval: 1045.09, Total Timesteps: 30484730 episode:237 

Rewards Tr: 1257.01, Rewards Eval: 767.74, Total Timesteps: 30717920 episode:238 

Rewards Tr: 1296.60, Rewards Eval: 574.27, Total Timesteps: 30963460 episode:239 

Rewards Tr: 1109.09, Rewards Eval: 859.62, Total Timesteps: 31182750 episode:240 

Rewards Tr: 1261.47, Rewards Eval: 634.78, Total Timesteps: 31431880 episode:241 

Rewards Tr: 1234.12, Rewards Eval: 869.37, Total Timesteps: 31671340 episode:242 

Rewards Tr: 1359.81, Rewards Eval: 883.06, Total Timesteps: 31947360 episode:243 

Rewards Tr: 1371.02, Rewards Eval: 634.23, Total Timesteps: 32208910 episode:244 

Rewards Tr: 1466.41, Rewards Eval: 714.35, Total Timesteps: 32487810 episode:245 

Rewards Tr: 1259.44, Rewards Eval: 917.75, Total Timesteps: 32715610 episode:246 

Rewards Tr: 1288.25, Rewards Eval: 1032.55, Total Timesteps: 32951180 episode:247 

Rewards Tr: 1155.30, Rewards Eval: 608.03, Total Timesteps: 33163310 episode:248 

Rewards Tr: 1335.58, Rewards Eval: 878.47, Total Timesteps: 33418610 episode:249 

Rewards Tr: 1561.99, Rewards Eval: 1058.74, Total Timesteps: 33704170 episode:250 

Rewards Tr: 1617.68, Rewards Eval: 756.15, Total Timesteps: 33986820 episode:251 

Rewards Tr: 1573.10, Rewards Eval: 782.46, Total Timesteps: 34269180 episode:252 

Rewards Tr: 1336.71, Rewards Eval: 803.04, Total Timesteps: 34519980 episode:253 

Rewards Tr: 1215.51, Rewards Eval: 797.04, Total Timesteps: 34739460 episode:254 

Rewards Tr: 1230.82, Rewards Eval: 937.83, Total Timesteps: 34962460 episode:255 

Rewards Tr: 1339.21, Rewards Eval: 844.05, Total Timesteps: 35210820 episode:256 

Rewards Tr: 1612.36, Rewards Eval: 499.42, Total Timesteps: 35487510 episode:257 

Rewards Tr: 1554.27, Rewards Eval: 1068.33, Total Timesteps: 35773680 episode:258 

Rewards Tr: 1724.36, Rewards Eval: 1146.34, Total Timesteps: 36066650 episode:259 

Rewards Tr: 1445.02, Rewards Eval: 721.25, Total Timesteps: 36332610 episode:260 

Rewards Tr: 1321.32, Rewards Eval: 1304.27, Total Timesteps: 36588380 episode:261 

Rewards Tr: 1438.38, Rewards Eval: 977.31, Total Timesteps: 36839020 episode:262 

Rewards Tr: 1296.68, Rewards Eval: 990.83, Total Timesteps: 37086630 episode:263 

Rewards Tr: 1392.92, Rewards Eval: 987.77, Total Timesteps: 37348290 episode:264 

Rewards Tr: 1433.05, Rewards Eval: 738.41, Total Timesteps: 37620950 episode:265 

Rewards Tr: 1400.81, Rewards Eval: 927.62, Total Timesteps: 37874360 episode:266 

Rewards Tr: 1446.22, Rewards Eval: 732.10, Total Timesteps: 38138180 episode:267 

Rewards Tr: 1665.06, Rewards Eval: 1117.67, Total Timesteps: 38422900 episode:268 

Rewards Tr: 1447.14, Rewards Eval: 583.85, Total Timesteps: 38688330 episode:269 

