
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 703.93, Rewards Val: 729.15, Rewards Eval: 334.75, Total Timesteps: 28280360 episode:160 

Rewards Tr: 764.71, Rewards Val: 719.39, Rewards Eval: 402.04, Total Timesteps: 28580580 episode:161 

Rewards Tr: 836.72, Rewards Val: 852.55, Rewards Eval: 514.37, Total Timesteps: 28920880 episode:162 

Rewards Tr: 912.62, Rewards Val: 895.74, Rewards Eval: 505.97, Total Timesteps: 29330390 episode:163 

Rewards Tr: 1030.01, Rewards Val: 954.75, Rewards Eval: 486.87, Total Timesteps: 29797730 episode:164 

Rewards Tr: 1028.75, Rewards Val: 1006.28, Rewards Eval: 366.00, Total Timesteps: 30271300 episode:165 

Rewards Tr: 1057.53, Rewards Val: 1040.88, Rewards Eval: 466.62, Total Timesteps: 30747860 episode:166 

Rewards Tr: 981.08, Rewards Val: 938.69, Rewards Eval: 487.57, Total Timesteps: 31190670 episode:167 

Rewards Tr: 975.12, Rewards Val: 946.94, Rewards Eval: 593.91, Total Timesteps: 31588940 episode:168 

Rewards Tr: 972.06, Rewards Val: 933.96, Rewards Eval: 612.26, Total Timesteps: 32009270 episode:169 

Rewards Tr: 908.97, Rewards Val: 910.90, Rewards Eval: 423.65, Total Timesteps: 32357910 episode:170 

Rewards Tr: 836.94, Rewards Val: 878.61, Rewards Eval: 540.98, Total Timesteps: 32675940 episode:171 

Rewards Tr: 858.58, Rewards Val: 883.57, Rewards Eval: 545.16, Total Timesteps: 33004820 episode:172 

Rewards Tr: 904.85, Rewards Val: 876.04, Rewards Eval: 638.92, Total Timesteps: 33336620 episode:173 

Rewards Tr: 965.49, Rewards Val: 950.50, Rewards Eval: 427.89, Total Timesteps: 33719690 episode:174 

Rewards Tr: 1133.89, Rewards Val: 1087.22, Rewards Eval: 837.30, Total Timesteps: 34182800 episode:175 

Rewards Tr: 1164.25, Rewards Val: 1182.77, Rewards Eval: 538.49, Total Timesteps: 34672460 episode:176 

Rewards Tr: 1211.71, Rewards Val: 1163.74, Rewards Eval: 1086.18, Total Timesteps: 35198190 episode:177 

Rewards Tr: 1207.82, Rewards Val: 1129.70, Rewards Eval: 707.60, Total Timesteps: 35725090 episode:178 

Rewards Tr: 1189.01, Rewards Val: 1233.42, Rewards Eval: 821.69, Total Timesteps: 36235180 episode:179 

Rewards Tr: 1104.53, Rewards Val: 1062.68, Rewards Eval: 730.73, Total Timesteps: 36700900 episode:180 

Rewards Tr: 956.47, Rewards Val: 951.71, Rewards Eval: 494.44, Total Timesteps: 37051710 episode:181 

Rewards Tr: 789.22, Rewards Val: 788.75, Rewards Eval: 474.36, Total Timesteps: 37302810 episode:182 

Rewards Tr: 638.11, Rewards Val: 668.44, Rewards Eval: 492.01, Total Timesteps: 37498780 episode:183 

Rewards Tr: 676.38, Rewards Val: 716.12, Rewards Eval: 597.19, Total Timesteps: 37712180 episode:184 

Rewards Tr: 772.47, Rewards Val: 800.95, Rewards Eval: 748.79, Total Timesteps: 37955500 episode:185 

Rewards Tr: 764.20, Rewards Val: 767.20, Rewards Eval: 552.56, Total Timesteps: 38208580 episode:186 

Rewards Tr: 865.80, Rewards Val: 826.78, Rewards Eval: 633.60, Total Timesteps: 38495150 episode:187 

Rewards Tr: 879.49, Rewards Val: 881.67, Rewards Eval: 425.59, Total Timesteps: 38788920 episode:188 

Rewards Tr: 821.25, Rewards Val: 857.73, Rewards Eval: 510.21, Total Timesteps: 39078850 episode:189 

Rewards Tr: 812.67, Rewards Val: 831.54, Rewards Eval: 591.53, Total Timesteps: 39379180 episode:190 

Rewards Tr: 1034.77, Rewards Val: 1066.43, Rewards Eval: 794.96, Total Timesteps: 39800990 episode:191 

Rewards Tr: 1402.31, Rewards Val: 1404.16, Rewards Eval: 827.04, Total Timesteps: 40359090 episode:192 

Rewards Tr: 1353.89, Rewards Val: 1288.78, Rewards Eval: 717.32, Total Timesteps: 40929250 episode:193 

Rewards Tr: 1322.13, Rewards Val: 1318.48, Rewards Eval: 798.86, Total Timesteps: 41485900 episode:194 

Rewards Tr: 1225.46, Rewards Val: 1309.18, Rewards Eval: 441.93, Total Timesteps: 41985840 episode:195 

Rewards Tr: 956.25, Rewards Val: 970.75, Rewards Eval: 495.34, Total Timesteps: 42337560 episode:196 

Rewards Tr: 762.16, Rewards Val: 770.56, Rewards Eval: 556.17, Total Timesteps: 42580180 episode:197 

