
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8290 episode:0 
Rewards Tr: 936.37, Rewards Eval: 828.74, Total Timesteps: 19419690 episode:184 

Rewards Tr: 927.57, Rewards Eval: 746.84, Total Timesteps: 19624430 episode:185 

Rewards Tr: 919.30, Rewards Eval: 824.48, Total Timesteps: 19836210 episode:186 

Rewards Tr: 915.72, Rewards Eval: 847.59, Total Timesteps: 20046720 episode:187 

Rewards Tr: 830.64, Rewards Eval: 893.76, Total Timesteps: 20229110 episode:188 

Rewards Tr: 836.23, Rewards Eval: 998.95, Total Timesteps: 20404240 episode:189 

Rewards Tr: 923.87, Rewards Eval: 703.94, Total Timesteps: 20598560 episode:190 

Rewards Tr: 953.28, Rewards Eval: 691.51, Total Timesteps: 20790760 episode:191 

Rewards Tr: 1000.64, Rewards Eval: 1360.70, Total Timesteps: 20994570 episode:192 

Rewards Tr: 1148.63, Rewards Eval: 1540.61, Total Timesteps: 21234660 episode:193 

Rewards Tr: 1153.60, Rewards Eval: 889.85, Total Timesteps: 21492280 episode:194 

Rewards Tr: 1164.03, Rewards Eval: 1461.46, Total Timesteps: 21731250 episode:195 

Rewards Tr: 1058.60, Rewards Eval: 1038.15, Total Timesteps: 21962780 episode:196 

Rewards Tr: 973.31, Rewards Eval: 582.65, Total Timesteps: 22146900 episode:197 

Rewards Tr: 906.55, Rewards Eval: 1092.92, Total Timesteps: 22318830 episode:198 

Rewards Tr: 844.86, Rewards Eval: 1188.81, Total Timesteps: 22489150 episode:199 

Rewards Tr: 1010.32, Rewards Eval: 1017.56, Total Timesteps: 22688510 episode:200 

Rewards Tr: 996.65, Rewards Eval: 881.28, Total Timesteps: 22895150 episode:201 

Rewards Tr: 975.70, Rewards Eval: 900.79, Total Timesteps: 23097370 episode:202 

Rewards Tr: 924.04, Rewards Eval: 960.04, Total Timesteps: 23286000 episode:203 

Rewards Tr: 1033.81, Rewards Eval: 1037.15, Total Timesteps: 23507970 episode:204 

Rewards Tr: 1054.51, Rewards Eval: 1360.83, Total Timesteps: 23731900 episode:205 

Rewards Tr: 1071.36, Rewards Eval: 1176.55, Total Timesteps: 23953220 episode:206 

Rewards Tr: 1037.74, Rewards Eval: 674.00, Total Timesteps: 24181010 episode:207 

Rewards Tr: 976.98, Rewards Eval: 1076.24, Total Timesteps: 24383560 episode:208 

Rewards Tr: 1029.43, Rewards Eval: 975.32, Total Timesteps: 24604060 episode:209 

Rewards Tr: 856.36, Rewards Eval: 798.28, Total Timesteps: 24767440 episode:210 

Rewards Tr: 945.62, Rewards Eval: 705.62, Total Timesteps: 24967960 episode:211 

Rewards Tr: 1050.19, Rewards Eval: 1566.29, Total Timesteps: 25193520 episode:212 

Rewards Tr: 1125.37, Rewards Eval: 1094.61, Total Timesteps: 25431800 episode:213 

Rewards Tr: 1146.31, Rewards Eval: 1111.33, Total Timesteps: 25681150 episode:214 

Rewards Tr: 1224.73, Rewards Eval: 838.11, Total Timesteps: 25946460 episode:215 

Rewards Tr: 1146.33, Rewards Eval: 1400.98, Total Timesteps: 26182820 episode:216 

Rewards Tr: 1092.03, Rewards Eval: 1058.74, Total Timesteps: 26392520 episode:217 

Rewards Tr: 924.42, Rewards Eval: 1083.13, Total Timesteps: 26574290 episode:218 

Rewards Tr: 810.75, Rewards Eval: 844.11, Total Timesteps: 26722470 episode:219 

Rewards Tr: 772.59, Rewards Eval: 742.29, Total Timesteps: 26856260 episode:220 

Rewards Tr: 802.91, Rewards Eval: 1078.22, Total Timesteps: 26994320 episode:221 

Rewards Tr: 912.02, Rewards Eval: 702.16, Total Timesteps: 27172580 episode:222 

Rewards Tr: 1000.13, Rewards Eval: 909.87, Total Timesteps: 27372900 episode:223 

Rewards Tr: 1116.39, Rewards Eval: 1250.35, Total Timesteps: 27633500 episode:224 

Rewards Tr: 1183.75, Rewards Eval: 1355.41, Total Timesteps: 27885230 episode:225 

Rewards Tr: 1208.97, Rewards Eval: 1232.34, Total Timesteps: 28131310 episode:226 

Rewards Tr: 1177.97, Rewards Eval: 971.87, Total Timesteps: 28368380 episode:227 

Rewards Tr: 1002.86, Rewards Eval: 1202.83, Total Timesteps: 28562670 episode:228 

Rewards Tr: 965.75, Rewards Eval: 1013.11, Total Timesteps: 28748700 episode:229 

Rewards Tr: 1021.35, Rewards Eval: 1081.65, Total Timesteps: 28944450 episode:230 

Rewards Tr: 1076.54, Rewards Eval: 1044.22, Total Timesteps: 29146620 episode:231 

Rewards Tr: 1061.55, Rewards Eval: 1018.05, Total Timesteps: 29360410 episode:232 

Rewards Tr: 1057.04, Rewards Eval: 1193.36, Total Timesteps: 29568190 episode:233 

Rewards Tr: 1064.00, Rewards Eval: 889.85, Total Timesteps: 29788060 episode:234 

Rewards Tr: 926.55, Rewards Eval: 960.31, Total Timesteps: 29969290 episode:235 

Rewards Tr: 1015.19, Rewards Eval: 1128.06, Total Timesteps: 30167930 episode:236 

Rewards Tr: 1167.51, Rewards Eval: 1076.30, Total Timesteps: 30393070 episode:237 

Rewards Tr: 1083.84, Rewards Eval: 1210.71, Total Timesteps: 30595340 episode:238 

Rewards Tr: 1152.29, Rewards Eval: 1037.78, Total Timesteps: 30823930 episode:239 

Rewards Tr: 1104.89, Rewards Eval: 1533.41, Total Timesteps: 31033870 episode:240 

Rewards Tr: 1031.04, Rewards Eval: 826.43, Total Timesteps: 31245780 episode:241 

Rewards Tr: 1028.95, Rewards Eval: 1143.50, Total Timesteps: 31426940 episode:242 

Rewards Tr: 1050.24, Rewards Eval: 1254.33, Total Timesteps: 31636220 episode:243 

Rewards Tr: 930.78, Rewards Eval: 1066.13, Total Timesteps: 31805300 episode:244 

Rewards Tr: 934.91, Rewards Eval: 1184.38, Total Timesteps: 31980390 episode:245 

Rewards Tr: 1080.11, Rewards Eval: 1056.95, Total Timesteps: 32182410 episode:246 

Rewards Tr: 1083.51, Rewards Eval: 1508.27, Total Timesteps: 32381700 episode:247 

Rewards Tr: 1030.83, Rewards Eval: 1129.46, Total Timesteps: 32576950 episode:248 

Rewards Tr: 1177.83, Rewards Eval: 1450.77, Total Timesteps: 32805790 episode:249 

Rewards Tr: 1259.53, Rewards Eval: 1024.01, Total Timesteps: 33039950 episode:250 

Rewards Tr: 1132.18, Rewards Eval: 1375.01, Total Timesteps: 33251670 episode:251 

Rewards Tr: 998.88, Rewards Eval: 888.63, Total Timesteps: 33430680 episode:252 

