For Seed: 1 

Rewards Tr: 106.85, Rewards Disc: 0.28, Rewards Eval: 121.27, Total Timesteps: 17134410 episode:105 

Rewards Tr: 105.53, Rewards Disc: 0.30, Rewards Eval: 100.73, Total Timesteps: 17334410 episode:106 

Rewards Tr: 90.68, Rewards Disc: 0.48, Rewards Eval: 127.35, Total Timesteps: 17534410 episode:107 

Rewards Tr: 85.67, Rewards Disc: 0.52, Rewards Eval: 98.66, Total Timesteps: 17734410 episode:108 

Rewards Tr: 79.81, Rewards Disc: 0.66, Rewards Eval: 109.18, Total Timesteps: 17934410 episode:109 

Rewards Tr: 75.13, Rewards Disc: 0.64, Rewards Eval: 104.03, Total Timesteps: 18134410 episode:110 

Rewards Tr: 92.22, Rewards Disc: 0.43, Rewards Eval: 109.25, Total Timesteps: 18334410 episode:111 

Rewards Tr: 85.53, Rewards Disc: 0.41, Rewards Eval: 119.53, Total Timesteps: 18534410 episode:112 

Rewards Tr: 81.16, Rewards Disc: 0.43, Rewards Eval: 89.97, Total Timesteps: 18734410 episode:113 

Rewards Tr: 96.05, Rewards Disc: 0.27, Rewards Eval: 83.47, Total Timesteps: 18934410 episode:114 

Rewards Tr: 86.22, Rewards Disc: 0.29, Rewards Eval: 92.30, Total Timesteps: 19134410 episode:115 

Rewards Tr: 100.47, Rewards Disc: 0.03, Rewards Eval: 35.09, Total Timesteps: 19334410 episode:116 

Rewards Tr: 91.28, Rewards Disc: -0.03, Rewards Eval: 27.28, Total Timesteps: 19534410 episode:117 

Rewards Tr: 85.61, Rewards Disc: -0.10, Rewards Eval: 32.25, Total Timesteps: 19734410 episode:118 

Rewards Tr: 97.47, Rewards Disc: -0.44, Rewards Eval: -38.75, Total Timesteps: 19934410 episode:119 

Rewards Tr: 84.70, Rewards Disc: -0.50, Rewards Eval: -55.34, Total Timesteps: 20134410 episode:120 

Rewards Tr: 78.06, Rewards Disc: -0.75, Rewards Eval: -91.08, Total Timesteps: 20334410 episode:121 

Rewards Tr: 71.10, Rewards Disc: -0.87, Rewards Eval: -140.27, Total Timesteps: 20534410 episode:122 

Rewards Tr: 61.95, Rewards Disc: -0.92, Rewards Eval: -64.55, Total Timesteps: 20734410 episode:123 

Rewards Tr: 66.22, Rewards Disc: -1.01, Rewards Eval: -96.67, Total Timesteps: 20934410 episode:124 

Rewards Tr: 63.52, Rewards Disc: -0.95, Rewards Eval: -74.82, Total Timesteps: 21134410 episode:125 

Rewards Tr: 72.77, Rewards Disc: -0.93, Rewards Eval: -53.06, Total Timesteps: 21334410 episode:126 

Rewards Tr: 69.01, Rewards Disc: -0.62, Rewards Eval: -31.77, Total Timesteps: 21534410 episode:127 

Rewards Tr: 60.57, Rewards Disc: -0.30, Rewards Eval: 47.54, Total Timesteps: 21734410 episode:128 

Rewards Tr: 45.70, Rewards Disc: 0.10, Rewards Eval: 53.11, Total Timesteps: 21934410 episode:129 

Rewards Tr: 60.33, Rewards Disc: 0.18, Rewards Eval: 46.32, Total Timesteps: 22134410 episode:130 

Rewards Tr: 83.61, Rewards Disc: 0.10, Rewards Eval: 84.63, Total Timesteps: 22334410 episode:131 

Rewards Tr: 87.70, Rewards Disc: 0.19, Rewards Eval: 82.99, Total Timesteps: 22534410 episode:132 

Rewards Tr: 112.91, Rewards Disc: 0.08, Rewards Eval: 96.97, Total Timesteps: 22734410 episode:133 

Rewards Tr: 124.85, Rewards Disc: 0.06, Rewards Eval: 112.62, Total Timesteps: 22934410 episode:134 

Rewards Tr: 136.51, Rewards Disc: 0.02, Rewards Eval: 119.85, Total Timesteps: 23134410 episode:135 

Rewards Tr: 134.05, Rewards Disc: 0.14, Rewards Eval: 135.44, Total Timesteps: 23334410 episode:136 

Rewards Tr: 144.52, Rewards Disc: 0.05, Rewards Eval: 145.67, Total Timesteps: 23534410 episode:137 

Rewards Tr: 151.20, Rewards Disc: 0.01, Rewards Eval: 113.90, Total Timesteps: 23734410 episode:138 

Rewards Tr: 146.88, Rewards Disc: 0.08, Rewards Eval: 195.12, Total Timesteps: 23934410 episode:139 

Rewards Tr: 146.47, Rewards Disc: 0.15, Rewards Eval: 121.44, Total Timesteps: 24134410 episode:140 

Rewards Tr: 152.18, Rewards Disc: 0.05, Rewards Eval: 127.72, Total Timesteps: 24334410 episode:141 

Rewards Tr: 146.65, Rewards Disc: 0.15, Rewards Eval: 160.00, Total Timesteps: 24534410 episode:142 

Rewards Tr: 144.72, Rewards Disc: 0.13, Rewards Eval: 121.18, Total Timesteps: 24734410 episode:143 

Rewards Tr: 146.77, Rewards Disc: 0.16, Rewards Eval: 135.93, Total Timesteps: 24934410 episode:144 

Rewards Tr: 147.99, Rewards Disc: 0.10, Rewards Eval: 128.50, Total Timesteps: 25134410 episode:145 

Rewards Tr: 149.49, Rewards Disc: 0.08, Rewards Eval: 156.19, Total Timesteps: 25334410 episode:146 

Rewards Tr: 148.87, Rewards Disc: 0.14, Rewards Eval: 153.31, Total Timesteps: 25534410 episode:147 

Rewards Tr: 153.88, Rewards Disc: 0.05, Rewards Eval: 186.50, Total Timesteps: 25734410 episode:148 

Rewards Tr: 153.07, Rewards Disc: 0.09, Rewards Eval: 176.32, Total Timesteps: 25934410 episode:149 

Rewards Tr: 148.45, Rewards Disc: 0.16, Rewards Eval: 136.80, Total Timesteps: 26134410 episode:150 

Rewards Tr: 154.09, Rewards Disc: 0.09, Rewards Eval: 121.65, Total Timesteps: 26334410 episode:151 

Rewards Tr: 152.40, Rewards Disc: 0.09, Rewards Eval: 129.71, Total Timesteps: 26534410 episode:152 

Rewards Tr: 161.43, Rewards Disc: 0.04, Rewards Eval: 170.63, Total Timesteps: 26734410 episode:153 

Rewards Tr: 154.75, Rewards Disc: 0.05, Rewards Eval: 113.55, Total Timesteps: 26934410 episode:154 

Rewards Tr: 154.95, Rewards Disc: 0.04, Rewards Eval: 165.41, Total Timesteps: 27134410 episode:155 

Rewards Tr: 159.40, Rewards Disc: -0.03, Rewards Eval: 144.39, Total Timesteps: 27334410 episode:156 

Rewards Tr: 157.67, Rewards Disc: 0.04, Rewards Eval: 156.20, Total Timesteps: 27534410 episode:157 

Rewards Tr: 158.51, Rewards Disc: 0.02, Rewards Eval: 138.92, Total Timesteps: 27734410 episode:158 

Rewards Tr: 153.49, Rewards Disc: 0.07, Rewards Eval: 159.13, Total Timesteps: 27934410 episode:159 

Rewards Tr: 155.28, Rewards Disc: 0.05, Rewards Eval: 179.42, Total Timesteps: 28134410 episode:160 

Rewards Tr: 156.94, Rewards Disc: 0.03, Rewards Eval: 124.30, Total Timesteps: 28334410 episode:161 

Rewards Tr: 157.17, Rewards Disc: 0.04, Rewards Eval: 148.10, Total Timesteps: 28534410 episode:162 

Rewards Tr: 160.08, Rewards Disc: 0.02, Rewards Eval: 155.52, Total Timesteps: 28734410 episode:163 

Rewards Tr: 163.14, Rewards Disc: -0.08, Rewards Eval: 190.32, Total Timesteps: 28934410 episode:164 

Rewards Tr: 157.24, Rewards Disc: 0.04, Rewards Eval: 139.93, Total Timesteps: 29134410 episode:165 

Rewards Tr: 157.27, Rewards Disc: 0.05, Rewards Eval: 174.61, Total Timesteps: 29334410 episode:166 

Rewards Tr: 159.40, Rewards Disc: 0.02, Rewards Eval: 183.09, Total Timesteps: 29534410 episode:167 

Rewards Tr: 162.32, Rewards Disc: 0.06, Rewards Eval: 148.81, Total Timesteps: 29734410 episode:168 

Rewards Tr: 160.94, Rewards Disc: 0.02, Rewards Eval: 127.74, Total Timesteps: 29934410 episode:169 

Rewards Tr: 159.74, Rewards Disc: 0.05, Rewards Eval: 179.12, Total Timesteps: 30134410 episode:170 

Rewards Tr: 161.03, Rewards Disc: 0.04, Rewards Eval: 130.82, Total Timesteps: 30334410 episode:171 

Rewards Tr: 159.86, Rewards Disc: 0.08, Rewards Eval: 153.21, Total Timesteps: 30534410 episode:172 

Rewards Tr: 157.92, Rewards Disc: 0.07, Rewards Eval: 183.00, Total Timesteps: 30734410 episode:173 

Rewards Tr: 162.72, Rewards Disc: 0.05, Rewards Eval: 145.91, Total Timesteps: 30934410 episode:174 

Rewards Tr: 161.56, Rewards Disc: 0.07, Rewards Eval: 153.48, Total Timesteps: 31134410 episode:175 

Rewards Tr: 168.94, Rewards Disc: 0.03, Rewards Eval: 132.44, Total Timesteps: 31334410 episode:176 

Rewards Tr: 157.24, Rewards Disc: 0.12, Rewards Eval: 140.19, Total Timesteps: 31534410 episode:177 

Rewards Tr: 158.92, Rewards Disc: 0.07, Rewards Eval: 137.50, Total Timesteps: 31734410 episode:178 

Rewards Tr: 165.30, Rewards Disc: 0.03, Rewards Eval: 147.68, Total Timesteps: 31934410 episode:179 

Rewards Tr: 163.43, Rewards Disc: 0.06, Rewards Eval: 158.24, Total Timesteps: 32134410 episode:180 

Rewards Tr: 168.90, Rewards Disc: -0.03, Rewards Eval: 173.68, Total Timesteps: 32334410 episode:181 

Rewards Tr: 167.80, Rewards Disc: -0.02, Rewards Eval: 156.15, Total Timesteps: 32534410 episode:182 

Rewards Tr: 167.32, Rewards Disc: -0.01, Rewards Eval: 179.73, Total Timesteps: 32734410 episode:183 

Rewards Tr: 165.05, Rewards Disc: 0.05, Rewards Eval: 128.45, Total Timesteps: 32934410 episode:184 

Rewards Tr: 166.80, Rewards Disc: 0.01, Rewards Eval: 162.69, Total Timesteps: 33134410 episode:185 

Rewards Tr: 168.75, Rewards Disc: 0.01, Rewards Eval: 141.15, Total Timesteps: 33334410 episode:186 

Rewards Tr: 157.68, Rewards Disc: 0.09, Rewards Eval: 141.41, Total Timesteps: 33534410 episode:187 

Rewards Tr: 166.88, Rewards Disc: -0.01, Rewards Eval: 159.37, Total Timesteps: 33734410 episode:188 

Rewards Tr: 162.88, Rewards Disc: 0.03, Rewards Eval: 137.13, Total Timesteps: 33934410 episode:189 

Rewards Tr: 170.07, Rewards Disc: 0.01, Rewards Eval: 183.40, Total Timesteps: 34134410 episode:190 

Rewards Tr: 168.05, Rewards Disc: 0.00, Rewards Eval: 143.22, Total Timesteps: 34334410 episode:191 

Rewards Tr: 165.18, Rewards Disc: 0.06, Rewards Eval: 151.25, Total Timesteps: 34534410 episode:192 

Rewards Tr: 166.54, Rewards Disc: 0.03, Rewards Eval: 135.39, Total Timesteps: 34734410 episode:193 

Rewards Tr: 164.78, Rewards Disc: 0.03, Rewards Eval: 175.56, Total Timesteps: 34934410 episode:194 

Rewards Tr: 167.73, Rewards Disc: 0.01, Rewards Eval: 151.73, Total Timesteps: 35134410 episode:195 

Rewards Tr: 167.62, Rewards Disc: 0.00, Rewards Eval: 165.34, Total Timesteps: 35334410 episode:196 

Rewards Tr: 170.69, Rewards Disc: 0.01, Rewards Eval: 163.25, Total Timesteps: 35534410 episode:197 

Rewards Tr: 167.03, Rewards Disc: 0.06, Rewards Eval: 189.16, Total Timesteps: 35734410 episode:198 

Rewards Tr: 161.89, Rewards Disc: 0.08, Rewards Eval: 136.58, Total Timesteps: 35934410 episode:199 

Elapsed Time: 1113.6 minutes 

