For Seed: 1 

Rewards Tr: 142.58, Rewards Disc: 0.01, Rewards Eval: 83.12, Total Timesteps: 22974120 episode:142 

Rewards Tr: 151.01, Rewards Disc: -0.03, Rewards Eval: 84.38, Total Timesteps: 23174120 episode:143 

Rewards Tr: 147.71, Rewards Disc: -0.04, Rewards Eval: 103.93, Total Timesteps: 23374120 episode:144 

Rewards Tr: 148.54, Rewards Disc: -0.04, Rewards Eval: 138.41, Total Timesteps: 23574120 episode:145 

Rewards Tr: 144.28, Rewards Disc: -0.07, Rewards Eval: 143.18, Total Timesteps: 23774120 episode:146 

Rewards Tr: 104.67, Rewards Disc: 0.36, Rewards Eval: 116.28, Total Timesteps: 23966210 episode:147 

Rewards Tr: 110.45, Rewards Disc: 0.25, Rewards Eval: 122.51, Total Timesteps: 24158110 episode:148 

Rewards Tr: 75.14, Rewards Disc: 0.67, Rewards Eval: 109.93, Total Timesteps: 24354380 episode:149 

Rewards Tr: 96.99, Rewards Disc: 0.39, Rewards Eval: 119.51, Total Timesteps: 24554380 episode:150 

Rewards Tr: 119.42, Rewards Disc: 0.18, Rewards Eval: 142.60, Total Timesteps: 24754380 episode:151 

Rewards Tr: 130.48, Rewards Disc: 0.09, Rewards Eval: 122.16, Total Timesteps: 24954380 episode:152 

Rewards Tr: 139.91, Rewards Disc: 0.03, Rewards Eval: 117.67, Total Timesteps: 25154380 episode:153 

Rewards Tr: 151.04, Rewards Disc: 0.00, Rewards Eval: 152.04, Total Timesteps: 25354380 episode:154 

Rewards Tr: 126.62, Rewards Disc: 0.25, Rewards Eval: 138.14, Total Timesteps: 25538140 episode:155 

Rewards Tr: 142.30, Rewards Disc: 0.17, Rewards Eval: 134.97, Total Timesteps: 25729820 episode:156 

Rewards Tr: 116.08, Rewards Disc: 0.44, Rewards Eval: 125.33, Total Timesteps: 25905020 episode:157 

Rewards Tr: 120.33, Rewards Disc: 0.45, Rewards Eval: 171.63, Total Timesteps: 26088270 episode:158 

Rewards Tr: 162.63, Rewards Disc: 0.00, Rewards Eval: 132.24, Total Timesteps: 26288270 episode:159 

Rewards Tr: 162.78, Rewards Disc: -0.01, Rewards Eval: 109.91, Total Timesteps: 26488270 episode:160 

Rewards Tr: 160.29, Rewards Disc: 0.03, Rewards Eval: 164.99, Total Timesteps: 26688270 episode:161 

Rewards Tr: 163.07, Rewards Disc: 0.01, Rewards Eval: 166.39, Total Timesteps: 26888270 episode:162 

Rewards Tr: 115.26, Rewards Disc: 0.48, Rewards Eval: 171.60, Total Timesteps: 27063280 episode:163 

Rewards Tr: 167.26, Rewards Disc: 0.01, Rewards Eval: 148.73, Total Timesteps: 27263280 episode:164 

Rewards Tr: 169.01, Rewards Disc: -0.06, Rewards Eval: 159.85, Total Timesteps: 27463280 episode:165 

Rewards Tr: 162.20, Rewards Disc: 0.02, Rewards Eval: 148.88, Total Timesteps: 27663280 episode:166 

Rewards Tr: 167.31, Rewards Disc: 0.00, Rewards Eval: 146.76, Total Timesteps: 27863280 episode:167 

Rewards Tr: 156.40, Rewards Disc: 0.11, Rewards Eval: 166.19, Total Timesteps: 28063280 episode:168 

Rewards Tr: 135.50, Rewards Disc: 0.34, Rewards Eval: 147.58, Total Timesteps: 28248970 episode:169 

Rewards Tr: 139.01, Rewards Disc: 0.29, Rewards Eval: 164.79, Total Timesteps: 28431980 episode:170 

Rewards Tr: 166.85, Rewards Disc: 0.03, Rewards Eval: 150.30, Total Timesteps: 28631980 episode:171 

Rewards Tr: 130.01, Rewards Disc: 0.42, Rewards Eval: 148.38, Total Timesteps: 28815270 episode:172 

Rewards Tr: 168.22, Rewards Disc: -0.00, Rewards Eval: 162.75, Total Timesteps: 29015270 episode:173 

Rewards Tr: 169.95, Rewards Disc: -0.01, Rewards Eval: 157.40, Total Timesteps: 29215270 episode:174 

Rewards Tr: 167.97, Rewards Disc: 0.01, Rewards Eval: 151.81, Total Timesteps: 29415270 episode:175 

Rewards Tr: 166.23, Rewards Disc: -0.00, Rewards Eval: 108.76, Total Timesteps: 29615270 episode:176 

Rewards Tr: 130.30, Rewards Disc: 0.38, Rewards Eval: 142.23, Total Timesteps: 29798620 episode:177 

Rewards Tr: 132.73, Rewards Disc: 0.38, Rewards Eval: 163.23, Total Timesteps: 29956700 episode:178 

Rewards Tr: 159.01, Rewards Disc: 0.08, Rewards Eval: 145.39, Total Timesteps: 30156700 episode:179 

Rewards Tr: 119.33, Rewards Disc: 0.54, Rewards Eval: 156.80, Total Timesteps: 30356700 episode:180 

Rewards Tr: 123.88, Rewards Disc: 0.43, Rewards Eval: 139.13, Total Timesteps: 30531720 episode:181 

Rewards Tr: 148.66, Rewards Disc: 0.19, Rewards Eval: 174.88, Total Timesteps: 30731720 episode:182 

Rewards Tr: 112.02, Rewards Disc: 0.53, Rewards Eval: 145.75, Total Timesteps: 30907560 episode:183 

Rewards Tr: 160.54, Rewards Disc: 0.03, Rewards Eval: 154.25, Total Timesteps: 31107560 episode:184 

Rewards Tr: 157.38, Rewards Disc: 0.03, Rewards Eval: 160.67, Total Timesteps: 31307560 episode:185 

Rewards Tr: 158.80, Rewards Disc: 0.05, Rewards Eval: 154.44, Total Timesteps: 31507560 episode:186 

Rewards Tr: 158.50, Rewards Disc: 0.02, Rewards Eval: 179.60, Total Timesteps: 31707560 episode:187 

Rewards Tr: 154.88, Rewards Disc: 0.09, Rewards Eval: 149.50, Total Timesteps: 31907560 episode:188 

Rewards Tr: 156.19, Rewards Disc: 0.07, Rewards Eval: 177.72, Total Timesteps: 32107560 episode:189 

Rewards Tr: 160.01, Rewards Disc: 0.04, Rewards Eval: 159.72, Total Timesteps: 32307560 episode:190 

Rewards Tr: 161.39, Rewards Disc: 0.05, Rewards Eval: 179.28, Total Timesteps: 32507560 episode:191 

Rewards Tr: 163.07, Rewards Disc: -0.02, Rewards Eval: 180.96, Total Timesteps: 32707560 episode:192 

Rewards Tr: 165.27, Rewards Disc: 0.03, Rewards Eval: 148.51, Total Timesteps: 32907560 episode:193 

Rewards Tr: 163.46, Rewards Disc: -0.02, Rewards Eval: 174.58, Total Timesteps: 33107560 episode:194 

Rewards Tr: 169.97, Rewards Disc: -0.03, Rewards Eval: 172.03, Total Timesteps: 33307560 episode:195 

Rewards Tr: 168.98, Rewards Disc: 0.01, Rewards Eval: 145.91, Total Timesteps: 33507560 episode:196 

Rewards Tr: 172.02, Rewards Disc: -0.00, Rewards Eval: 187.19, Total Timesteps: 33707560 episode:197 

Rewards Tr: 174.59, Rewards Disc: -0.02, Rewards Eval: 185.17, Total Timesteps: 33907560 episode:198 

Rewards Tr: 176.21, Rewards Disc: -0.07, Rewards Eval: 146.58, Total Timesteps: 34107560 episode:199 

Elapsed Time: 1071.1 minutes 

