For Seed: 1 

Rewards Tr: 140.18, Rewards Eval: 130.32, Total Timesteps: 24390570 episode:159 

Rewards Tr: 147.43, Rewards Eval: 137.33, Total Timesteps: 24590570 episode:160 

Rewards Tr: 137.65, Rewards Eval: 152.13, Total Timesteps: 24774040 episode:161 

Rewards Tr: 153.01, Rewards Eval: 168.86, Total Timesteps: 24974040 episode:162 

Rewards Tr: 142.57, Rewards Eval: 138.04, Total Timesteps: 25165990 episode:163 

Rewards Tr: 149.74, Rewards Eval: 133.44, Total Timesteps: 25365990 episode:164 

Rewards Tr: 153.24, Rewards Eval: 162.40, Total Timesteps: 25557760 episode:165 

Rewards Tr: 147.58, Rewards Eval: 133.79, Total Timesteps: 25757760 episode:166 

Rewards Tr: 160.44, Rewards Eval: 149.41, Total Timesteps: 25957760 episode:167 

Rewards Tr: 137.84, Rewards Eval: 142.75, Total Timesteps: 26149370 episode:168 

Rewards Tr: 139.36, Rewards Eval: 117.95, Total Timesteps: 26341400 episode:169 

Rewards Tr: 157.47, Rewards Eval: 158.92, Total Timesteps: 26541400 episode:170 

Rewards Tr: 158.19, Rewards Eval: 167.55, Total Timesteps: 26741400 episode:171 

Rewards Tr: 155.01, Rewards Eval: 154.13, Total Timesteps: 26941400 episode:172 

Rewards Tr: 153.58, Rewards Eval: 160.39, Total Timesteps: 27141400 episode:173 

Rewards Tr: 160.25, Rewards Eval: 175.13, Total Timesteps: 27341400 episode:174 

Rewards Tr: 151.39, Rewards Eval: 180.26, Total Timesteps: 27541400 episode:175 

Rewards Tr: 140.56, Rewards Eval: 145.99, Total Timesteps: 27733090 episode:176 

Rewards Tr: 147.58, Rewards Eval: 154.79, Total Timesteps: 27924830 episode:177 

Rewards Tr: 133.51, Rewards Eval: 174.62, Total Timesteps: 28100160 episode:178 

Rewards Tr: 152.00, Rewards Eval: 155.08, Total Timesteps: 28291690 episode:179 

Rewards Tr: 156.47, Rewards Eval: 171.82, Total Timesteps: 28483170 episode:180 

Rewards Tr: 145.63, Rewards Eval: 160.13, Total Timesteps: 28674910 episode:181 

Rewards Tr: 155.21, Rewards Eval: 141.37, Total Timesteps: 28874910 episode:182 

Rewards Tr: 145.80, Rewards Eval: 162.06, Total Timesteps: 29074910 episode:183 

