For Seed: 102 

Rewards Tr: 131.47, Rewards Val: 130.98, Rewards Disc: -0.01, Rewards Eval: 98.72, Total Timesteps: 89729850 episode:175 

Rewards Tr: 126.14, Rewards Val: 127.62, Rewards Disc: 0.02, Rewards Eval: 50.33, Total Timesteps: 90329850 episode:176 

Rewards Tr: 127.10, Rewards Val: 126.19, Rewards Disc: 0.04, Rewards Eval: 51.56, Total Timesteps: 90929850 episode:177 

Rewards Tr: 124.62, Rewards Val: 124.67, Rewards Disc: 0.05, Rewards Eval: 76.83, Total Timesteps: 91529850 episode:178 

Rewards Tr: 109.29, Rewards Val: 115.11, Rewards Disc: 0.15, Rewards Eval: 58.66, Total Timesteps: 92129850 episode:179 

Rewards Tr: 115.68, Rewards Val: 117.87, Rewards Disc: 0.12, Rewards Eval: 92.87, Total Timesteps: 92729850 episode:180 

Rewards Tr: 117.99, Rewards Val: 118.44, Rewards Disc: 0.12, Rewards Eval: 56.02, Total Timesteps: 93329850 episode:181 

Rewards Tr: 116.87, Rewards Val: 115.53, Rewards Disc: 0.14, Rewards Eval: 69.18, Total Timesteps: 93929850 episode:182 

Rewards Tr: 119.73, Rewards Val: 118.60, Rewards Disc: 0.11, Rewards Eval: 76.46, Total Timesteps: 94529850 episode:183 

Rewards Tr: 118.09, Rewards Val: 118.58, Rewards Disc: 0.11, Rewards Eval: 85.48, Total Timesteps: 95129850 episode:184 

Rewards Tr: 119.32, Rewards Val: 122.54, Rewards Disc: 0.07, Rewards Eval: 77.53, Total Timesteps: 95729850 episode:185 

Rewards Tr: 124.37, Rewards Val: 124.76, Rewards Disc: 0.05, Rewards Eval: 105.16, Total Timesteps: 96329850 episode:186 

Rewards Tr: 129.92, Rewards Val: 122.46, Rewards Disc: 0.08, Rewards Eval: 81.27, Total Timesteps: 96929850 episode:187 

Rewards Tr: 131.97, Rewards Val: 128.93, Rewards Disc: 0.01, Rewards Eval: 68.74, Total Timesteps: 97529850 episode:188 

Rewards Tr: 132.37, Rewards Val: 133.39, Rewards Disc: -0.03, Rewards Eval: 107.51, Total Timesteps: 98129850 episode:189 

Rewards Tr: 134.50, Rewards Val: 134.03, Rewards Disc: -0.04, Rewards Eval: 100.96, Total Timesteps: 98729850 episode:190 

Rewards Tr: 135.22, Rewards Val: 138.89, Rewards Disc: -0.09, Rewards Eval: 104.42, Total Timesteps: 99329850 episode:191 

Rewards Tr: 138.09, Rewards Val: 139.15, Rewards Disc: -0.09, Rewards Eval: 92.72, Total Timesteps: 99929850 episode:192 

Rewards Tr: 144.16, Rewards Val: 140.98, Rewards Disc: -0.11, Rewards Eval: 107.76, Total Timesteps: 100529850 episode:193 

Rewards Tr: 144.90, Rewards Val: 140.25, Rewards Disc: -0.10, Rewards Eval: 99.78, Total Timesteps: 101129850 episode:194 

Rewards Tr: 145.85, Rewards Val: 145.97, Rewards Disc: -0.16, Rewards Eval: 130.51, Total Timesteps: 101729850 episode:195 

