For Seed: 1 

Rewards Tr: 1111.56, Rewards Eval: 1081.93, Total Timesteps: 10695800 episode:153 

Rewards Tr: 972.80, Rewards Eval: 902.14, Total Timesteps: 10796250 episode:154 

Rewards Tr: 989.63, Rewards Eval: 1346.29, Total Timesteps: 10891670 episode:155 

Rewards Tr: 1180.83, Rewards Eval: 1390.92, Total Timesteps: 11020410 episode:156 

Rewards Tr: 1060.20, Rewards Eval: 1343.71, Total Timesteps: 11132580 episode:157 

Rewards Tr: 1165.75, Rewards Eval: 1616.02, Total Timesteps: 11254640 episode:158 

Rewards Tr: 1171.68, Rewards Eval: 1198.12, Total Timesteps: 11378010 episode:159 

Rewards Tr: 1026.08, Rewards Eval: 1421.04, Total Timesteps: 11488760 episode:160 

Rewards Tr: 1245.71, Rewards Eval: 1501.89, Total Timesteps: 11614690 episode:161 

Rewards Tr: 1405.57, Rewards Eval: 1259.16, Total Timesteps: 11767480 episode:162 

Rewards Tr: 1249.88, Rewards Eval: 1143.40, Total Timesteps: 11895140 episode:163 

Rewards Tr: 1405.58, Rewards Eval: 1625.79, Total Timesteps: 12033390 episode:164 

Rewards Tr: 1281.68, Rewards Eval: 896.78, Total Timesteps: 12161700 episode:165 

Rewards Tr: 1217.05, Rewards Eval: 1695.13, Total Timesteps: 12281150 episode:166 

Rewards Tr: 1640.26, Rewards Eval: 1101.33, Total Timesteps: 12442320 episode:167 

Rewards Tr: 1199.59, Rewards Eval: 1676.02, Total Timesteps: 12550580 episode:168 

Rewards Tr: 1325.82, Rewards Eval: 1318.95, Total Timesteps: 12678870 episode:169 

Rewards Tr: 1285.54, Rewards Eval: 1443.74, Total Timesteps: 12800400 episode:170 

Rewards Tr: 1051.89, Rewards Eval: 1247.14, Total Timesteps: 12906350 episode:171 

Rewards Tr: 1273.49, Rewards Eval: 1026.86, Total Timesteps: 13040270 episode:172 

Rewards Tr: 1286.59, Rewards Eval: 999.22, Total Timesteps: 13164200 episode:173 

Rewards Tr: 1367.19, Rewards Eval: 826.50, Total Timesteps: 13308100 episode:174 

Rewards Tr: 1150.01, Rewards Eval: 1781.78, Total Timesteps: 13437890 episode:175 

Rewards Tr: 1066.48, Rewards Eval: 1197.35, Total Timesteps: 13543860 episode:176 

Rewards Tr: 1305.09, Rewards Eval: 1481.03, Total Timesteps: 13676850 episode:177 

Rewards Tr: 1300.93, Rewards Eval: 1226.91, Total Timesteps: 13811620 episode:178 

Rewards Tr: 1426.37, Rewards Eval: 1592.56, Total Timesteps: 13954960 episode:179 

Rewards Tr: 1204.38, Rewards Eval: 1063.31, Total Timesteps: 14075260 episode:180 

Rewards Tr: 1401.90, Rewards Eval: 1138.30, Total Timesteps: 14204960 episode:181 

Rewards Tr: 1365.59, Rewards Eval: 1688.23, Total Timesteps: 14351100 episode:182 

Rewards Tr: 1321.27, Rewards Eval: 1047.38, Total Timesteps: 14495600 episode:183 

Rewards Tr: 1284.23, Rewards Eval: 1166.86, Total Timesteps: 14627230 episode:184 

Rewards Tr: 1222.66, Rewards Eval: 1750.21, Total Timesteps: 14738550 episode:185 

Rewards Tr: 1290.65, Rewards Eval: 1502.55, Total Timesteps: 14876020 episode:186 

Rewards Tr: 1315.13, Rewards Eval: 1043.06, Total Timesteps: 15009600 episode:187 

Rewards Tr: 1411.99, Rewards Eval: 1657.26, Total Timesteps: 15153390 episode:188 

Rewards Tr: 1652.97, Rewards Eval: 1611.31, Total Timesteps: 15315620 episode:189 

Rewards Tr: 1547.81, Rewards Eval: 1412.30, Total Timesteps: 15455080 episode:190 

Rewards Tr: 1511.91, Rewards Eval: 1386.76, Total Timesteps: 15596530 episode:191 

Rewards Tr: 1529.46, Rewards Eval: 1614.04, Total Timesteps: 15752080 episode:192 

Rewards Tr: 1524.42, Rewards Eval: 1283.48, Total Timesteps: 15892040 episode:193 

Rewards Tr: 1791.53, Rewards Eval: 1446.30, Total Timesteps: 16080000 episode:194 

Rewards Tr: 1592.93, Rewards Eval: 1465.06, Total Timesteps: 16235050 episode:195 

Rewards Tr: 1536.50, Rewards Eval: 1706.33, Total Timesteps: 16376340 episode:196 

Rewards Tr: 1255.08, Rewards Eval: 1361.40, Total Timesteps: 16494770 episode:197 

Rewards Tr: 1351.90, Rewards Eval: 1037.56, Total Timesteps: 16613530 episode:198 

Rewards Tr: 1476.45, Rewards Eval: 1263.85, Total Timesteps: 16756590 episode:199 

Rewards Tr: 1647.52, Rewards Eval: 1128.95, Total Timesteps: 16917890 episode:200 

Rewards Tr: 1461.84, Rewards Eval: 1144.59, Total Timesteps: 17065270 episode:201 

Rewards Tr: 1487.93, Rewards Eval: 1287.42, Total Timesteps: 17201510 episode:202 

Rewards Tr: 1607.29, Rewards Eval: 1638.55, Total Timesteps: 17357390 episode:203 

Rewards Tr: 1647.91, Rewards Eval: 962.81, Total Timesteps: 17511200 episode:204 

Rewards Tr: 1338.06, Rewards Eval: 1942.60, Total Timesteps: 17629480 episode:205 

Rewards Tr: 1377.53, Rewards Eval: 1693.48, Total Timesteps: 17756870 episode:206 

Rewards Tr: 1500.78, Rewards Eval: 1460.59, Total Timesteps: 17907670 episode:207 

Rewards Tr: 1459.39, Rewards Eval: 2081.94, Total Timesteps: 18036700 episode:208 

Rewards Tr: 1496.64, Rewards Eval: 1298.62, Total Timesteps: 18179560 episode:209 

Rewards Tr: 1630.68, Rewards Eval: 1580.64, Total Timesteps: 18327080 episode:210 

Rewards Tr: 1580.18, Rewards Eval: 1288.15, Total Timesteps: 18475740 episode:211 

Rewards Tr: 1634.78, Rewards Eval: 1728.20, Total Timesteps: 18627660 episode:212 

Rewards Tr: 1818.17, Rewards Eval: 1773.47, Total Timesteps: 18786990 episode:213 

Rewards Tr: 1378.05, Rewards Eval: 944.86, Total Timesteps: 18910680 episode:214 

Rewards Tr: 1380.46, Rewards Eval: 1346.96, Total Timesteps: 19044270 episode:215 

Rewards Tr: 1203.52, Rewards Eval: 1748.60, Total Timesteps: 19155080 episode:216 

Rewards Tr: 1328.16, Rewards Eval: 2167.21, Total Timesteps: 19279480 episode:217 

Rewards Tr: 1527.32, Rewards Eval: 1700.24, Total Timesteps: 19426870 episode:218 

Rewards Tr: 1657.23, Rewards Eval: 1755.28, Total Timesteps: 19577270 episode:219 

Rewards Tr: 1691.23, Rewards Eval: 1652.69, Total Timesteps: 19735730 episode:220 

Rewards Tr: 1681.44, Rewards Eval: 2224.96, Total Timesteps: 19884670 episode:221 

Rewards Tr: 1324.84, Rewards Eval: 1377.04, Total Timesteps: 20018170 episode:222 

Rewards Tr: 1746.22, Rewards Eval: 1897.45, Total Timesteps: 20182790 episode:223 

Rewards Tr: 1661.61, Rewards Eval: 1536.77, Total Timesteps: 20333990 episode:224 

Rewards Tr: 1606.65, Rewards Eval: 2091.07, Total Timesteps: 20480030 episode:225 

Rewards Tr: 1523.55, Rewards Eval: 1353.96, Total Timesteps: 20620120 episode:226 

Rewards Tr: 1847.50, Rewards Eval: 1429.70, Total Timesteps: 20772460 episode:227 

Rewards Tr: 1488.31, Rewards Eval: 1595.67, Total Timesteps: 20912820 episode:228 

Rewards Tr: 1652.05, Rewards Eval: 1759.00, Total Timesteps: 21068330 episode:229 

Rewards Tr: 1662.83, Rewards Eval: 1551.85, Total Timesteps: 21211050 episode:230 

Rewards Tr: 1385.30, Rewards Eval: 1921.24, Total Timesteps: 21344530 episode:231 

Rewards Tr: 1806.20, Rewards Eval: 1430.71, Total Timesteps: 21494120 episode:232 

Rewards Tr: 1474.67, Rewards Eval: 1771.96, Total Timesteps: 21633340 episode:233 

Rewards Tr: 1928.82, Rewards Eval: 1648.03, Total Timesteps: 21785060 episode:234 

Rewards Tr: 1580.08, Rewards Eval: 1302.74, Total Timesteps: 21919350 episode:235 

Rewards Tr: 1551.91, Rewards Eval: 1873.28, Total Timesteps: 22058450 episode:236 

Rewards Tr: 1565.57, Rewards Eval: 1758.95, Total Timesteps: 22190390 episode:237 

Rewards Tr: 1636.76, Rewards Eval: 1269.97, Total Timesteps: 22322310 episode:238 

Rewards Tr: 1349.60, Rewards Eval: 1598.34, Total Timesteps: 22449210 episode:239 

Rewards Tr: 1555.54, Rewards Eval: 1193.25, Total Timesteps: 22575430 episode:240 

Rewards Tr: 1895.45, Rewards Eval: 1802.02, Total Timesteps: 22729980 episode:241 

Rewards Tr: 1565.36, Rewards Eval: 1792.47, Total Timesteps: 22876510 episode:242 

Rewards Tr: 1792.48, Rewards Eval: 1323.63, Total Timesteps: 23024580 episode:243 

Rewards Tr: 1320.13, Rewards Eval: 1981.16, Total Timesteps: 23137760 episode:244 

Rewards Tr: 1724.53, Rewards Eval: 1610.02, Total Timesteps: 23277530 episode:245 

Rewards Tr: 1237.37, Rewards Eval: 1716.40, Total Timesteps: 23389010 episode:246 

Rewards Tr: 1750.45, Rewards Eval: 1379.34, Total Timesteps: 23532580 episode:247 

Rewards Tr: 1362.63, Rewards Eval: 1648.68, Total Timesteps: 23657970 episode:248 

Rewards Tr: 1608.87, Rewards Eval: 1574.37, Total Timesteps: 23797790 episode:249 

Elapsed Time: 139.0 minutes 

For Seed: 2 

Rewards Tr: 11.11, Rewards Eval: 0.00, Total Timesteps: 5850 episode:0 

Rewards Tr: 17.18, Rewards Eval: 33.03, Total Timesteps: 13200 episode:1 

Rewards Tr: 29.36, Rewards Eval: 45.32, Total Timesteps: 23350 episode:2 

Rewards Tr: 41.59, Rewards Eval: 50.82, Total Timesteps: 33870 episode:3 

Rewards Tr: 54.85, Rewards Eval: 80.50, Total Timesteps: 45510 episode:4 

Rewards Tr: 64.64, Rewards Eval: 60.68, Total Timesteps: 59420 episode:5 

Rewards Tr: 73.80, Rewards Eval: 85.81, Total Timesteps: 74680 episode:6 

Rewards Tr: 90.96, Rewards Eval: 90.11, Total Timesteps: 93680 episode:7 

Rewards Tr: 98.07, Rewards Eval: 84.21, Total Timesteps: 111940 episode:8 

Rewards Tr: 113.55, Rewards Eval: 119.39, Total Timesteps: 131620 episode:9 

Rewards Tr: 124.58, Rewards Eval: 129.27, Total Timesteps: 152810 episode:10 

Rewards Tr: 144.51, Rewards Eval: 155.09, Total Timesteps: 174190 episode:11 

Rewards Tr: 155.53, Rewards Eval: 182.24, Total Timesteps: 195800 episode:12 

Rewards Tr: 168.66, Rewards Eval: 186.28, Total Timesteps: 217530 episode:13 

Rewards Tr: 175.00, Rewards Eval: 173.55, Total Timesteps: 239300 episode:14 

Rewards Tr: 185.54, Rewards Eval: 205.21, Total Timesteps: 261020 episode:15 

Rewards Tr: 188.18, Rewards Eval: 200.27, Total Timesteps: 282690 episode:16 

Rewards Tr: 200.66, Rewards Eval: 213.13, Total Timesteps: 304560 episode:17 

Rewards Tr: 204.18, Rewards Eval: 217.32, Total Timesteps: 326120 episode:18 

Rewards Tr: 211.81, Rewards Eval: 230.82, Total Timesteps: 348900 episode:19 

Rewards Tr: 220.37, Rewards Eval: 229.64, Total Timesteps: 372300 episode:20 

Rewards Tr: 228.33, Rewards Eval: 238.87, Total Timesteps: 395040 episode:21 

Rewards Tr: 231.28, Rewards Eval: 243.58, Total Timesteps: 418100 episode:22 

Rewards Tr: 240.66, Rewards Eval: 241.33, Total Timesteps: 441270 episode:23 

Rewards Tr: 244.52, Rewards Eval: 247.21, Total Timesteps: 464730 episode:24 

Rewards Tr: 246.47, Rewards Eval: 257.11, Total Timesteps: 488310 episode:25 

Rewards Tr: 249.48, Rewards Eval: 255.03, Total Timesteps: 511590 episode:26 

Rewards Tr: 254.63, Rewards Eval: 259.31, Total Timesteps: 535840 episode:27 

Rewards Tr: 256.88, Rewards Eval: 261.83, Total Timesteps: 559630 episode:28 

Rewards Tr: 258.99, Rewards Eval: 277.37, Total Timesteps: 583020 episode:29 

Rewards Tr: 261.60, Rewards Eval: 267.11, Total Timesteps: 606890 episode:30 

Rewards Tr: 264.09, Rewards Eval: 275.31, Total Timesteps: 630710 episode:31 

Rewards Tr: 268.69, Rewards Eval: 273.53, Total Timesteps: 655270 episode:32 

Rewards Tr: 275.20, Rewards Eval: 282.26, Total Timesteps: 679830 episode:33 

Rewards Tr: 285.75, Rewards Eval: 302.06, Total Timesteps: 706030 episode:34 

Rewards Tr: 295.17, Rewards Eval: 301.53, Total Timesteps: 732890 episode:35 

Rewards Tr: 313.39, Rewards Eval: 335.42, Total Timesteps: 761280 episode:36 

Rewards Tr: 325.86, Rewards Eval: 336.34, Total Timesteps: 790690 episode:37 

Rewards Tr: 336.37, Rewards Eval: 383.62, Total Timesteps: 820930 episode:38 

Rewards Tr: 348.10, Rewards Eval: 402.55, Total Timesteps: 853940 episode:39 

Rewards Tr: 379.13, Rewards Eval: 437.36, Total Timesteps: 890860 episode:40 

Rewards Tr: 410.52, Rewards Eval: 371.14, Total Timesteps: 936490 episode:41 

Rewards Tr: 425.16, Rewards Eval: 458.84, Total Timesteps: 981030 episode:42 

Rewards Tr: 468.99, Rewards Eval: 557.05, Total Timesteps: 1032990 episode:43 

Rewards Tr: 496.49, Rewards Eval: 548.16, Total Timesteps: 1088580 episode:44 

Rewards Tr: 573.71, Rewards Eval: 551.51, Total Timesteps: 1144610 episode:45 

