
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 475.74, Rewards Val: 454.00, Rewards Disc: 0.09, Rewards Eval: 308.00, Total Timesteps: 18554630 episode:143 

Rewards Tr: 461.81, Rewards Val: 458.19, Rewards Disc: -0.07, Rewards Eval: 353.07, Total Timesteps: 18704240 episode:144 

Rewards Tr: 449.87, Rewards Val: 466.09, Rewards Disc: -0.10, Rewards Eval: 355.82, Total Timesteps: 18846680 episode:145 

Rewards Tr: 454.15, Rewards Val: 450.95, Rewards Disc: 0.07, Rewards Eval: 385.99, Total Timesteps: 18980150 episode:146 

Rewards Tr: 448.50, Rewards Val: 452.45, Rewards Disc: 0.09, Rewards Eval: 360.93, Total Timesteps: 19113190 episode:147 

Rewards Tr: 466.20, Rewards Val: 472.42, Rewards Disc: 0.10, Rewards Eval: 327.24, Total Timesteps: 19251980 episode:148 

Rewards Tr: 468.28, Rewards Val: 474.58, Rewards Disc: 0.13, Rewards Eval: 320.40, Total Timesteps: 19393370 episode:149 

Rewards Tr: 465.86, Rewards Val: 476.72, Rewards Disc: 0.08, Rewards Eval: 364.99, Total Timesteps: 19536150 episode:150 

Rewards Tr: 485.62, Rewards Val: 466.10, Rewards Disc: 0.19, Rewards Eval: 471.56, Total Timesteps: 19671450 episode:151 

Rewards Tr: 475.21, Rewards Val: 480.58, Rewards Disc: 0.03, Rewards Eval: 378.81, Total Timesteps: 19810260 episode:152 

Rewards Tr: 479.70, Rewards Val: 490.43, Rewards Disc: -0.04, Rewards Eval: 275.78, Total Timesteps: 19947440 episode:153 

Rewards Tr: 482.71, Rewards Val: 486.54, Rewards Disc: 0.00, Rewards Eval: 304.81, Total Timesteps: 20079550 episode:154 

Rewards Tr: 497.45, Rewards Val: 481.29, Rewards Disc: 0.00, Rewards Eval: 295.93, Total Timesteps: 20209140 episode:155 

Rewards Tr: 494.14, Rewards Val: 488.61, Rewards Disc: 0.05, Rewards Eval: 296.85, Total Timesteps: 20345690 episode:156 

Rewards Tr: 505.35, Rewards Val: 486.42, Rewards Disc: 0.05, Rewards Eval: 282.05, Total Timesteps: 20479910 episode:157 

Rewards Tr: 501.64, Rewards Val: 494.51, Rewards Disc: 0.10, Rewards Eval: 266.59, Total Timesteps: 20613380 episode:158 

Rewards Tr: 485.25, Rewards Val: 498.54, Rewards Disc: -0.09, Rewards Eval: 313.84, Total Timesteps: 20748540 episode:159 

Rewards Tr: 509.72, Rewards Val: 514.00, Rewards Disc: -0.09, Rewards Eval: 312.66, Total Timesteps: 20887440 episode:160 

Rewards Tr: 523.77, Rewards Val: 537.11, Rewards Disc: -0.22, Rewards Eval: 357.49, Total Timesteps: 21031110 episode:161 

Rewards Tr: 530.14, Rewards Val: 534.12, Rewards Disc: 0.27, Rewards Eval: 277.60, Total Timesteps: 21180250 episode:162 

Rewards Tr: 532.61, Rewards Val: 532.74, Rewards Disc: 0.07, Rewards Eval: 312.62, Total Timesteps: 21348520 episode:163 

Rewards Tr: 538.54, Rewards Val: 547.80, Rewards Disc: -0.08, Rewards Eval: 283.18, Total Timesteps: 21518480 episode:164 

Rewards Tr: 564.02, Rewards Val: 558.58, Rewards Disc: 0.10, Rewards Eval: 324.86, Total Timesteps: 21678010 episode:165 

Rewards Tr: 572.05, Rewards Val: 562.90, Rewards Disc: -0.04, Rewards Eval: 345.59, Total Timesteps: 21836400 episode:166 

Rewards Tr: 545.26, Rewards Val: 541.82, Rewards Disc: 0.03, Rewards Eval: 305.09, Total Timesteps: 21985500 episode:167 

Rewards Tr: 544.96, Rewards Val: 555.32, Rewards Disc: -0.06, Rewards Eval: 297.68, Total Timesteps: 22135020 episode:168 

Rewards Tr: 550.65, Rewards Val: 547.57, Rewards Disc: -0.18, Rewards Eval: 325.68, Total Timesteps: 22287730 episode:169 

Rewards Tr: 551.27, Rewards Val: 544.44, Rewards Disc: -0.10, Rewards Eval: 334.94, Total Timesteps: 22432300 episode:170 

Rewards Tr: 542.33, Rewards Val: 547.16, Rewards Disc: -0.00, Rewards Eval: 313.59, Total Timesteps: 22578190 episode:171 

Rewards Tr: 551.17, Rewards Val: 564.36, Rewards Disc: 0.03, Rewards Eval: 423.43, Total Timesteps: 22732990 episode:172 

Rewards Tr: 602.60, Rewards Val: 598.31, Rewards Disc: -0.06, Rewards Eval: 456.06, Total Timesteps: 22908390 episode:173 

Rewards Tr: 585.75, Rewards Val: 582.17, Rewards Disc: 0.03, Rewards Eval: 413.15, Total Timesteps: 23085000 episode:174 

Rewards Tr: 577.09, Rewards Val: 562.61, Rewards Disc: 0.14, Rewards Eval: 377.95, Total Timesteps: 23261740 episode:175 

Rewards Tr: 597.51, Rewards Val: 590.21, Rewards Disc: 0.07, Rewards Eval: 334.44, Total Timesteps: 23459670 episode:176 

Rewards Tr: 615.09, Rewards Val: 598.67, Rewards Disc: 0.33, Rewards Eval: 273.20, Total Timesteps: 23653210 episode:177 

Rewards Tr: 584.08, Rewards Val: 592.93, Rewards Disc: 0.22, Rewards Eval: 393.00, Total Timesteps: 23841090 episode:178 

Rewards Tr: 594.36, Rewards Val: 590.26, Rewards Disc: 0.23, Rewards Eval: 334.57, Total Timesteps: 24031610 episode:179 

Rewards Tr: 578.95, Rewards Val: 591.88, Rewards Disc: -0.26, Rewards Eval: 330.86, Total Timesteps: 24213350 episode:180 

Rewards Tr: 597.28, Rewards Val: 608.10, Rewards Disc: -0.09, Rewards Eval: 362.71, Total Timesteps: 24399960 episode:181 

Rewards Tr: 586.68, Rewards Val: 596.87, Rewards Disc: 0.13, Rewards Eval: 320.16, Total Timesteps: 24577880 episode:182 

Rewards Tr: 599.73, Rewards Val: 586.32, Rewards Disc: 0.13, Rewards Eval: 583.44, Total Timesteps: 24758130 episode:183 

Rewards Tr: 642.24, Rewards Val: 602.93, Rewards Disc: 0.43, Rewards Eval: 399.90, Total Timesteps: 24962040 episode:184 

Rewards Tr: 661.38, Rewards Val: 659.08, Rewards Disc: 0.10, Rewards Eval: 450.62, Total Timesteps: 25190640 episode:185 

Rewards Tr: 692.89, Rewards Val: 696.64, Rewards Disc: 0.11, Rewards Eval: 409.39, Total Timesteps: 25455100 episode:186 

Rewards Tr: 693.82, Rewards Val: 724.73, Rewards Disc: -0.20, Rewards Eval: 283.28, Total Timesteps: 25722690 episode:187 

Rewards Tr: 747.19, Rewards Val: 721.92, Rewards Disc: 0.07, Rewards Eval: 404.75, Total Timesteps: 26004460 episode:188 

Rewards Tr: 753.08, Rewards Val: 779.37, Rewards Disc: -0.38, Rewards Eval: 384.22, Total Timesteps: 26330380 episode:189 

Rewards Tr: 424.21, Rewards Val: 427.58, Rewards Disc: 3.53, Rewards Eval: 463.75, Total Timesteps: 26480350 episode:190 

Rewards Tr: 466.83, Rewards Val: 458.94, Rewards Disc: 2.14, Rewards Eval: 387.41, Total Timesteps: 26633940 episode:191 

Rewards Tr: 459.61, Rewards Val: 473.47, Rewards Disc: 0.85, Rewards Eval: 350.13, Total Timesteps: 26796770 episode:192 

Rewards Tr: 446.14, Rewards Val: 468.64, Rewards Disc: -0.12, Rewards Eval: 487.68, Total Timesteps: 26959800 episode:193 

