For Seed: 1 

Rewards Tr: 767.82, Rewards Val: 779.73, Rewards Disc: 0.07, Rewards Eval: 828.46, Total Timesteps: 12567720 episode:114 

Rewards Tr: 779.92, Rewards Val: 751.36, Rewards Disc: 0.54, Rewards Eval: 810.16, Total Timesteps: 12746420 episode:115 

Rewards Tr: 821.19, Rewards Val: 814.24, Rewards Disc: 0.18, Rewards Eval: 744.32, Total Timesteps: 12922340 episode:116 

Rewards Tr: 804.83, Rewards Val: 840.17, Rewards Disc: 0.41, Rewards Eval: 798.98, Total Timesteps: 13101820 episode:117 

Rewards Tr: 896.23, Rewards Val: 896.96, Rewards Disc: 0.20, Rewards Eval: 823.23, Total Timesteps: 13337440 episode:118 

Rewards Tr: 781.36, Rewards Val: 795.57, Rewards Disc: 0.53, Rewards Eval: 876.93, Total Timesteps: 13519730 episode:119 

Rewards Tr: 793.94, Rewards Val: 793.65, Rewards Disc: 0.56, Rewards Eval: 906.25, Total Timesteps: 13705590 episode:120 

Rewards Tr: 856.53, Rewards Val: 879.86, Rewards Disc: 0.03, Rewards Eval: 1315.70, Total Timesteps: 13920630 episode:121 

Rewards Tr: 845.62, Rewards Val: 893.88, Rewards Disc: -0.09, Rewards Eval: 744.56, Total Timesteps: 14125410 episode:122 

Rewards Tr: 898.62, Rewards Val: 872.09, Rewards Disc: 0.09, Rewards Eval: 862.99, Total Timesteps: 14354960 episode:123 

Rewards Tr: 808.73, Rewards Val: 812.71, Rewards Disc: 0.73, Rewards Eval: 1125.04, Total Timesteps: 14550590 episode:124 

Rewards Tr: 883.36, Rewards Val: 833.89, Rewards Disc: 0.48, Rewards Eval: 750.95, Total Timesteps: 14762490 episode:125 

Rewards Tr: 854.64, Rewards Val: 907.07, Rewards Disc: -0.33, Rewards Eval: 845.54, Total Timesteps: 14997110 episode:126 

Rewards Tr: 866.79, Rewards Val: 864.95, Rewards Disc: 0.20, Rewards Eval: 1255.37, Total Timesteps: 15209050 episode:127 

Rewards Tr: 879.82, Rewards Val: 853.05, Rewards Disc: 0.36, Rewards Eval: 873.81, Total Timesteps: 15451830 episode:128 

Rewards Tr: 852.29, Rewards Val: 913.52, Rewards Disc: 0.22, Rewards Eval: 1026.07, Total Timesteps: 15683810 episode:129 

Rewards Tr: 956.77, Rewards Val: 932.85, Rewards Disc: -0.24, Rewards Eval: 815.18, Total Timesteps: 15945680 episode:130 

Rewards Tr: 882.57, Rewards Val: 894.44, Rewards Disc: 0.41, Rewards Eval: 772.88, Total Timesteps: 16187960 episode:131 

