For Seed: 1 

Rewards Tr: 1609.09, Rewards Val: 1545.88, Rewards Eval: 1485.68, Total Timesteps: 17348340 episode:101 

Rewards Tr: 1495.74, Rewards Val: 1494.81, Rewards Eval: 1523.14, Total Timesteps: 17653600 episode:102 

Rewards Tr: 1278.01, Rewards Val: 1386.84, Rewards Eval: 1497.15, Total Timesteps: 17958120 episode:103 

Rewards Tr: 1617.35, Rewards Val: 1634.50, Rewards Eval: 1886.10, Total Timesteps: 18296140 episode:104 

Rewards Tr: 1955.34, Rewards Val: 2010.34, Rewards Eval: 1245.84, Total Timesteps: 18660460 episode:105 

Rewards Tr: 1811.28, Rewards Val: 1673.75, Rewards Eval: 1649.53, Total Timesteps: 19004500 episode:106 

Rewards Tr: 1775.34, Rewards Val: 1752.09, Rewards Eval: 1411.95, Total Timesteps: 19346030 episode:107 

Rewards Tr: 1640.14, Rewards Val: 1637.14, Rewards Eval: 1481.36, Total Timesteps: 19681380 episode:108 

Rewards Tr: 1625.12, Rewards Val: 1599.17, Rewards Eval: 1428.84, Total Timesteps: 20030680 episode:109 

Rewards Tr: 1509.87, Rewards Val: 1625.55, Rewards Eval: 1864.12, Total Timesteps: 20341740 episode:110 

Rewards Tr: 1557.85, Rewards Val: 1526.09, Rewards Eval: 1619.22, Total Timesteps: 20667260 episode:111 

Rewards Tr: 1390.10, Rewards Val: 1499.80, Rewards Eval: 1850.02, Total Timesteps: 20974300 episode:112 

Rewards Tr: 1796.65, Rewards Val: 1721.72, Rewards Eval: 1623.69, Total Timesteps: 21304120 episode:113 

Rewards Tr: 1696.03, Rewards Val: 1827.60, Rewards Eval: 1534.03, Total Timesteps: 21635730 episode:114 

Rewards Tr: 1659.79, Rewards Val: 1675.69, Rewards Eval: 1317.78, Total Timesteps: 21962560 episode:115 

Rewards Tr: 1551.92, Rewards Val: 1433.47, Rewards Eval: 1508.00, Total Timesteps: 22251040 episode:116 

Rewards Tr: 1785.97, Rewards Val: 1726.88, Rewards Eval: 1626.17, Total Timesteps: 22591090 episode:117 

Rewards Tr: 1318.58, Rewards Val: 1365.56, Rewards Eval: 1430.51, Total Timesteps: 22885130 episode:118 

Rewards Tr: 1381.67, Rewards Val: 1414.53, Rewards Eval: 2486.68, Total Timesteps: 23187310 episode:119 

Rewards Tr: 1587.58, Rewards Val: 1607.41, Rewards Eval: 1140.98, Total Timesteps: 23530300 episode:120 

Rewards Tr: 1505.18, Rewards Val: 1625.90, Rewards Eval: 1316.06, Total Timesteps: 23870430 episode:121 

Rewards Tr: 1547.65, Rewards Val: 1734.17, Rewards Eval: 1683.60, Total Timesteps: 24202440 episode:122 

Rewards Tr: 1821.32, Rewards Val: 1834.57, Rewards Eval: 1420.48, Total Timesteps: 24572220 episode:123 

Rewards Tr: 1428.20, Rewards Val: 1506.74, Rewards Eval: 1372.17, Total Timesteps: 24897790 episode:124 

Rewards Tr: 1762.18, Rewards Val: 1677.95, Rewards Eval: 1933.11, Total Timesteps: 25265510 episode:125 

Rewards Tr: 1544.41, Rewards Val: 1627.98, Rewards Eval: 1582.21, Total Timesteps: 25606510 episode:126 

Rewards Tr: 1699.69, Rewards Val: 1577.08, Rewards Eval: 1031.96, Total Timesteps: 25960630 episode:127 

Rewards Tr: 1565.35, Rewards Val: 1578.22, Rewards Eval: 1757.91, Total Timesteps: 26332830 episode:128 

Rewards Tr: 1746.80, Rewards Val: 1800.66, Rewards Eval: 1607.73, Total Timesteps: 26702780 episode:129 

Rewards Tr: 1734.32, Rewards Val: 1807.34, Rewards Eval: 1697.63, Total Timesteps: 27080810 episode:130 

Rewards Tr: 1603.13, Rewards Val: 1679.13, Rewards Eval: 1821.51, Total Timesteps: 27429310 episode:131 

Rewards Tr: 1868.09, Rewards Val: 1957.12, Rewards Eval: 2239.66, Total Timesteps: 27799170 episode:132 

Rewards Tr: 1670.83, Rewards Val: 1749.75, Rewards Eval: 1809.13, Total Timesteps: 28168470 episode:133 

Rewards Tr: 1708.04, Rewards Val: 1583.99, Rewards Eval: 1814.73, Total Timesteps: 28505100 episode:134 

Rewards Tr: 1828.87, Rewards Val: 1705.11, Rewards Eval: 1668.91, Total Timesteps: 28848150 episode:135 

Rewards Tr: 1567.60, Rewards Val: 1544.04, Rewards Eval: 1550.45, Total Timesteps: 29193940 episode:136 

Rewards Tr: 1808.88, Rewards Val: 1845.26, Rewards Eval: 1269.90, Total Timesteps: 29546860 episode:137 

Rewards Tr: 1484.51, Rewards Val: 1554.82, Rewards Eval: 1482.52, Total Timesteps: 29906320 episode:138 

Rewards Tr: 1726.62, Rewards Val: 1719.60, Rewards Eval: 2182.51, Total Timesteps: 30265270 episode:139 

Rewards Tr: 1777.56, Rewards Val: 1725.26, Rewards Eval: 1755.33, Total Timesteps: 30629260 episode:140 

Rewards Tr: 1731.56, Rewards Val: 1738.02, Rewards Eval: 1650.52, Total Timesteps: 30984430 episode:141 

Rewards Tr: 1916.91, Rewards Val: 1824.79, Rewards Eval: 1166.37, Total Timesteps: 31351940 episode:142 

Rewards Tr: 1850.97, Rewards Val: 2010.99, Rewards Eval: 1613.34, Total Timesteps: 31729210 episode:143 

Rewards Tr: 1664.31, Rewards Val: 1830.98, Rewards Eval: 1797.43, Total Timesteps: 32101990 episode:144 

Rewards Tr: 1768.47, Rewards Val: 1863.63, Rewards Eval: 1624.05, Total Timesteps: 32462470 episode:145 

Rewards Tr: 1561.90, Rewards Val: 1584.77, Rewards Eval: 982.99, Total Timesteps: 32814750 episode:146 

Rewards Tr: 1536.21, Rewards Val: 1634.17, Rewards Eval: 1627.78, Total Timesteps: 33163280 episode:147 

Rewards Tr: 1781.41, Rewards Val: 1666.68, Rewards Eval: 1905.57, Total Timesteps: 33528520 episode:148 

Rewards Tr: 1603.44, Rewards Val: 1429.98, Rewards Eval: 1333.95, Total Timesteps: 33861930 episode:149 

Rewards Tr: 1973.80, Rewards Val: 1972.50, Rewards Eval: 1552.16, Total Timesteps: 34221700 episode:150 

