For Seed: 1 

Rewards Tr: 16.69, Rewards Eval: 0.00, Total Timesteps: 9520 episode:0 
Rewards Tr: 1605.59, Rewards Eval: 1483.69, Total Timesteps: 23948350 episode:162 

Rewards Tr: 1749.35, Rewards Eval: 1824.69, Total Timesteps: 24140550 episode:163 

Rewards Tr: 1837.74, Rewards Eval: 1791.75, Total Timesteps: 24335180 episode:164 

Rewards Tr: 1874.29, Rewards Eval: 2411.08, Total Timesteps: 24532330 episode:165 

Rewards Tr: 1820.83, Rewards Eval: 2015.23, Total Timesteps: 24721210 episode:166 

Rewards Tr: 1985.42, Rewards Eval: 2382.96, Total Timesteps: 24920880 episode:167 

Rewards Tr: 1941.26, Rewards Eval: 1740.24, Total Timesteps: 25113980 episode:168 

Rewards Tr: 1800.04, Rewards Eval: 2148.66, Total Timesteps: 25305880 episode:169 

Rewards Tr: 1838.33, Rewards Eval: 2204.05, Total Timesteps: 25494500 episode:170 

Rewards Tr: 1732.42, Rewards Eval: 1440.60, Total Timesteps: 25675650 episode:171 

Rewards Tr: 1582.75, Rewards Eval: 1755.44, Total Timesteps: 25860230 episode:172 

Rewards Tr: 1904.42, Rewards Eval: 2322.50, Total Timesteps: 26055730 episode:173 

Rewards Tr: 1767.06, Rewards Eval: 1855.86, Total Timesteps: 26244970 episode:174 

Rewards Tr: 1913.29, Rewards Eval: 1279.98, Total Timesteps: 26442550 episode:175 

Rewards Tr: 1721.59, Rewards Eval: 1629.45, Total Timesteps: 26633360 episode:176 

Rewards Tr: 1804.44, Rewards Eval: 2388.67, Total Timesteps: 26829510 episode:177 

Rewards Tr: 1701.74, Rewards Eval: 1874.93, Total Timesteps: 27016090 episode:178 

Rewards Tr: 1669.36, Rewards Eval: 1468.93, Total Timesteps: 27204430 episode:179 

Rewards Tr: 1644.27, Rewards Eval: 1498.40, Total Timesteps: 27382540 episode:180 

Rewards Tr: 1750.50, Rewards Eval: 1909.32, Total Timesteps: 27570820 episode:181 

Rewards Tr: 1475.12, Rewards Eval: 1904.46, Total Timesteps: 27732010 episode:182 

Rewards Tr: 1962.74, Rewards Eval: 1669.56, Total Timesteps: 27929510 episode:183 

Rewards Tr: 1743.95, Rewards Eval: 2638.61, Total Timesteps: 28123580 episode:184 

Rewards Tr: 1702.66, Rewards Eval: 1295.53, Total Timesteps: 28319150 episode:185 

Rewards Tr: 1663.58, Rewards Eval: 2111.61, Total Timesteps: 28490530 episode:186 

Rewards Tr: 1606.45, Rewards Eval: 2225.30, Total Timesteps: 28669580 episode:187 

Rewards Tr: 1554.35, Rewards Eval: 1490.74, Total Timesteps: 28842890 episode:188 

Rewards Tr: 1503.33, Rewards Eval: 1317.94, Total Timesteps: 29011650 episode:189 

Rewards Tr: 1450.62, Rewards Eval: 1359.91, Total Timesteps: 29165710 episode:190 

Rewards Tr: 1631.67, Rewards Eval: 1404.99, Total Timesteps: 29347460 episode:191 

Rewards Tr: 1686.28, Rewards Eval: 1746.99, Total Timesteps: 29525340 episode:192 

Rewards Tr: 1805.69, Rewards Eval: 1266.76, Total Timesteps: 29721290 episode:193 

Rewards Tr: 1852.60, Rewards Eval: 1689.49, Total Timesteps: 29914500 episode:194 

Rewards Tr: 1649.46, Rewards Eval: 1246.94, Total Timesteps: 30100860 episode:195 

Rewards Tr: 1762.67, Rewards Eval: 1781.51, Total Timesteps: 30287550 episode:196 

Rewards Tr: 1534.81, Rewards Eval: 1208.58, Total Timesteps: 30457890 episode:197 

Rewards Tr: 1574.37, Rewards Eval: 1525.38, Total Timesteps: 30629890 episode:198 

Rewards Tr: 1384.84, Rewards Eval: 1541.73, Total Timesteps: 30777010 episode:199 

Rewards Tr: 1434.33, Rewards Eval: 1326.71, Total Timesteps: 30942820 episode:200 

Rewards Tr: 1456.81, Rewards Eval: 1805.07, Total Timesteps: 31108890 episode:201 

Rewards Tr: 1595.38, Rewards Eval: 1753.64, Total Timesteps: 31293170 episode:202 

Rewards Tr: 1585.52, Rewards Eval: 2401.17, Total Timesteps: 31474580 episode:203 

Rewards Tr: 1711.49, Rewards Eval: 1867.94, Total Timesteps: 31657420 episode:204 

Rewards Tr: 1606.21, Rewards Eval: 1831.87, Total Timesteps: 31832260 episode:205 

Rewards Tr: 1594.21, Rewards Eval: 1204.33, Total Timesteps: 32014010 episode:206 

Rewards Tr: 1582.99, Rewards Eval: 1801.65, Total Timesteps: 32195000 episode:207 

Rewards Tr: 1536.14, Rewards Eval: 1764.74, Total Timesteps: 32370680 episode:208 

Rewards Tr: 1627.58, Rewards Eval: 1678.57, Total Timesteps: 32541110 episode:209 

Rewards Tr: 1774.69, Rewards Eval: 2028.63, Total Timesteps: 32728040 episode:210 

Rewards Tr: 1808.26, Rewards Eval: 1233.07, Total Timesteps: 32920940 episode:211 

Rewards Tr: 1655.56, Rewards Eval: 1187.85, Total Timesteps: 33094860 episode:212 

Rewards Tr: 1524.93, Rewards Eval: 1760.50, Total Timesteps: 33266440 episode:213 

Rewards Tr: 1583.84, Rewards Eval: 1831.95, Total Timesteps: 33444000 episode:214 

Rewards Tr: 1675.50, Rewards Eval: 1671.09, Total Timesteps: 33625770 episode:215 

Rewards Tr: 1592.97, Rewards Eval: 1255.99, Total Timesteps: 33797280 episode:216 

Rewards Tr: 1668.98, Rewards Eval: 1833.96, Total Timesteps: 33980200 episode:217 

Rewards Tr: 1741.24, Rewards Eval: 1427.60, Total Timesteps: 34169690 episode:218 

Rewards Tr: 1674.03, Rewards Eval: 2130.91, Total Timesteps: 34350810 episode:219 

Rewards Tr: 1748.90, Rewards Eval: 1840.28, Total Timesteps: 34530400 episode:220 

Rewards Tr: 1716.22, Rewards Eval: 1873.72, Total Timesteps: 34719370 episode:221 

Rewards Tr: 1637.72, Rewards Eval: 1745.25, Total Timesteps: 34901120 episode:222 

Rewards Tr: 1540.05, Rewards Eval: 1424.04, Total Timesteps: 35064120 episode:223 

Rewards Tr: 1647.07, Rewards Eval: 1950.03, Total Timesteps: 35242740 episode:224 
