For Seed: 1 

Rewards Tr: 108.69, Rewards Eval: 121.15, Total Timesteps: 28396630 episode:188 

Rewards Tr: 110.41, Rewards Eval: 104.17, Total Timesteps: 28596630 episode:189 

Rewards Tr: 107.73, Rewards Eval: 121.63, Total Timesteps: 28796630 episode:190 

Rewards Tr: 111.50, Rewards Eval: 112.95, Total Timesteps: 28996630 episode:191 

Rewards Tr: 112.12, Rewards Eval: 150.94, Total Timesteps: 29196630 episode:192 

Rewards Tr: 113.61, Rewards Eval: 110.37, Total Timesteps: 29396630 episode:193 

Rewards Tr: 116.39, Rewards Eval: 115.58, Total Timesteps: 29596630 episode:194 

Rewards Tr: 115.50, Rewards Eval: 100.53, Total Timesteps: 29796630 episode:195 

Rewards Tr: 110.14, Rewards Eval: 87.27, Total Timesteps: 29996630 episode:196 

Rewards Tr: 109.26, Rewards Eval: 139.11, Total Timesteps: 30196630 episode:197 

Rewards Tr: 114.16, Rewards Eval: 119.40, Total Timesteps: 30396630 episode:198 

Rewards Tr: 115.02, Rewards Eval: 128.69, Total Timesteps: 30596630 episode:199 

Elapsed Time: 397.7 minutes 

