For Seed: 1 

Rewards Tr: 1458.18, Rewards Disc: 0.75, Rewards Eval: 1133.61, Total Timesteps: 16650330 episode:157 

Rewards Tr: 1480.78, Rewards Disc: 0.76, Rewards Eval: 978.56, Total Timesteps: 16808570 episode:158 

Rewards Tr: 1569.03, Rewards Disc: 0.78, Rewards Eval: 1066.57, Total Timesteps: 16974340 episode:159 

Rewards Tr: 1435.68, Rewards Disc: 0.77, Rewards Eval: 1341.05, Total Timesteps: 17130600 episode:160 

Rewards Tr: 1553.64, Rewards Disc: 0.80, Rewards Eval: 1447.50, Total Timesteps: 17298650 episode:161 

Rewards Tr: 1513.99, Rewards Disc: 0.81, Rewards Eval: 929.98, Total Timesteps: 17456090 episode:162 

Rewards Tr: 1498.62, Rewards Disc: 0.77, Rewards Eval: 1162.93, Total Timesteps: 17616280 episode:163 

Rewards Tr: 1431.34, Rewards Disc: 0.80, Rewards Eval: 1425.04, Total Timesteps: 17774490 episode:164 

Rewards Tr: 1394.36, Rewards Disc: 0.80, Rewards Eval: 1081.74, Total Timesteps: 17933390 episode:165 

Rewards Tr: 1428.16, Rewards Disc: 0.78, Rewards Eval: 1014.86, Total Timesteps: 18094500 episode:166 

Rewards Tr: 1520.16, Rewards Disc: 0.77, Rewards Eval: 940.40, Total Timesteps: 18264160 episode:167 

Rewards Tr: 1526.25, Rewards Disc: 0.80, Rewards Eval: 1469.17, Total Timesteps: 18437370 episode:168 

Rewards Tr: 1355.20, Rewards Disc: 0.77, Rewards Eval: 1104.00, Total Timesteps: 18592850 episode:169 

Rewards Tr: 1471.56, Rewards Disc: 0.75, Rewards Eval: 923.83, Total Timesteps: 18760940 episode:170 

Rewards Tr: 1543.71, Rewards Disc: 0.75, Rewards Eval: 951.07, Total Timesteps: 18928960 episode:171 

Rewards Tr: 1559.26, Rewards Disc: 0.77, Rewards Eval: 1108.92, Total Timesteps: 19092440 episode:172 

Rewards Tr: 1484.45, Rewards Disc: 0.77, Rewards Eval: 1247.26, Total Timesteps: 19252330 episode:173 

Rewards Tr: 1591.69, Rewards Disc: 0.76, Rewards Eval: 961.76, Total Timesteps: 19427030 episode:174 

Rewards Tr: 1516.51, Rewards Disc: 0.77, Rewards Eval: 1006.84, Total Timesteps: 19588550 episode:175 

Rewards Tr: 1470.05, Rewards Disc: 0.77, Rewards Eval: 1061.17, Total Timesteps: 19755070 episode:176 

Rewards Tr: 1653.22, Rewards Disc: 0.80, Rewards Eval: 849.04, Total Timesteps: 19933110 episode:177 

Rewards Tr: 1627.57, Rewards Disc: 0.78, Rewards Eval: 1537.77, Total Timesteps: 20120880 episode:178 

Rewards Tr: 1473.87, Rewards Disc: 0.78, Rewards Eval: 1166.40, Total Timesteps: 20288050 episode:179 

Rewards Tr: 1559.92, Rewards Disc: 0.80, Rewards Eval: 1114.59, Total Timesteps: 20468500 episode:180 

Rewards Tr: 1500.09, Rewards Disc: 0.78, Rewards Eval: 1137.65, Total Timesteps: 20641720 episode:181 

Rewards Tr: 1321.82, Rewards Disc: 0.80, Rewards Eval: 1498.02, Total Timesteps: 20807940 episode:182 

Rewards Tr: 1486.22, Rewards Disc: 0.77, Rewards Eval: 1352.29, Total Timesteps: 20973840 episode:183 

