
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 103 

Rewards Tr: 152.94, Rewards Eval: 173.58, Total Timesteps: 56410100 episode:212 

Rewards Tr: 145.45, Rewards Eval: 193.01, Total Timesteps: 56710100 episode:213 

Rewards Tr: 139.78, Rewards Eval: 167.33, Total Timesteps: 57010100 episode:214 

Rewards Tr: 149.52, Rewards Eval: 161.09, Total Timesteps: 57310100 episode:215 

Rewards Tr: 144.72, Rewards Eval: 144.12, Total Timesteps: 57610100 episode:216 

Rewards Tr: 145.42, Rewards Eval: 154.83, Total Timesteps: 57910100 episode:217 

Rewards Tr: 142.42, Rewards Eval: 128.12, Total Timesteps: 58210100 episode:218 

Rewards Tr: 137.96, Rewards Eval: 136.10, Total Timesteps: 58510100 episode:219 

Rewards Tr: 135.11, Rewards Eval: 123.45, Total Timesteps: 58810100 episode:220 

Rewards Tr: 132.76, Rewards Eval: 150.30, Total Timesteps: 59110100 episode:221 

Rewards Tr: 129.71, Rewards Eval: 113.28, Total Timesteps: 59410100 episode:222 

Rewards Tr: 130.19, Rewards Eval: 105.65, Total Timesteps: 59710100 episode:223 

Rewards Tr: 127.14, Rewards Eval: 118.05, Total Timesteps: 60010100 episode:224 

Rewards Tr: 133.68, Rewards Eval: 114.87, Total Timesteps: 60310100 episode:225 

Rewards Tr: 130.66, Rewards Eval: 155.71, Total Timesteps: 60610100 episode:226 

Rewards Tr: 128.72, Rewards Eval: 145.19, Total Timesteps: 60910100 episode:227 

Rewards Tr: 133.49, Rewards Eval: 157.42, Total Timesteps: 61210100 episode:228 

Rewards Tr: 140.47, Rewards Eval: 136.35, Total Timesteps: 61510100 episode:229 

Rewards Tr: 135.14, Rewards Eval: 129.14, Total Timesteps: 61810100 episode:230 

Rewards Tr: 135.15, Rewards Eval: 142.30, Total Timesteps: 62110100 episode:231 

Rewards Tr: 142.50, Rewards Eval: 137.67, Total Timesteps: 62410100 episode:232 

Rewards Tr: 134.33, Rewards Eval: 155.68, Total Timesteps: 62710100 episode:233 

Rewards Tr: 140.19, Rewards Eval: 154.01, Total Timesteps: 63010100 episode:234 

Rewards Tr: 142.22, Rewards Eval: 166.09, Total Timesteps: 63310100 episode:235 

Rewards Tr: 122.97, Rewards Eval: 158.69, Total Timesteps: 63610100 episode:236 

Rewards Tr: 136.61, Rewards Eval: 144.83, Total Timesteps: 63910100 episode:237 

Rewards Tr: 132.40, Rewards Eval: 141.98, Total Timesteps: 64210100 episode:238 

Rewards Tr: 138.31, Rewards Eval: 173.09, Total Timesteps: 64510100 episode:239 

Rewards Tr: 135.09, Rewards Eval: 170.37, Total Timesteps: 64810100 episode:240 

Rewards Tr: 127.12, Rewards Eval: 153.74, Total Timesteps: 65110100 episode:241 

Rewards Tr: 141.83, Rewards Eval: 165.65, Total Timesteps: 65410100 episode:242 

Rewards Tr: 129.08, Rewards Eval: 164.73, Total Timesteps: 65710100 episode:243 

Rewards Tr: 128.81, Rewards Eval: 175.85, Total Timesteps: 66010100 episode:244 

Rewards Tr: 133.10, Rewards Eval: 145.69, Total Timesteps: 66310100 episode:245 

Rewards Tr: 134.75, Rewards Eval: 142.15, Total Timesteps: 66610100 episode:246 

Rewards Tr: 133.37, Rewards Eval: 182.79, Total Timesteps: 66910100 episode:247 

Rewards Tr: 140.17, Rewards Eval: 161.64, Total Timesteps: 67210100 episode:248 

Rewards Tr: 136.46, Rewards Eval: 175.16, Total Timesteps: 67510100 episode:249 

Rewards Tr: 137.63, Rewards Eval: 150.35, Total Timesteps: 67810100 episode:250 

Rewards Tr: 147.52, Rewards Eval: 147.40, Total Timesteps: 68110100 episode:251 

Rewards Tr: 141.52, Rewards Eval: 151.79, Total Timesteps: 68410100 episode:252 

Rewards Tr: 133.89, Rewards Eval: 155.72, Total Timesteps: 68710100 episode:253 

Rewards Tr: 133.14, Rewards Eval: 166.47, Total Timesteps: 69010100 episode:254 

Rewards Tr: 138.47, Rewards Eval: 155.98, Total Timesteps: 69310100 episode:255 

Rewards Tr: 140.47, Rewards Eval: 144.71, Total Timesteps: 69610100 episode:256 

Rewards Tr: 138.86, Rewards Eval: 151.80, Total Timesteps: 69910100 episode:257 

Rewards Tr: 140.30, Rewards Eval: 179.09, Total Timesteps: 70210100 episode:258 

Rewards Tr: 142.06, Rewards Eval: 149.99, Total Timesteps: 70510100 episode:259 

Rewards Tr: 136.91, Rewards Eval: 132.07, Total Timesteps: 70810100 episode:260 

Rewards Tr: 141.98, Rewards Eval: 162.16, Total Timesteps: 71110100 episode:261 

Rewards Tr: 143.97, Rewards Eval: 160.06, Total Timesteps: 71410100 episode:262 

Rewards Tr: 142.20, Rewards Eval: 166.16, Total Timesteps: 71710100 episode:263 

Rewards Tr: 133.03, Rewards Eval: 141.94, Total Timesteps: 72010100 episode:264 

Rewards Tr: 136.39, Rewards Eval: 170.77, Total Timesteps: 72310100 episode:265 

Rewards Tr: 145.07, Rewards Eval: 135.99, Total Timesteps: 72610100 episode:266 

Rewards Tr: 138.15, Rewards Eval: 154.44, Total Timesteps: 72910100 episode:267 

Rewards Tr: 143.15, Rewards Eval: 174.11, Total Timesteps: 73210100 episode:268 

Rewards Tr: 139.49, Rewards Eval: 165.72, Total Timesteps: 73510100 episode:269 

Rewards Tr: 139.16, Rewards Eval: 154.10, Total Timesteps: 73810100 episode:270 

Rewards Tr: 141.12, Rewards Eval: 173.38, Total Timesteps: 74110100 episode:271 

Rewards Tr: 148.12, Rewards Eval: 171.79, Total Timesteps: 74410100 episode:272 

Rewards Tr: 143.56, Rewards Eval: 171.28, Total Timesteps: 74710100 episode:273 

Rewards Tr: 143.87, Rewards Eval: 145.06, Total Timesteps: 75010100 episode:274 

Rewards Tr: 146.06, Rewards Eval: 160.28, Total Timesteps: 75310100 episode:275 

Rewards Tr: 141.35, Rewards Eval: 144.54, Total Timesteps: 75610100 episode:276 

Rewards Tr: 143.13, Rewards Eval: 185.17, Total Timesteps: 75910100 episode:277 

Rewards Tr: 143.87, Rewards Eval: 152.09, Total Timesteps: 76210100 episode:278 

Rewards Tr: 141.78, Rewards Eval: 150.46, Total Timesteps: 76510100 episode:279 

Rewards Tr: 142.54, Rewards Eval: 149.68, Total Timesteps: 76810100 episode:280 

Rewards Tr: 133.74, Rewards Eval: 177.48, Total Timesteps: 77110100 episode:281 

Rewards Tr: 138.30, Rewards Eval: 168.66, Total Timesteps: 77410100 episode:282 

Rewards Tr: 143.66, Rewards Eval: 172.66, Total Timesteps: 77710100 episode:283 

Rewards Tr: 145.91, Rewards Eval: 188.50, Total Timesteps: 78010100 episode:284 

Rewards Tr: 141.52, Rewards Eval: 146.16, Total Timesteps: 78310100 episode:285 

Rewards Tr: 143.74, Rewards Eval: 130.98, Total Timesteps: 78610100 episode:286 

Rewards Tr: 149.99, Rewards Eval: 174.00, Total Timesteps: 78910100 episode:287 

Rewards Tr: 146.07, Rewards Eval: 131.77, Total Timesteps: 79210100 episode:288 

Rewards Tr: 147.56, Rewards Eval: 159.55, Total Timesteps: 79510100 episode:289 

Rewards Tr: 142.65, Rewards Eval: 146.56, Total Timesteps: 79810100 episode:290 

Rewards Tr: 155.63, Rewards Eval: 122.47, Total Timesteps: 80110100 episode:291 

Rewards Tr: 158.02, Rewards Eval: 156.90, Total Timesteps: 80410100 episode:292 

Rewards Tr: 158.09, Rewards Eval: 144.96, Total Timesteps: 80710100 episode:293 

Rewards Tr: 159.65, Rewards Eval: 161.95, Total Timesteps: 81010100 episode:294 

Rewards Tr: 161.37, Rewards Eval: 147.41, Total Timesteps: 81310100 episode:295 

Rewards Tr: 164.51, Rewards Eval: 169.75, Total Timesteps: 81610100 episode:296 

Rewards Tr: 162.26, Rewards Eval: 178.59, Total Timesteps: 81910100 episode:297 

Rewards Tr: 164.33, Rewards Eval: 150.38, Total Timesteps: 82210100 episode:298 

Rewards Tr: 168.76, Rewards Eval: 171.47, Total Timesteps: 82510100 episode:299 

