For Seed: 3 

Rewards Tr: -149.43, Rewards Eval: -132.57, Total Timesteps: 100000 episode:0 
Rewards Tr: 1209.83, Rewards Eval: 1200.59, Total Timesteps: 13600000 episode:135 

Rewards Tr: 1215.34, Rewards Eval: 1220.30, Total Timesteps: 13700000 episode:136 

Rewards Tr: 1216.00, Rewards Eval: 1207.45, Total Timesteps: 13800000 episode:137 

Rewards Tr: 1215.51, Rewards Eval: 1245.33, Total Timesteps: 13900000 episode:138 

Rewards Tr: 1220.01, Rewards Eval: 1202.72, Total Timesteps: 14000000 episode:139 

Rewards Tr: 1215.32, Rewards Eval: 1260.03, Total Timesteps: 14100000 episode:140 

Rewards Tr: 1215.19, Rewards Eval: 1229.51, Total Timesteps: 14200000 episode:141 

Rewards Tr: 1218.26, Rewards Eval: 1234.20, Total Timesteps: 14300000 episode:142 

Rewards Tr: 1219.74, Rewards Eval: 1224.69, Total Timesteps: 14400000 episode:143 

Rewards Tr: 1219.42, Rewards Eval: 1222.39, Total Timesteps: 14500000 episode:144 

Rewards Tr: 1217.24, Rewards Eval: 1210.66, Total Timesteps: 14600000 episode:145 

Rewards Tr: 1216.72, Rewards Eval: 1240.99, Total Timesteps: 14700000 episode:146 

Rewards Tr: 1216.69, Rewards Eval: 1217.25, Total Timesteps: 14800000 episode:147 

Rewards Tr: 1218.61, Rewards Eval: 1251.60, Total Timesteps: 14900000 episode:148 

Rewards Tr: 1220.54, Rewards Eval: 1221.18, Total Timesteps: 15000000 episode:149 

Rewards Tr: 1214.60, Rewards Eval: 1251.80, Total Timesteps: 15100000 episode:150 

Rewards Tr: 1205.23, Rewards Eval: 1184.46, Total Timesteps: 15200000 episode:151 

Rewards Tr: 1198.63, Rewards Eval: 1215.56, Total Timesteps: 15300000 episode:152 

Rewards Tr: 1179.32, Rewards Eval: 1165.22, Total Timesteps: 15400000 episode:153 

Rewards Tr: 1178.83, Rewards Eval: 1217.20, Total Timesteps: 15500000 episode:154 

Rewards Tr: 1200.49, Rewards Eval: 1221.04, Total Timesteps: 15600000 episode:155 

Rewards Tr: 1206.21, Rewards Eval: 1216.40, Total Timesteps: 15700000 episode:156 

Rewards Tr: 1220.01, Rewards Eval: 1214.46, Total Timesteps: 15800000 episode:157 

Rewards Tr: 1231.87, Rewards Eval: 1214.89, Total Timesteps: 15900000 episode:158 

Rewards Tr: 1224.77, Rewards Eval: 1231.48, Total Timesteps: 16000000 episode:159 

Rewards Tr: 1224.36, Rewards Eval: 1228.57, Total Timesteps: 16100000 episode:160 

Rewards Tr: 1222.92, Rewards Eval: 1235.40, Total Timesteps: 16200000 episode:161 

