For Seed: 1 

Rewards Tr: 1904.21, Rewards Disc: 0.66, Rewards Eval: 1683.07, Total Timesteps: 21490330 episode:179 

Rewards Tr: 2017.04, Rewards Disc: 0.63, Rewards Eval: 1786.47, Total Timesteps: 21678910 episode:180 

Rewards Tr: 2096.61, Rewards Disc: 0.77, Rewards Eval: 2048.32, Total Timesteps: 21878910 episode:181 

Rewards Tr: 2266.49, Rewards Disc: 0.74, Rewards Eval: 2447.94, Total Timesteps: 22078910 episode:182 

Rewards Tr: 1906.32, Rewards Disc: 0.80, Rewards Eval: 2169.56, Total Timesteps: 22272550 episode:183 

Rewards Tr: 2124.09, Rewards Disc: 0.65, Rewards Eval: 1849.36, Total Timesteps: 22470180 episode:184 

Rewards Tr: 1886.99, Rewards Disc: 0.62, Rewards Eval: 2893.53, Total Timesteps: 22660440 episode:185 

Rewards Tr: 2180.21, Rewards Disc: 0.70, Rewards Eval: 1956.53, Total Timesteps: 22855600 episode:186 

Rewards Tr: 2114.29, Rewards Disc: 0.69, Rewards Eval: 1993.44, Total Timesteps: 23053800 episode:187 

Rewards Tr: 1926.20, Rewards Disc: 0.69, Rewards Eval: 2121.14, Total Timesteps: 23243310 episode:188 

Rewards Tr: 2021.82, Rewards Disc: 0.76, Rewards Eval: 2140.38, Total Timesteps: 23437790 episode:189 

Rewards Tr: 2047.82, Rewards Disc: 0.63, Rewards Eval: 2381.34, Total Timesteps: 23625830 episode:190 

Rewards Tr: 1969.78, Rewards Disc: 0.62, Rewards Eval: 2413.11, Total Timesteps: 23815590 episode:191 

Rewards Tr: 2130.42, Rewards Disc: 0.76, Rewards Eval: 2182.02, Total Timesteps: 24015590 episode:192 

Rewards Tr: 2061.74, Rewards Disc: 0.70, Rewards Eval: 2007.45, Total Timesteps: 24208970 episode:193 

Rewards Tr: 2158.43, Rewards Disc: 0.75, Rewards Eval: 1895.09, Total Timesteps: 24407390 episode:194 

Rewards Tr: 2306.84, Rewards Disc: 0.68, Rewards Eval: 2812.03, Total Timesteps: 24607390 episode:195 

Rewards Tr: 2124.47, Rewards Disc: 0.55, Rewards Eval: 2479.14, Total Timesteps: 24795140 episode:196 

Rewards Tr: 2041.34, Rewards Disc: 0.76, Rewards Eval: 2506.01, Total Timesteps: 24988990 episode:197 

Rewards Tr: 2014.36, Rewards Disc: 0.76, Rewards Eval: 2361.51, Total Timesteps: 25180170 episode:198 

Rewards Tr: 1894.03, Rewards Disc: 0.73, Rewards Eval: 2367.95, Total Timesteps: 25369130 episode:199 

Rewards Tr: 2019.82, Rewards Disc: 0.72, Rewards Eval: 1995.14, Total Timesteps: 25562890 episode:200 

Rewards Tr: 2144.08, Rewards Disc: 0.71, Rewards Eval: 2233.01, Total Timesteps: 25756060 episode:201 

Rewards Tr: 2227.03, Rewards Disc: 0.67, Rewards Eval: 2760.66, Total Timesteps: 25949300 episode:202 

Rewards Tr: 2193.05, Rewards Disc: 0.68, Rewards Eval: 2104.27, Total Timesteps: 26149250 episode:203 

Rewards Tr: 2150.91, Rewards Disc: 0.82, Rewards Eval: 2692.92, Total Timesteps: 26349250 episode:204 

Rewards Tr: 2068.53, Rewards Disc: 0.67, Rewards Eval: 1736.74, Total Timesteps: 26537420 episode:205 

Rewards Tr: 1932.93, Rewards Disc: 0.70, Rewards Eval: 2339.71, Total Timesteps: 26726230 episode:206 

Rewards Tr: 2194.99, Rewards Disc: 0.71, Rewards Eval: 2408.93, Total Timesteps: 26926230 episode:207 

Rewards Tr: 2050.41, Rewards Disc: 0.75, Rewards Eval: 2634.60, Total Timesteps: 27123220 episode:208 

Rewards Tr: 2106.77, Rewards Disc: 0.67, Rewards Eval: 2184.56, Total Timesteps: 27317940 episode:209 

Rewards Tr: 1984.74, Rewards Disc: 0.72, Rewards Eval: 1947.00, Total Timesteps: 27511450 episode:210 

Rewards Tr: 2174.45, Rewards Disc: 0.65, Rewards Eval: 1983.61, Total Timesteps: 27709600 episode:211 

Rewards Tr: 1990.93, Rewards Disc: 0.65, Rewards Eval: 1883.91, Total Timesteps: 27889470 episode:212 

Rewards Tr: 2093.64, Rewards Disc: 0.65, Rewards Eval: 2476.15, Total Timesteps: 28083570 episode:213 

Rewards Tr: 2162.86, Rewards Disc: 0.66, Rewards Eval: 1964.28, Total Timesteps: 28283120 episode:214 

Rewards Tr: 2098.95, Rewards Disc: 0.69, Rewards Eval: 1830.41, Total Timesteps: 28477480 episode:215 

Rewards Tr: 2114.24, Rewards Disc: 0.72, Rewards Eval: 2179.91, Total Timesteps: 28676670 episode:216 

Rewards Tr: 2138.61, Rewards Disc: 0.67, Rewards Eval: 2511.33, Total Timesteps: 28873240 episode:217 

Rewards Tr: 1988.99, Rewards Disc: 0.87, Rewards Eval: 2173.81, Total Timesteps: 29073240 episode:218 

Rewards Tr: 2088.47, Rewards Disc: 0.76, Rewards Eval: 2350.80, Total Timesteps: 29266930 episode:219 

Rewards Tr: 2042.04, Rewards Disc: 0.65, Rewards Eval: 2239.15, Total Timesteps: 29461540 episode:220 

Rewards Tr: 2004.56, Rewards Disc: 0.64, Rewards Eval: 2814.81, Total Timesteps: 29649410 episode:221 

Rewards Tr: 2031.71, Rewards Disc: 0.73, Rewards Eval: 2124.43, Total Timesteps: 29838220 episode:222 

Rewards Tr: 2154.80, Rewards Disc: 0.70, Rewards Eval: 2217.99, Total Timesteps: 30038220 episode:223 

Rewards Tr: 2120.34, Rewards Disc: 0.76, Rewards Eval: 2435.71, Total Timesteps: 30233120 episode:224 

Rewards Tr: 2258.66, Rewards Disc: 0.76, Rewards Eval: 2540.33, Total Timesteps: 30433120 episode:225 

Rewards Tr: 2057.80, Rewards Disc: 0.65, Rewards Eval: 2005.87, Total Timesteps: 30627500 episode:226 

Rewards Tr: 2004.04, Rewards Disc: 0.79, Rewards Eval: 2400.83, Total Timesteps: 30827500 episode:227 

Rewards Tr: 2058.65, Rewards Disc: 0.65, Rewards Eval: 1910.78, Total Timesteps: 31010680 episode:228 

Rewards Tr: 2008.63, Rewards Disc: 0.74, Rewards Eval: 2231.43, Total Timesteps: 31200210 episode:229 

Rewards Tr: 1860.24, Rewards Disc: 0.94, Rewards Eval: 2583.29, Total Timesteps: 31397440 episode:230 

Rewards Tr: 2027.83, Rewards Disc: 0.89, Rewards Eval: 1860.92, Total Timesteps: 31597440 episode:231 

