For Seed: 1 

Rewards Tr: 15.91, Rewards Eval: 0.00, Total Timesteps: 9360 episode:0 
Rewards Tr: 319.25, Rewards Eval: 381.89, Total Timesteps: 563130 episode:26 

Rewards Tr: 335.14, Rewards Eval: 372.36, Total Timesteps: 593800 episode:27 

Rewards Tr: 363.40, Rewards Eval: 543.35, Total Timesteps: 628950 episode:28 

Rewards Tr: 434.22, Rewards Eval: 526.12, Total Timesteps: 670770 episode:29 

Rewards Tr: 478.90, Rewards Eval: 429.90, Total Timesteps: 716070 episode:30 

Rewards Tr: 497.22, Rewards Eval: 549.80, Total Timesteps: 763100 episode:31 

Rewards Tr: 556.55, Rewards Eval: 592.67, Total Timesteps: 815590 episode:32 

Rewards Tr: 597.19, Rewards Eval: 663.64, Total Timesteps: 874640 episode:33 

Rewards Tr: 613.39, Rewards Eval: 574.95, Total Timesteps: 932930 episode:34 

Rewards Tr: 658.10, Rewards Eval: 843.76, Total Timesteps: 997720 episode:35 

Rewards Tr: 691.05, Rewards Eval: 635.54, Total Timesteps: 1064780 episode:36 

Rewards Tr: 725.95, Rewards Eval: 697.10, Total Timesteps: 1136400 episode:37 

Rewards Tr: 721.97, Rewards Eval: 611.12, Total Timesteps: 1205430 episode:38 

Rewards Tr: 737.73, Rewards Eval: 764.24, Total Timesteps: 1277740 episode:39 

Rewards Tr: 720.33, Rewards Eval: 726.13, Total Timesteps: 1345350 episode:40 

Rewards Tr: 751.12, Rewards Eval: 878.21, Total Timesteps: 1411780 episode:41 

