For Seed: 3 

Rewards Tr: -158.97, Rewards Val: -157.82, Rewards Disc: 0.51, Rewards Eval: -146.83, Total Timesteps: 250000 episode:0 
Rewards Tr: 682.53, Rewards Val: 698.98, Rewards Disc: 0.55, Rewards Eval: 754.94, Total Timesteps: 31250000 episode:124 

Rewards Tr: 722.71, Rewards Val: 713.16, Rewards Disc: 0.54, Rewards Eval: 856.01, Total Timesteps: 31500000 episode:125 

Rewards Tr: 699.44, Rewards Val: 736.48, Rewards Disc: 0.55, Rewards Eval: 630.05, Total Timesteps: 31750000 episode:126 

Rewards Tr: 695.15, Rewards Val: 681.56, Rewards Disc: 0.56, Rewards Eval: 849.91, Total Timesteps: 32000000 episode:127 

Rewards Tr: 729.62, Rewards Val: 725.06, Rewards Disc: 0.55, Rewards Eval: 825.63, Total Timesteps: 32250000 episode:128 

Rewards Tr: 747.13, Rewards Val: 722.22, Rewards Disc: 0.56, Rewards Eval: 715.18, Total Timesteps: 32500000 episode:129 

Rewards Tr: 734.81, Rewards Val: 747.09, Rewards Disc: 0.55, Rewards Eval: 626.32, Total Timesteps: 32750000 episode:130 

Rewards Tr: 767.96, Rewards Val: 760.75, Rewards Disc: 0.55, Rewards Eval: 858.62, Total Timesteps: 33000000 episode:131 

Rewards Tr: 741.67, Rewards Val: 719.73, Rewards Disc: 0.55, Rewards Eval: 743.88, Total Timesteps: 33250000 episode:132 

Rewards Tr: 762.71, Rewards Val: 755.11, Rewards Disc: 0.56, Rewards Eval: 798.93, Total Timesteps: 33500000 episode:133 

Rewards Tr: 756.97, Rewards Val: 744.98, Rewards Disc: 0.56, Rewards Eval: 851.56, Total Timesteps: 33750000 episode:134 

Rewards Tr: 768.87, Rewards Val: 739.41, Rewards Disc: 0.56, Rewards Eval: 714.04, Total Timesteps: 34000000 episode:135 

Rewards Tr: 769.32, Rewards Val: 787.97, Rewards Disc: 0.58, Rewards Eval: 845.55, Total Timesteps: 34250000 episode:136 

Rewards Tr: 782.82, Rewards Val: 720.85, Rewards Disc: 0.57, Rewards Eval: 673.86, Total Timesteps: 34500000 episode:137 

Rewards Tr: 785.44, Rewards Val: 722.38, Rewards Disc: 0.55, Rewards Eval: 819.94, Total Timesteps: 34750000 episode:138 

Rewards Tr: 771.83, Rewards Val: 757.93, Rewards Disc: 0.55, Rewards Eval: 735.29, Total Timesteps: 35000000 episode:139 

Rewards Tr: 782.96, Rewards Val: 798.76, Rewards Disc: 0.56, Rewards Eval: 749.26, Total Timesteps: 35250000 episode:140 

Rewards Tr: 791.77, Rewards Val: 799.38, Rewards Disc: 0.56, Rewards Eval: 511.60, Total Timesteps: 35500000 episode:141 

Rewards Tr: 788.75, Rewards Val: 787.69, Rewards Disc: 0.55, Rewards Eval: 867.68, Total Timesteps: 35750000 episode:142 

Rewards Tr: 815.67, Rewards Val: 791.84, Rewards Disc: 0.54, Rewards Eval: 647.07, Total Timesteps: 36000000 episode:143 

Rewards Tr: 777.37, Rewards Val: 800.49, Rewards Disc: 0.57, Rewards Eval: 679.44, Total Timesteps: 36250000 episode:144 

Rewards Tr: 784.50, Rewards Val: 782.11, Rewards Disc: 0.56, Rewards Eval: 843.78, Total Timesteps: 36500000 episode:145 

Rewards Tr: 770.55, Rewards Val: 810.76, Rewards Disc: 0.55, Rewards Eval: 733.26, Total Timesteps: 36750000 episode:146 

Rewards Tr: 763.59, Rewards Val: 760.50, Rewards Disc: 0.56, Rewards Eval: 787.88, Total Timesteps: 37000000 episode:147 

Rewards Tr: 783.87, Rewards Val: 788.35, Rewards Disc: 0.55, Rewards Eval: 914.33, Total Timesteps: 37250000 episode:148 

Rewards Tr: 801.89, Rewards Val: 792.33, Rewards Disc: 0.56, Rewards Eval: 851.11, Total Timesteps: 37500000 episode:149 

Rewards Tr: 831.46, Rewards Val: 801.29, Rewards Disc: 0.57, Rewards Eval: 798.09, Total Timesteps: 37750000 episode:150 

Rewards Tr: 790.08, Rewards Val: 785.72, Rewards Disc: 0.55, Rewards Eval: 550.63, Total Timesteps: 38000000 episode:151 

Rewards Tr: 799.57, Rewards Val: 778.67, Rewards Disc: 0.56, Rewards Eval: 664.85, Total Timesteps: 38250000 episode:152 

Rewards Tr: 780.26, Rewards Val: 777.27, Rewards Disc: 0.55, Rewards Eval: 673.74, Total Timesteps: 38500000 episode:153 

Rewards Tr: 761.23, Rewards Val: 796.85, Rewards Disc: 0.56, Rewards Eval: 892.29, Total Timesteps: 38750000 episode:154 

