For Seed: 3 

Rewards Tr: 820.33, Rewards Val: 791.78, Rewards Disc: 2.08, Rewards Eval: 814.21, Total Timesteps: 45750000 episode:182 

Rewards Tr: 832.53, Rewards Val: 820.15, Rewards Disc: 1.80, Rewards Eval: 787.12, Total Timesteps: 46000000 episode:183 

Rewards Tr: 812.32, Rewards Val: 799.79, Rewards Disc: 2.00, Rewards Eval: 684.36, Total Timesteps: 46250000 episode:184 

Rewards Tr: 805.32, Rewards Val: 757.62, Rewards Disc: 2.42, Rewards Eval: 807.91, Total Timesteps: 46500000 episode:185 

Rewards Tr: 780.58, Rewards Val: 789.75, Rewards Disc: 2.10, Rewards Eval: 873.52, Total Timesteps: 46750000 episode:186 

Rewards Tr: 787.62, Rewards Val: 787.36, Rewards Disc: 2.13, Rewards Eval: 819.45, Total Timesteps: 47000000 episode:187 

Rewards Tr: 793.72, Rewards Val: 785.22, Rewards Disc: 2.15, Rewards Eval: 728.15, Total Timesteps: 47250000 episode:188 

Rewards Tr: 762.84, Rewards Val: 741.98, Rewards Disc: 2.58, Rewards Eval: 718.66, Total Timesteps: 47500000 episode:189 

Rewards Tr: 743.13, Rewards Val: 781.97, Rewards Disc: 2.18, Rewards Eval: 770.17, Total Timesteps: 47750000 episode:190 

Rewards Tr: 746.27, Rewards Val: 759.64, Rewards Disc: 2.40, Rewards Eval: 661.15, Total Timesteps: 48000000 episode:191 

Rewards Tr: 787.75, Rewards Val: 760.30, Rewards Disc: 2.40, Rewards Eval: 743.04, Total Timesteps: 48250000 episode:192 

Rewards Tr: 747.85, Rewards Val: 771.71, Rewards Disc: 2.28, Rewards Eval: 874.51, Total Timesteps: 48500000 episode:193 

Rewards Tr: 762.11, Rewards Val: 768.34, Rewards Disc: 2.32, Rewards Eval: 523.07, Total Timesteps: 48750000 episode:194 

Rewards Tr: 733.59, Rewards Val: 757.67, Rewards Disc: 2.42, Rewards Eval: 755.60, Total Timesteps: 49000000 episode:195 

