For Seed: 1 

Rewards Tr: 16.76, Rewards Eval: 0.00, Total Timesteps: 8670 episode:0 
Rewards Tr: 1843.86, Rewards Eval: 1308.54, Total Timesteps: 25969450 episode:201 

Rewards Tr: 2455.56, Rewards Eval: 1537.02, Total Timesteps: 26156020 episode:202 

Rewards Tr: 1957.87, Rewards Eval: 1590.89, Total Timesteps: 26326270 episode:203 

Rewards Tr: 1998.81, Rewards Eval: 1851.05, Total Timesteps: 26495800 episode:204 

Rewards Tr: 1893.49, Rewards Eval: 1868.10, Total Timesteps: 26673090 episode:205 

Rewards Tr: 2226.91, Rewards Eval: 1943.67, Total Timesteps: 26836920 episode:206 

Rewards Tr: 2079.96, Rewards Eval: 1763.56, Total Timesteps: 26981360 episode:207 

Rewards Tr: 2097.25, Rewards Eval: 1404.85, Total Timesteps: 27132630 episode:208 

Rewards Tr: 1639.37, Rewards Eval: 1932.11, Total Timesteps: 27269130 episode:209 

Rewards Tr: 2040.45, Rewards Eval: 1811.44, Total Timesteps: 27437670 episode:210 

Rewards Tr: 2228.96, Rewards Eval: 1770.34, Total Timesteps: 27627860 episode:211 

Rewards Tr: 2100.84, Rewards Eval: 1396.49, Total Timesteps: 27794840 episode:212 

Rewards Tr: 2281.07, Rewards Eval: 1928.57, Total Timesteps: 27979320 episode:213 

Rewards Tr: 1786.41, Rewards Eval: 1824.45, Total Timesteps: 28133850 episode:214 

Rewards Tr: 1880.05, Rewards Eval: 1566.40, Total Timesteps: 28305320 episode:215 

Rewards Tr: 2200.01, Rewards Eval: 1868.08, Total Timesteps: 28488190 episode:216 

Rewards Tr: 2035.74, Rewards Eval: 1067.95, Total Timesteps: 28676560 episode:217 

Rewards Tr: 2183.46, Rewards Eval: 2321.55, Total Timesteps: 28849280 episode:218 

Rewards Tr: 1924.63, Rewards Eval: 1610.55, Total Timesteps: 28988420 episode:219 

Rewards Tr: 1816.04, Rewards Eval: 1675.97, Total Timesteps: 29135790 episode:220 

Rewards Tr: 2295.82, Rewards Eval: 1482.95, Total Timesteps: 29332080 episode:221 

Rewards Tr: 2102.43, Rewards Eval: 1799.26, Total Timesteps: 29518650 episode:222 

Rewards Tr: 1473.96, Rewards Eval: 1692.05, Total Timesteps: 29639630 episode:223 

Rewards Tr: 1885.56, Rewards Eval: 2118.41, Total Timesteps: 29789860 episode:224 

Rewards Tr: 2209.21, Rewards Eval: 1812.50, Total Timesteps: 29976670 episode:225 

Rewards Tr: 2390.87, Rewards Eval: 1877.25, Total Timesteps: 30161780 episode:226 

Rewards Tr: 2210.20, Rewards Eval: 2118.33, Total Timesteps: 30348950 episode:227 

Rewards Tr: 2097.85, Rewards Eval: 2234.84, Total Timesteps: 30521340 episode:228 

Rewards Tr: 1958.87, Rewards Eval: 1988.31, Total Timesteps: 30659870 episode:229 

Rewards Tr: 1699.21, Rewards Eval: 2006.71, Total Timesteps: 30791610 episode:230 

Rewards Tr: 2019.91, Rewards Eval: 1914.57, Total Timesteps: 30942810 episode:231 

Rewards Tr: 1848.39, Rewards Eval: 2019.63, Total Timesteps: 31078850 episode:232 

Rewards Tr: 1613.02, Rewards Eval: 2106.04, Total Timesteps: 31206390 episode:233 

Rewards Tr: 2024.65, Rewards Eval: 1559.60, Total Timesteps: 31370990 episode:234 

Rewards Tr: 2404.40, Rewards Eval: 1525.78, Total Timesteps: 31564070 episode:235 

Rewards Tr: 1896.70, Rewards Eval: 1893.06, Total Timesteps: 31703650 episode:236 

Rewards Tr: 1733.51, Rewards Eval: 1770.46, Total Timesteps: 31839830 episode:237 

Rewards Tr: 1632.58, Rewards Eval: 1847.02, Total Timesteps: 31980450 episode:238 

Rewards Tr: 2312.99, Rewards Eval: 1365.61, Total Timesteps: 32177750 episode:239 

Rewards Tr: 2003.97, Rewards Eval: 1904.76, Total Timesteps: 32336060 episode:240 

Rewards Tr: 1825.68, Rewards Eval: 1973.37, Total Timesteps: 32473710 episode:241 

Rewards Tr: 1273.41, Rewards Eval: 1401.53, Total Timesteps: 32575710 episode:242 

Rewards Tr: 1820.80, Rewards Eval: 2363.34, Total Timesteps: 32706080 episode:243 

Rewards Tr: 1864.04, Rewards Eval: 1426.57, Total Timesteps: 32846150 episode:244 

Rewards Tr: 1980.75, Rewards Eval: 1604.62, Total Timesteps: 32993750 episode:245 

Rewards Tr: 2057.25, Rewards Eval: 1546.52, Total Timesteps: 33151380 episode:246 

Rewards Tr: 2054.96, Rewards Eval: 1926.89, Total Timesteps: 33315680 episode:247 

Rewards Tr: 1685.89, Rewards Eval: 1664.37, Total Timesteps: 33441580 episode:248 

Rewards Tr: 1949.77, Rewards Eval: 1465.37, Total Timesteps: 33592100 episode:249 

Elapsed Time: 253.2 minutes 

For Seed: 2 

Rewards Tr: 11.06, Rewards Eval: 0.00, Total Timesteps: 5350 episode:0 

Rewards Tr: 18.79, Rewards Eval: 34.63, Total Timesteps: 12950 episode:1 

Rewards Tr: 26.05, Rewards Eval: 44.78, Total Timesteps: 21970 episode:2 

Rewards Tr: 41.26, Rewards Eval: 53.19, Total Timesteps: 33230 episode:3 

Rewards Tr: 54.16, Rewards Eval: 52.65, Total Timesteps: 44480 episode:4 

Rewards Tr: 64.05, Rewards Eval: 101.37, Total Timesteps: 56910 episode:5 

Rewards Tr: 75.73, Rewards Eval: 92.56, Total Timesteps: 71440 episode:6 

Rewards Tr: 90.54, Rewards Eval: 79.97, Total Timesteps: 88660 episode:7 

Rewards Tr: 96.05, Rewards Eval: 125.47, Total Timesteps: 105920 episode:8 

Rewards Tr: 107.25, Rewards Eval: 109.48, Total Timesteps: 125610 episode:9 

Rewards Tr: 117.55, Rewards Eval: 117.62, Total Timesteps: 145250 episode:10 

Rewards Tr: 123.86, Rewards Eval: 102.38, Total Timesteps: 165720 episode:11 

Rewards Tr: 141.85, Rewards Eval: 147.14, Total Timesteps: 187070 episode:12 

Rewards Tr: 150.80, Rewards Eval: 147.78, Total Timesteps: 208530 episode:13 

Rewards Tr: 167.32, Rewards Eval: 176.29, Total Timesteps: 230550 episode:14 

Rewards Tr: 176.25, Rewards Eval: 208.30, Total Timesteps: 251980 episode:15 

Rewards Tr: 187.94, Rewards Eval: 198.18, Total Timesteps: 274520 episode:16 

Rewards Tr: 187.65, Rewards Eval: 186.24, Total Timesteps: 296780 episode:17 

Rewards Tr: 197.25, Rewards Eval: 164.03, Total Timesteps: 319280 episode:18 

Rewards Tr: 203.95, Rewards Eval: 202.77, Total Timesteps: 342460 episode:19 

Rewards Tr: 210.63, Rewards Eval: 237.71, Total Timesteps: 365580 episode:20 

Rewards Tr: 217.95, Rewards Eval: 194.78, Total Timesteps: 388720 episode:21 

Rewards Tr: 223.85, Rewards Eval: 237.02, Total Timesteps: 412420 episode:22 

Rewards Tr: 226.29, Rewards Eval: 251.58, Total Timesteps: 435350 episode:23 

Rewards Tr: 235.31, Rewards Eval: 240.86, Total Timesteps: 459110 episode:24 

Rewards Tr: 243.52, Rewards Eval: 208.63, Total Timesteps: 482700 episode:25 

Rewards Tr: 246.89, Rewards Eval: 239.80, Total Timesteps: 506250 episode:26 

Rewards Tr: 248.13, Rewards Eval: 232.30, Total Timesteps: 530010 episode:27 

Rewards Tr: 254.19, Rewards Eval: 263.73, Total Timesteps: 553710 episode:28 

Rewards Tr: 257.84, Rewards Eval: 254.59, Total Timesteps: 577480 episode:29 

Rewards Tr: 258.73, Rewards Eval: 256.42, Total Timesteps: 601130 episode:30 

Rewards Tr: 266.62, Rewards Eval: 253.14, Total Timesteps: 625230 episode:31 

Rewards Tr: 266.06, Rewards Eval: 262.39, Total Timesteps: 648980 episode:32 

Rewards Tr: 276.34, Rewards Eval: 279.02, Total Timesteps: 673450 episode:33 

Rewards Tr: 288.51, Rewards Eval: 268.63, Total Timesteps: 698930 episode:34 

Rewards Tr: 298.31, Rewards Eval: 288.30, Total Timesteps: 724990 episode:35 

Rewards Tr: 315.79, Rewards Eval: 306.96, Total Timesteps: 752270 episode:36 

Rewards Tr: 326.38, Rewards Eval: 333.66, Total Timesteps: 780800 episode:37 

Rewards Tr: 341.07, Rewards Eval: 335.74, Total Timesteps: 811200 episode:38 

Rewards Tr: 360.88, Rewards Eval: 335.33, Total Timesteps: 843410 episode:39 

Rewards Tr: 388.86, Rewards Eval: 347.34, Total Timesteps: 877660 episode:40 

Rewards Tr: 412.78, Rewards Eval: 337.09, Total Timesteps: 915030 episode:41 

Rewards Tr: 446.04, Rewards Eval: 438.70, Total Timesteps: 953010 episode:42 

Rewards Tr: 494.93, Rewards Eval: 436.21, Total Timesteps: 994430 episode:43 

