
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: 131.53, Rewards Eval: 120.83, Total Timesteps: 28707550 episode:140 

Rewards Tr: 137.25, Rewards Eval: 138.98, Total Timesteps: 28991330 episode:141 

Rewards Tr: 145.64, Rewards Eval: 99.76, Total Timesteps: 29275090 episode:142 

Rewards Tr: 155.92, Rewards Eval: 139.62, Total Timesteps: 29575090 episode:143 

Rewards Tr: 140.20, Rewards Eval: 121.53, Total Timesteps: 29875090 episode:144 

Rewards Tr: 146.00, Rewards Eval: 160.18, Total Timesteps: 30175090 episode:145 

Rewards Tr: 135.94, Rewards Eval: 174.03, Total Timesteps: 30452910 episode:146 

Rewards Tr: 150.21, Rewards Eval: 163.07, Total Timesteps: 30744850 episode:147 

Rewards Tr: 148.89, Rewards Eval: 166.95, Total Timesteps: 31028340 episode:148 

Rewards Tr: 146.81, Rewards Eval: 169.86, Total Timesteps: 31320210 episode:149 

Rewards Tr: 153.67, Rewards Eval: 156.02, Total Timesteps: 31612160 episode:150 

Rewards Tr: 147.58, Rewards Eval: 154.75, Total Timesteps: 31895550 episode:151 

Rewards Tr: 138.70, Rewards Eval: 130.07, Total Timesteps: 32170490 episode:152 

Rewards Tr: 140.72, Rewards Eval: 166.71, Total Timesteps: 32462360 episode:153 

Rewards Tr: 148.50, Rewards Eval: 136.21, Total Timesteps: 32745660 episode:154 

Rewards Tr: 138.59, Rewards Eval: 160.91, Total Timesteps: 33020860 episode:155 

Rewards Tr: 154.74, Rewards Eval: 147.80, Total Timesteps: 33320860 episode:156 

Rewards Tr: 150.06, Rewards Eval: 168.07, Total Timesteps: 33612470 episode:157 

Rewards Tr: 150.18, Rewards Eval: 197.85, Total Timesteps: 33912470 episode:158 

Rewards Tr: 144.77, Rewards Eval: 152.81, Total Timesteps: 34187970 episode:159 

Rewards Tr: 148.56, Rewards Eval: 149.89, Total Timesteps: 34487970 episode:160 

Rewards Tr: 151.50, Rewards Eval: 160.01, Total Timesteps: 34787970 episode:161 

Rewards Tr: 153.15, Rewards Eval: 134.28, Total Timesteps: 35079700 episode:162 

Rewards Tr: 154.45, Rewards Eval: 129.36, Total Timesteps: 35379700 episode:163 

Rewards Tr: 154.08, Rewards Eval: 169.12, Total Timesteps: 35679700 episode:164 

Rewards Tr: 159.31, Rewards Eval: 166.62, Total Timesteps: 35979700 episode:165 

Rewards Tr: 143.60, Rewards Eval: 118.25, Total Timesteps: 36263110 episode:166 

Rewards Tr: 154.20, Rewards Eval: 187.36, Total Timesteps: 36554710 episode:167 

Rewards Tr: 156.64, Rewards Eval: 175.14, Total Timesteps: 36854710 episode:168 

