For Seed: 1 

Rewards Tr: 1918.13, Rewards Disc: 0.40, Rewards Eval: 2380.16, Total Timesteps: 30805820 episode:226 

Rewards Tr: 1852.96, Rewards Disc: -0.86, Rewards Eval: 2047.29, Total Timesteps: 31005820 episode:227 

Rewards Tr: 1839.23, Rewards Disc: 0.84, Rewards Eval: 1520.76, Total Timesteps: 31205820 episode:228 

Rewards Tr: 1829.75, Rewards Disc: -0.11, Rewards Eval: 1945.77, Total Timesteps: 31404420 episode:229 

Rewards Tr: 1651.24, Rewards Disc: 2.29, Rewards Eval: 2125.34, Total Timesteps: 31600630 episode:230 

Rewards Tr: 1792.18, Rewards Disc: 0.35, Rewards Eval: 1936.92, Total Timesteps: 31799650 episode:231 

