
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 10 

Rewards Tr: 183.41, Rewards Eval: 184.92, Total Timesteps: 58478720 episode:210 

Rewards Tr: 184.03, Rewards Eval: 177.36, Total Timesteps: 58778720 episode:211 

Rewards Tr: 181.28, Rewards Eval: 168.83, Total Timesteps: 59078720 episode:212 

Rewards Tr: 179.90, Rewards Eval: 195.98, Total Timesteps: 59378720 episode:213 

Rewards Tr: 181.98, Rewards Eval: 203.74, Total Timesteps: 59678720 episode:214 

Rewards Tr: 182.54, Rewards Eval: 185.73, Total Timesteps: 59978720 episode:215 

Rewards Tr: 181.79, Rewards Eval: 189.27, Total Timesteps: 60278720 episode:216 

Rewards Tr: 184.26, Rewards Eval: 181.76, Total Timesteps: 60578720 episode:217 

Rewards Tr: 183.66, Rewards Eval: 200.50, Total Timesteps: 60878720 episode:218 

Rewards Tr: 184.07, Rewards Eval: 167.12, Total Timesteps: 61178720 episode:219 

Rewards Tr: 185.01, Rewards Eval: 205.21, Total Timesteps: 61478720 episode:220 

Rewards Tr: 183.74, Rewards Eval: 177.99, Total Timesteps: 61778720 episode:221 

Rewards Tr: 184.15, Rewards Eval: 181.36, Total Timesteps: 62078720 episode:222 

Rewards Tr: 186.84, Rewards Eval: 179.85, Total Timesteps: 62378720 episode:223 

Rewards Tr: 181.47, Rewards Eval: 206.68, Total Timesteps: 62678720 episode:224 

Rewards Tr: 185.78, Rewards Eval: 186.41, Total Timesteps: 62978720 episode:225 

Rewards Tr: 184.98, Rewards Eval: 192.10, Total Timesteps: 63278720 episode:226 

Rewards Tr: 186.65, Rewards Eval: 195.77, Total Timesteps: 63578720 episode:227 

Rewards Tr: 187.37, Rewards Eval: 179.24, Total Timesteps: 63878720 episode:228 

Rewards Tr: 186.86, Rewards Eval: 201.51, Total Timesteps: 64178720 episode:229 

Rewards Tr: 179.92, Rewards Eval: 196.43, Total Timesteps: 64478720 episode:230 

Rewards Tr: 184.10, Rewards Eval: 190.40, Total Timesteps: 64778720 episode:231 

Rewards Tr: 185.94, Rewards Eval: 185.50, Total Timesteps: 65078720 episode:232 

Rewards Tr: 187.12, Rewards Eval: 197.48, Total Timesteps: 65378720 episode:233 

Rewards Tr: 185.94, Rewards Eval: 170.84, Total Timesteps: 65678720 episode:234 

Rewards Tr: 181.70, Rewards Eval: 183.08, Total Timesteps: 65978720 episode:235 

Rewards Tr: 185.81, Rewards Eval: 195.97, Total Timesteps: 66278720 episode:236 

Rewards Tr: 185.48, Rewards Eval: 174.90, Total Timesteps: 66578720 episode:237 

Rewards Tr: 185.01, Rewards Eval: 175.17, Total Timesteps: 66878720 episode:238 

Rewards Tr: 187.01, Rewards Eval: 183.70, Total Timesteps: 67178720 episode:239 

Rewards Tr: 185.12, Rewards Eval: 181.44, Total Timesteps: 67478720 episode:240 

Rewards Tr: 183.41, Rewards Eval: 196.59, Total Timesteps: 67778720 episode:241 

Rewards Tr: 186.09, Rewards Eval: 191.01, Total Timesteps: 68078720 episode:242 

Rewards Tr: 185.10, Rewards Eval: 168.41, Total Timesteps: 68378720 episode:243 

Rewards Tr: 184.59, Rewards Eval: 193.46, Total Timesteps: 68678720 episode:244 

Rewards Tr: 185.62, Rewards Eval: 169.64, Total Timesteps: 68978720 episode:245 

Rewards Tr: 188.09, Rewards Eval: 158.61, Total Timesteps: 69278720 episode:246 

Rewards Tr: 184.18, Rewards Eval: 181.16, Total Timesteps: 69578720 episode:247 

Rewards Tr: 186.08, Rewards Eval: 177.17, Total Timesteps: 69878720 episode:248 

Rewards Tr: 186.05, Rewards Eval: 170.07, Total Timesteps: 70178720 episode:249 

Rewards Tr: 184.47, Rewards Eval: 162.90, Total Timesteps: 70478720 episode:250 

Rewards Tr: 185.36, Rewards Eval: 172.13, Total Timesteps: 70778720 episode:251 

Rewards Tr: 184.21, Rewards Eval: 208.14, Total Timesteps: 71078720 episode:252 

Rewards Tr: 184.45, Rewards Eval: 189.75, Total Timesteps: 71378720 episode:253 

Rewards Tr: 184.10, Rewards Eval: 189.73, Total Timesteps: 71678720 episode:254 

Rewards Tr: 185.60, Rewards Eval: 176.12, Total Timesteps: 71978720 episode:255 

