For Seed: 1 

Rewards Tr: 1431.00, Rewards Disc: 0.53, Rewards Eval: 1957.29, Total Timesteps: 12436650 episode:116 

Rewards Tr: 1306.53, Rewards Disc: 0.71, Rewards Eval: 2044.98, Total Timesteps: 12591520 episode:117 

Rewards Tr: 1330.93, Rewards Disc: 0.61, Rewards Eval: 1309.93, Total Timesteps: 12730670 episode:118 

Rewards Tr: 1212.68, Rewards Disc: 0.69, Rewards Eval: 1315.55, Total Timesteps: 12860740 episode:119 

Rewards Tr: 1466.03, Rewards Disc: 0.62, Rewards Eval: 1877.39, Total Timesteps: 13030200 episode:120 

Rewards Tr: 1611.97, Rewards Disc: 0.68, Rewards Eval: 2035.21, Total Timesteps: 13217010 episode:121 

Rewards Tr: 1585.25, Rewards Disc: 0.66, Rewards Eval: 1565.30, Total Timesteps: 13387680 episode:122 

Rewards Tr: 1554.94, Rewards Disc: 0.54, Rewards Eval: 1574.21, Total Timesteps: 13557140 episode:123 

Rewards Tr: 1387.24, Rewards Disc: 0.61, Rewards Eval: 1840.94, Total Timesteps: 13706350 episode:124 

Rewards Tr: 1690.94, Rewards Disc: 0.61, Rewards Eval: 1181.84, Total Timesteps: 13882600 episode:125 

Rewards Tr: 1711.72, Rewards Disc: 0.77, Rewards Eval: 1633.06, Total Timesteps: 14066070 episode:126 

Rewards Tr: 1436.14, Rewards Disc: 0.55, Rewards Eval: 1213.27, Total Timesteps: 14233040 episode:127 

Rewards Tr: 1659.73, Rewards Disc: 0.62, Rewards Eval: 1530.01, Total Timesteps: 14407380 episode:128 

Rewards Tr: 1648.90, Rewards Disc: 0.60, Rewards Eval: 1553.54, Total Timesteps: 14582190 episode:129 

Rewards Tr: 1562.97, Rewards Disc: 0.62, Rewards Eval: 1843.27, Total Timesteps: 14750420 episode:130 

Rewards Tr: 1617.37, Rewards Disc: 0.58, Rewards Eval: 1704.49, Total Timesteps: 14915530 episode:131 

Rewards Tr: 1441.93, Rewards Disc: 0.67, Rewards Eval: 1520.77, Total Timesteps: 15089250 episode:132 

Rewards Tr: 1361.63, Rewards Disc: 0.80, Rewards Eval: 1565.09, Total Timesteps: 15257740 episode:133 

Rewards Tr: 1673.37, Rewards Disc: 0.66, Rewards Eval: 2094.68, Total Timesteps: 15429310 episode:134 

Rewards Tr: 1929.01, Rewards Disc: 0.62, Rewards Eval: 1445.48, Total Timesteps: 15622100 episode:135 

Rewards Tr: 1600.61, Rewards Disc: 0.71, Rewards Eval: 1355.81, Total Timesteps: 15786710 episode:136 

Rewards Tr: 1470.28, Rewards Disc: 0.84, Rewards Eval: 1428.17, Total Timesteps: 15961130 episode:137 

Rewards Tr: 1637.07, Rewards Disc: 0.76, Rewards Eval: 1107.81, Total Timesteps: 16135500 episode:138 

Rewards Tr: 1473.71, Rewards Disc: 0.81, Rewards Eval: 1541.00, Total Timesteps: 16291530 episode:139 

Rewards Tr: 1361.59, Rewards Disc: 0.80, Rewards Eval: 1706.74, Total Timesteps: 16455260 episode:140 

Rewards Tr: 1562.08, Rewards Disc: 0.85, Rewards Eval: 1317.56, Total Timesteps: 16634660 episode:141 

Rewards Tr: 1365.54, Rewards Disc: 0.92, Rewards Eval: 1889.77, Total Timesteps: 16810470 episode:142 

Rewards Tr: 1770.62, Rewards Disc: 0.90, Rewards Eval: 1403.92, Total Timesteps: 17007980 episode:143 

Rewards Tr: 1654.94, Rewards Disc: 0.80, Rewards Eval: 1410.55, Total Timesteps: 17193860 episode:144 

Rewards Tr: 1336.89, Rewards Disc: 0.91, Rewards Eval: 2057.66, Total Timesteps: 17359370 episode:145 

Rewards Tr: 1512.26, Rewards Disc: 0.91, Rewards Eval: 1651.68, Total Timesteps: 17536630 episode:146 

Rewards Tr: 2159.53, Rewards Disc: 0.77, Rewards Eval: 1366.54, Total Timesteps: 17732220 episode:147 

Rewards Tr: 1559.42, Rewards Disc: 0.91, Rewards Eval: 1740.96, Total Timesteps: 17914730 episode:148 

Rewards Tr: 1379.25, Rewards Disc: 0.91, Rewards Eval: 2241.46, Total Timesteps: 18073920 episode:149 

Rewards Tr: 1963.88, Rewards Disc: 0.90, Rewards Eval: 1740.99, Total Timesteps: 18269810 episode:150 

Rewards Tr: 1116.40, Rewards Disc: 0.93, Rewards Eval: 1633.72, Total Timesteps: 18396030 episode:151 

Rewards Tr: 1173.64, Rewards Disc: 0.93, Rewards Eval: 2088.64, Total Timesteps: 18537410 episode:152 

Rewards Tr: 1174.49, Rewards Disc: 0.92, Rewards Eval: 1969.21, Total Timesteps: 18668890 episode:153 

Rewards Tr: 1281.36, Rewards Disc: 0.92, Rewards Eval: 1808.70, Total Timesteps: 18813170 episode:154 

Rewards Tr: 1370.64, Rewards Disc: 0.92, Rewards Eval: 1894.57, Total Timesteps: 18986930 episode:155 

Rewards Tr: 1531.04, Rewards Disc: 0.92, Rewards Eval: 1529.66, Total Timesteps: 19174460 episode:156 

Rewards Tr: 1633.27, Rewards Disc: 0.90, Rewards Eval: 1591.38, Total Timesteps: 19354610 episode:157 

Rewards Tr: 1247.96, Rewards Disc: 0.92, Rewards Eval: 1651.20, Total Timesteps: 19507280 episode:158 

Rewards Tr: 1262.66, Rewards Disc: 0.91, Rewards Eval: 1700.81, Total Timesteps: 19659080 episode:159 

Rewards Tr: 1470.92, Rewards Disc: 0.91, Rewards Eval: 1792.93, Total Timesteps: 19841560 episode:160 

Rewards Tr: 2235.21, Rewards Disc: 0.86, Rewards Eval: 1191.74, Total Timesteps: 20039250 episode:161 

Rewards Tr: 1152.06, Rewards Disc: 0.91, Rewards Eval: 1752.69, Total Timesteps: 20170670 episode:162 

Rewards Tr: 1177.02, Rewards Disc: 0.90, Rewards Eval: 1184.62, Total Timesteps: 20309370 episode:163 

Rewards Tr: 1290.82, Rewards Disc: 0.91, Rewards Eval: 1533.74, Total Timesteps: 20470940 episode:164 

Rewards Tr: 1342.93, Rewards Disc: 0.90, Rewards Eval: 1815.89, Total Timesteps: 20624650 episode:165 

