
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.96, Rewards Eval: 0.00, Total Timesteps: 8460 episode:0 
Rewards Tr: 527.70, Rewards Eval: 532.52, Total Timesteps: 39032100 episode:176 

Rewards Tr: 539.67, Rewards Eval: 489.60, Total Timesteps: 39202630 episode:177 

Rewards Tr: 533.77, Rewards Eval: 535.26, Total Timesteps: 39369880 episode:178 

Rewards Tr: 535.61, Rewards Eval: 582.91, Total Timesteps: 39539780 episode:179 

Rewards Tr: 520.51, Rewards Eval: 459.90, Total Timesteps: 39693620 episode:180 

Rewards Tr: 487.50, Rewards Eval: 489.73, Total Timesteps: 39835860 episode:181 

Rewards Tr: 484.64, Rewards Eval: 417.30, Total Timesteps: 39967340 episode:182 

Rewards Tr: 444.35, Rewards Eval: 425.22, Total Timesteps: 40090550 episode:183 

Rewards Tr: 425.57, Rewards Eval: 424.09, Total Timesteps: 40198830 episode:184 

Rewards Tr: 409.53, Rewards Eval: 398.20, Total Timesteps: 40303180 episode:185 

Rewards Tr: 400.40, Rewards Eval: 344.00, Total Timesteps: 40403460 episode:186 

Rewards Tr: 387.34, Rewards Eval: 361.65, Total Timesteps: 40507160 episode:187 

Rewards Tr: 379.28, Rewards Eval: 303.69, Total Timesteps: 40608220 episode:188 

Rewards Tr: 341.33, Rewards Eval: 326.82, Total Timesteps: 40685120 episode:189 

Rewards Tr: 338.40, Rewards Eval: 287.51, Total Timesteps: 40762230 episode:190 

Rewards Tr: 329.80, Rewards Eval: 333.34, Total Timesteps: 40851370 episode:191 

Rewards Tr: 299.04, Rewards Eval: 300.59, Total Timesteps: 40922020 episode:192 

Rewards Tr: 292.41, Rewards Eval: 359.87, Total Timesteps: 40992820 episode:193 

Rewards Tr: 314.04, Rewards Eval: 268.19, Total Timesteps: 41065120 episode:194 

Rewards Tr: 323.60, Rewards Eval: 304.75, Total Timesteps: 41143400 episode:195 

Rewards Tr: 325.76, Rewards Eval: 347.41, Total Timesteps: 41237460 episode:196 

Rewards Tr: 339.78, Rewards Eval: 321.60, Total Timesteps: 41344830 episode:197 

Rewards Tr: 332.39, Rewards Eval: 318.24, Total Timesteps: 41431570 episode:198 

Rewards Tr: 332.82, Rewards Eval: 258.89, Total Timesteps: 41517840 episode:199 

Rewards Tr: 321.13, Rewards Eval: 357.03, Total Timesteps: 41589520 episode:200 

Rewards Tr: 335.58, Rewards Eval: 329.93, Total Timesteps: 41672490 episode:201 

Rewards Tr: 356.28, Rewards Eval: 348.13, Total Timesteps: 41766950 episode:202 

Rewards Tr: 355.91, Rewards Eval: 317.25, Total Timesteps: 41859120 episode:203 

Rewards Tr: 388.62, Rewards Eval: 354.87, Total Timesteps: 41955510 episode:204 

Rewards Tr: 421.40, Rewards Eval: 245.84, Total Timesteps: 42060720 episode:205 

Rewards Tr: 471.08, Rewards Eval: 721.60, Total Timesteps: 42166760 episode:206 

Rewards Tr: 617.73, Rewards Eval: 827.44, Total Timesteps: 42339620 episode:207 

Rewards Tr: 761.72, Rewards Eval: 995.77, Total Timesteps: 42576670 episode:208 

Rewards Tr: 912.50, Rewards Eval: 913.31, Total Timesteps: 42860120 episode:209 

Rewards Tr: 923.15, Rewards Eval: 720.82, Total Timesteps: 43149280 episode:210 

Rewards Tr: 860.66, Rewards Eval: 883.91, Total Timesteps: 43407590 episode:211 

Rewards Tr: 701.36, Rewards Eval: 637.04, Total Timesteps: 43585740 episode:212 

Rewards Tr: 608.96, Rewards Eval: 491.68, Total Timesteps: 43729040 episode:213 

Rewards Tr: 596.69, Rewards Eval: 723.00, Total Timesteps: 43855230 episode:214 

Rewards Tr: 675.74, Rewards Eval: 758.03, Total Timesteps: 44006900 episode:215 

Rewards Tr: 803.95, Rewards Eval: 1129.21, Total Timesteps: 44197050 episode:216 

Rewards Tr: 882.58, Rewards Eval: 1134.82, Total Timesteps: 44419640 episode:217 

Rewards Tr: 952.77, Rewards Eval: 877.63, Total Timesteps: 44673420 episode:218 

Rewards Tr: 1037.85, Rewards Eval: 1145.08, Total Timesteps: 44938450 episode:219 

Rewards Tr: 1029.45, Rewards Eval: 1067.34, Total Timesteps: 45185860 episode:220 

Rewards Tr: 914.07, Rewards Eval: 949.17, Total Timesteps: 45398170 episode:221 

Rewards Tr: 906.46, Rewards Eval: 955.57, Total Timesteps: 45604830 episode:222 

Rewards Tr: 906.11, Rewards Eval: 990.91, Total Timesteps: 45813960 episode:223 

Rewards Tr: 832.25, Rewards Eval: 710.95, Total Timesteps: 46001280 episode:224 

Rewards Tr: 813.64, Rewards Eval: 786.79, Total Timesteps: 46167120 episode:225 

Rewards Tr: 845.57, Rewards Eval: 719.94, Total Timesteps: 46359310 episode:226 

Rewards Tr: 877.77, Rewards Eval: 1377.63, Total Timesteps: 46560900 episode:227 

Rewards Tr: 886.53, Rewards Eval: 1134.65, Total Timesteps: 46754850 episode:228 

Rewards Tr: 904.92, Rewards Eval: 836.57, Total Timesteps: 46947920 episode:229 

Rewards Tr: 869.39, Rewards Eval: 870.35, Total Timesteps: 47155230 episode:230 

Rewards Tr: 937.72, Rewards Eval: 922.21, Total Timesteps: 47374330 episode:231 

Rewards Tr: 946.50, Rewards Eval: 695.62, Total Timesteps: 47591960 episode:232 

Rewards Tr: 967.44, Rewards Eval: 1013.55, Total Timesteps: 47792920 episode:233 

Rewards Tr: 937.70, Rewards Eval: 1142.46, Total Timesteps: 48000370 episode:234 

Rewards Tr: 923.24, Rewards Eval: 837.19, Total Timesteps: 48193820 episode:235 

Rewards Tr: 905.84, Rewards Eval: 798.63, Total Timesteps: 48388190 episode:236 

Rewards Tr: 862.73, Rewards Eval: 627.66, Total Timesteps: 48573640 episode:237 

Rewards Tr: 890.39, Rewards Eval: 1170.93, Total Timesteps: 48761470 episode:238 

Rewards Tr: 937.65, Rewards Eval: 1089.52, Total Timesteps: 48952120 episode:239 

Rewards Tr: 931.10, Rewards Eval: 1215.25, Total Timesteps: 49137570 episode:240 

Rewards Tr: 971.01, Rewards Eval: 909.59, Total Timesteps: 49344710 episode:241 

Rewards Tr: 926.14, Rewards Eval: 993.92, Total Timesteps: 49539560 episode:242 

Rewards Tr: 958.85, Rewards Eval: 1320.57, Total Timesteps: 49766710 episode:243 

Rewards Tr: 1045.43, Rewards Eval: 965.41, Total Timesteps: 50004230 episode:244 

Rewards Tr: 1152.55, Rewards Eval: 865.11, Total Timesteps: 50267610 episode:245 

Rewards Tr: 1064.06, Rewards Eval: 918.39, Total Timesteps: 50495360 episode:246 

Rewards Tr: 990.48, Rewards Eval: 795.79, Total Timesteps: 50694380 episode:247 

Rewards Tr: 850.53, Rewards Eval: 893.27, Total Timesteps: 50860450 episode:248 

Rewards Tr: 851.91, Rewards Eval: 942.52, Total Timesteps: 51030050 episode:249 

Rewards Tr: 813.14, Rewards Eval: 774.46, Total Timesteps: 51180020 episode:250 

Rewards Tr: 859.40, Rewards Eval: 1246.89, Total Timesteps: 51356790 episode:251 

Rewards Tr: 1004.05, Rewards Eval: 893.44, Total Timesteps: 51579910 episode:252 

Rewards Tr: 1080.62, Rewards Eval: 1080.75, Total Timesteps: 51803440 episode:253 

Rewards Tr: 1159.73, Rewards Eval: 1048.58, Total Timesteps: 52065200 episode:254 

Rewards Tr: 1207.14, Rewards Eval: 1245.11, Total Timesteps: 52342180 episode:255 

Rewards Tr: 1218.00, Rewards Eval: 758.70, Total Timesteps: 52621570 episode:256 

Rewards Tr: 1069.66, Rewards Eval: 944.83, Total Timesteps: 52884840 episode:257 

Rewards Tr: 995.65, Rewards Eval: 708.93, Total Timesteps: 53108480 episode:258 

Rewards Tr: 907.96, Rewards Eval: 948.43, Total Timesteps: 53288770 episode:259 

Rewards Tr: 928.96, Rewards Eval: 809.34, Total Timesteps: 53471220 episode:260 

Rewards Tr: 906.18, Rewards Eval: 1234.43, Total Timesteps: 53657690 episode:261 

Rewards Tr: 969.27, Rewards Eval: 692.98, Total Timesteps: 53864430 episode:262 

