For Seed: 101 

Rewards Tr: 136.54, Rewards Disc: 0.04, Rewards Eval: 120.28, Total Timesteps: 59317730 episode:219 

Rewards Tr: 140.10, Rewards Disc: -0.00, Rewards Eval: 162.27, Total Timesteps: 59617730 episode:220 

Rewards Tr: 142.47, Rewards Disc: -0.02, Rewards Eval: 114.13, Total Timesteps: 59917730 episode:221 

Rewards Tr: 139.70, Rewards Disc: 0.02, Rewards Eval: 147.21, Total Timesteps: 60217730 episode:222 

Rewards Tr: 141.57, Rewards Disc: 0.02, Rewards Eval: 139.88, Total Timesteps: 60517730 episode:223 

Rewards Tr: 140.96, Rewards Disc: -0.01, Rewards Eval: 146.18, Total Timesteps: 60817730 episode:224 

Rewards Tr: 142.54, Rewards Disc: -0.00, Rewards Eval: 147.77, Total Timesteps: 61117730 episode:225 

Rewards Tr: 150.24, Rewards Disc: -0.01, Rewards Eval: 170.18, Total Timesteps: 61417730 episode:226 

Rewards Tr: 150.76, Rewards Disc: -0.00, Rewards Eval: 139.47, Total Timesteps: 61717730 episode:227 

Rewards Tr: 151.29, Rewards Disc: 0.02, Rewards Eval: 155.65, Total Timesteps: 62017730 episode:228 

Rewards Tr: 155.17, Rewards Disc: -0.01, Rewards Eval: 163.88, Total Timesteps: 62317730 episode:229 

Rewards Tr: 153.85, Rewards Disc: 0.06, Rewards Eval: 135.66, Total Timesteps: 62617730 episode:230 

Rewards Tr: 156.37, Rewards Disc: 0.03, Rewards Eval: 142.88, Total Timesteps: 62917730 episode:231 

Rewards Tr: 158.71, Rewards Disc: 0.01, Rewards Eval: 181.46, Total Timesteps: 63217730 episode:232 

Rewards Tr: 159.47, Rewards Disc: 0.03, Rewards Eval: 146.17, Total Timesteps: 63517730 episode:233 

Rewards Tr: 162.83, Rewards Disc: -0.02, Rewards Eval: 164.73, Total Timesteps: 63817730 episode:234 

Rewards Tr: 158.59, Rewards Disc: 0.05, Rewards Eval: 179.86, Total Timesteps: 64117730 episode:235 

