For Seed: 1 

Rewards Tr: 149.84, Rewards Eval: 148.21, Total Timesteps: 22128540 episode:130 

Rewards Tr: 151.32, Rewards Eval: 107.30, Total Timesteps: 22328540 episode:131 

Rewards Tr: 155.37, Rewards Eval: 125.33, Total Timesteps: 22528540 episode:132 

Rewards Tr: 157.34, Rewards Eval: 124.18, Total Timesteps: 22728540 episode:133 

Rewards Tr: 153.02, Rewards Eval: 138.06, Total Timesteps: 22928540 episode:134 

Rewards Tr: 153.46, Rewards Eval: 137.30, Total Timesteps: 23128540 episode:135 

Rewards Tr: 161.31, Rewards Eval: 140.73, Total Timesteps: 23328540 episode:136 

Rewards Tr: 156.39, Rewards Eval: 136.71, Total Timesteps: 23528540 episode:137 

Rewards Tr: 159.21, Rewards Eval: 133.87, Total Timesteps: 23728540 episode:138 

Rewards Tr: 159.72, Rewards Eval: 164.40, Total Timesteps: 23928540 episode:139 

Rewards Tr: 159.19, Rewards Eval: 161.56, Total Timesteps: 24128540 episode:140 

Rewards Tr: 159.29, Rewards Eval: 161.67, Total Timesteps: 24328540 episode:141 

Rewards Tr: 161.26, Rewards Eval: 119.53, Total Timesteps: 24528540 episode:142 

Rewards Tr: 159.77, Rewards Eval: 125.87, Total Timesteps: 24728540 episode:143 

Rewards Tr: 162.16, Rewards Eval: 124.41, Total Timesteps: 24928540 episode:144 

Rewards Tr: 154.45, Rewards Eval: 119.69, Total Timesteps: 25128540 episode:145 

Rewards Tr: 164.88, Rewards Eval: 148.28, Total Timesteps: 25328540 episode:146 

Rewards Tr: 160.62, Rewards Eval: 119.34, Total Timesteps: 25528540 episode:147 

Rewards Tr: 162.89, Rewards Eval: 137.35, Total Timesteps: 25728540 episode:148 

Rewards Tr: 158.72, Rewards Eval: 156.16, Total Timesteps: 25928540 episode:149 

Rewards Tr: 158.54, Rewards Eval: 137.90, Total Timesteps: 26128540 episode:150 

Rewards Tr: 158.16, Rewards Eval: 98.00, Total Timesteps: 26328540 episode:151 

Rewards Tr: 164.58, Rewards Eval: 122.58, Total Timesteps: 26528540 episode:152 

Rewards Tr: 164.00, Rewards Eval: 150.23, Total Timesteps: 26728540 episode:153 

Rewards Tr: 158.96, Rewards Eval: 121.65, Total Timesteps: 26928540 episode:154 

Rewards Tr: 162.31, Rewards Eval: 156.94, Total Timesteps: 27128540 episode:155 

Rewards Tr: 161.99, Rewards Eval: 137.48, Total Timesteps: 27328540 episode:156 

Rewards Tr: 161.10, Rewards Eval: 140.37, Total Timesteps: 27528540 episode:157 

Rewards Tr: 160.39, Rewards Eval: 153.37, Total Timesteps: 27728540 episode:158 

Rewards Tr: 163.88, Rewards Eval: 159.93, Total Timesteps: 27928540 episode:159 

