For Seed: 101 

Rewards Tr: 160.22, Rewards Val: 163.37, Rewards Disc: 0.01, Rewards Eval: 139.66, Total Timesteps: 81341230 episode:157 

Rewards Tr: 156.21, Rewards Val: 159.62, Rewards Disc: 0.02, Rewards Eval: 150.45, Total Timesteps: 81941230 episode:158 

Rewards Tr: 162.42, Rewards Val: 159.28, Rewards Disc: 0.06, Rewards Eval: 179.68, Total Timesteps: 82541230 episode:159 

Rewards Tr: 158.65, Rewards Val: 160.43, Rewards Disc: 0.04, Rewards Eval: 180.72, Total Timesteps: 83141230 episode:160 

Rewards Tr: 159.76, Rewards Val: 162.70, Rewards Disc: 0.05, Rewards Eval: 153.62, Total Timesteps: 83741230 episode:161 

Rewards Tr: 165.35, Rewards Val: 161.21, Rewards Disc: 0.06, Rewards Eval: 130.28, Total Timesteps: 84341230 episode:162 

Rewards Tr: 161.17, Rewards Val: 160.78, Rewards Disc: 0.02, Rewards Eval: 166.80, Total Timesteps: 84941230 episode:163 

Rewards Tr: 165.05, Rewards Val: 163.52, Rewards Disc: -0.00, Rewards Eval: 123.11, Total Timesteps: 85541230 episode:164 

Rewards Tr: 163.90, Rewards Val: 165.36, Rewards Disc: 0.03, Rewards Eval: 166.19, Total Timesteps: 86141230 episode:165 

Rewards Tr: 159.46, Rewards Val: 159.98, Rewards Disc: 0.08, Rewards Eval: 143.89, Total Timesteps: 86741230 episode:166 

Rewards Tr: 161.63, Rewards Val: 162.80, Rewards Disc: 0.04, Rewards Eval: 125.61, Total Timesteps: 87341230 episode:167 

Rewards Tr: 159.86, Rewards Val: 160.99, Rewards Disc: 0.03, Rewards Eval: 126.77, Total Timesteps: 87941230 episode:168 

Rewards Tr: 162.23, Rewards Val: 163.38, Rewards Disc: -0.01, Rewards Eval: 152.42, Total Timesteps: 88541230 episode:169 

Rewards Tr: 161.91, Rewards Val: 160.26, Rewards Disc: 0.08, Rewards Eval: 173.52, Total Timesteps: 89141230 episode:170 

Rewards Tr: 158.06, Rewards Val: 161.76, Rewards Disc: 0.04, Rewards Eval: 178.27, Total Timesteps: 89741230 episode:171 

Rewards Tr: 160.60, Rewards Val: 161.10, Rewards Disc: 0.05, Rewards Eval: 146.80, Total Timesteps: 90341230 episode:172 

Rewards Tr: 156.26, Rewards Val: 161.67, Rewards Disc: -0.01, Rewards Eval: 159.68, Total Timesteps: 90941230 episode:173 

Rewards Tr: 155.91, Rewards Val: 152.19, Rewards Disc: 0.11, Rewards Eval: 192.50, Total Timesteps: 91541230 episode:174 

Rewards Tr: 158.67, Rewards Val: 156.10, Rewards Disc: 0.11, Rewards Eval: 134.24, Total Timesteps: 92141230 episode:175 

Rewards Tr: 156.73, Rewards Val: 153.45, Rewards Disc: 0.07, Rewards Eval: 163.43, Total Timesteps: 92741230 episode:176 

