For Seed: 1 

2022-02-12 21:35:46.667483: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:35:52.277334: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 1876.09, Rewards Disc: 0.80, Rewards Eval: 2652.70, Total Timesteps: 7185080 episode:200 

Rewards Tr: 2141.57, Rewards Disc: 0.74, Rewards Eval: 1279.52, Total Timesteps: 7235080 episode:201 

Rewards Tr: 2192.83, Rewards Disc: 0.74, Rewards Eval: 2184.65, Total Timesteps: 7285080 episode:202 

Rewards Tr: 2094.70, Rewards Disc: 0.74, Rewards Eval: 2543.38, Total Timesteps: 7335080 episode:203 

Rewards Tr: 1905.81, Rewards Disc: 0.74, Rewards Eval: 2986.72, Total Timesteps: 7385080 episode:204 

Rewards Tr: 1854.91, Rewards Disc: 0.76, Rewards Eval: 1655.04, Total Timesteps: 7435080 episode:205 

Rewards Tr: 1581.95, Rewards Disc: 0.75, Rewards Eval: 2240.92, Total Timesteps: 7485080 episode:206 

Rewards Tr: 1705.80, Rewards Disc: 0.79, Rewards Eval: 2298.11, Total Timesteps: 7535080 episode:207 

Rewards Tr: 1596.32, Rewards Disc: 0.83, Rewards Eval: 2263.33, Total Timesteps: 7585080 episode:208 

Rewards Tr: 1680.54, Rewards Disc: 0.78, Rewards Eval: 2467.51, Total Timesteps: 7635080 episode:209 

Rewards Tr: 1961.17, Rewards Disc: 0.78, Rewards Eval: 1802.54, Total Timesteps: 7685080 episode:210 

Rewards Tr: 1957.57, Rewards Disc: 0.72, Rewards Eval: 2175.43, Total Timesteps: 7735080 episode:211 

Rewards Tr: 2079.30, Rewards Disc: 0.69, Rewards Eval: 2164.32, Total Timesteps: 7785080 episode:212 

