For Seed: 1 

2022-02-12 21:15:05.670137: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:15:09.972670: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 1349.04, Rewards Val: 1454.86, Rewards Disc: 0.57, Rewards Eval: 1786.71, Total Timesteps: 7266740 episode:116 

Rewards Tr: 1950.20, Rewards Val: 2038.90, Rewards Disc: 0.72, Rewards Eval: 2551.54, Total Timesteps: 7366740 episode:117 

Rewards Tr: 2033.96, Rewards Val: 1561.36, Rewards Disc: 0.71, Rewards Eval: 1437.42, Total Timesteps: 7466740 episode:118 

Rewards Tr: 1863.72, Rewards Val: 1978.36, Rewards Disc: 0.83, Rewards Eval: 1922.30, Total Timesteps: 7566740 episode:119 

Rewards Tr: 1807.33, Rewards Val: 1704.96, Rewards Disc: 0.80, Rewards Eval: 1489.47, Total Timesteps: 7666740 episode:120 

Rewards Tr: 1582.52, Rewards Val: 1596.94, Rewards Disc: 0.69, Rewards Eval: 2010.43, Total Timesteps: 7766740 episode:121 

Rewards Tr: 1519.94, Rewards Val: 1612.24, Rewards Disc: 0.69, Rewards Eval: 816.94, Total Timesteps: 7866740 episode:122 

Rewards Tr: 1824.48, Rewards Val: 1941.05, Rewards Disc: 0.73, Rewards Eval: 1380.28, Total Timesteps: 7966740 episode:123 

Rewards Tr: 1899.92, Rewards Val: 1892.38, Rewards Disc: 0.69, Rewards Eval: 2084.31, Total Timesteps: 8066740 episode:124 

Rewards Tr: 1894.43, Rewards Val: 2094.78, Rewards Disc: 0.70, Rewards Eval: 2050.32, Total Timesteps: 8166740 episode:125 

Rewards Tr: 2053.41, Rewards Val: 2091.04, Rewards Disc: 0.71, Rewards Eval: 2361.07, Total Timesteps: 8266740 episode:126 

Rewards Tr: 1848.17, Rewards Val: 1896.34, Rewards Disc: 0.65, Rewards Eval: 1565.61, Total Timesteps: 8366740 episode:127 

Rewards Tr: 2101.45, Rewards Val: 2200.95, Rewards Disc: 0.76, Rewards Eval: 1576.78, Total Timesteps: 8466740 episode:128 

