For Seed: 1 

2022-02-08 19:40:24.519815: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:40:28.934812: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:0a:00.0, compute capability: 7.0
Rewards Tr: 6.57, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 
Rewards Tr: 992.24, Rewards Eval: 935.08, Total Timesteps: 1266590 episode:104 

Rewards Tr: 641.99, Rewards Eval: 883.12, Total Timesteps: 1283440 episode:105 

Rewards Tr: 993.79, Rewards Eval: 656.99, Total Timesteps: 1314520 episode:106 

Rewards Tr: 842.82, Rewards Eval: 893.90, Total Timesteps: 1338100 episode:107 

Rewards Tr: 880.67, Rewards Eval: 624.00, Total Timesteps: 1365500 episode:108 

Rewards Tr: 838.71, Rewards Eval: 1223.09, Total Timesteps: 1393000 episode:109 

Rewards Tr: 879.65, Rewards Eval: 1485.32, Total Timesteps: 1417720 episode:110 

Rewards Tr: 1005.39, Rewards Eval: 992.17, Total Timesteps: 1447720 episode:111 

Rewards Tr: 1044.41, Rewards Eval: 1426.20, Total Timesteps: 1479450 episode:112 

Rewards Tr: 1186.76, Rewards Eval: 567.21, Total Timesteps: 1513060 episode:113 

Rewards Tr: 1539.65, Rewards Eval: 859.61, Total Timesteps: 1556290 episode:114 

Rewards Tr: 1080.07, Rewards Eval: 888.45, Total Timesteps: 1585590 episode:115 

Rewards Tr: 1342.32, Rewards Eval: 558.06, Total Timesteps: 1621630 episode:116 

Rewards Tr: 1064.89, Rewards Eval: 1643.40, Total Timesteps: 1652820 episode:117 

Rewards Tr: 953.47, Rewards Eval: 1292.98, Total Timesteps: 1682350 episode:118 

Rewards Tr: 641.88, Rewards Eval: 1114.31, Total Timesteps: 1701430 episode:119 

Rewards Tr: 1044.19, Rewards Eval: 677.23, Total Timesteps: 1732220 episode:120 

Rewards Tr: 1483.00, Rewards Eval: 709.80, Total Timesteps: 1770910 episode:121 

Rewards Tr: 1119.90, Rewards Eval: 1603.61, Total Timesteps: 1804730 episode:122 

Rewards Tr: 776.66, Rewards Eval: 1344.36, Total Timesteps: 1826420 episode:123 

