For Seed: 1 

2022-02-08 19:10:32.917112: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:10:37.052408: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78116 MB memory:  -> device: 0, name: NVIDIA A100-SXM-80GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2022-02-08 19:10:38.295869: I tensorflow/stream_executor/cuda/cuda_blas.cc:1760] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
Rewards Tr: 6.65, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 
Rewards Tr: 2801.21, Rewards Eval: 1374.46, Total Timesteps: 3860700 episode:183 

Rewards Tr: 2452.51, Rewards Eval: 2127.36, Total Timesteps: 3910700 episode:184 

Rewards Tr: 2666.45, Rewards Eval: 2947.19, Total Timesteps: 3960700 episode:185 

Rewards Tr: 2609.67, Rewards Eval: 3158.35, Total Timesteps: 4010700 episode:186 

Rewards Tr: 2811.94, Rewards Eval: 2428.30, Total Timesteps: 4060700 episode:187 

Rewards Tr: 2639.35, Rewards Eval: 3190.94, Total Timesteps: 4110700 episode:188 

Rewards Tr: 2581.57, Rewards Eval: 2304.10, Total Timesteps: 4160700 episode:189 

Rewards Tr: 2740.13, Rewards Eval: 2222.76, Total Timesteps: 4210700 episode:190 

Rewards Tr: 2597.89, Rewards Eval: 2439.64, Total Timesteps: 4260700 episode:191 

Rewards Tr: 2727.06, Rewards Eval: 2551.32, Total Timesteps: 4310700 episode:192 

Rewards Tr: 2684.98, Rewards Eval: 3375.07, Total Timesteps: 4360700 episode:193 

Rewards Tr: 2522.43, Rewards Eval: 3209.17, Total Timesteps: 4410700 episode:194 

Rewards Tr: 2869.47, Rewards Eval: 3403.79, Total Timesteps: 4460700 episode:195 

Rewards Tr: 2631.91, Rewards Eval: 2421.44, Total Timesteps: 4510700 episode:196 

Rewards Tr: 2719.16, Rewards Eval: 3018.56, Total Timesteps: 4560700 episode:197 

Rewards Tr: 2483.01, Rewards Eval: 1537.55, Total Timesteps: 4610700 episode:198 

Rewards Tr: 2388.82, Rewards Eval: 3086.48, Total Timesteps: 4660700 episode:199 

Rewards Tr: 2734.08, Rewards Eval: 2362.49, Total Timesteps: 4710700 episode:200 

Rewards Tr: 2761.34, Rewards Eval: 2840.49, Total Timesteps: 4760700 episode:201 

Rewards Tr: 2884.99, Rewards Eval: 2598.96, Total Timesteps: 4810700 episode:202 

Rewards Tr: 2795.02, Rewards Eval: 3158.88, Total Timesteps: 4860700 episode:203 

Rewards Tr: 2821.78, Rewards Eval: 2869.38, Total Timesteps: 4910700 episode:204 

Rewards Tr: 2837.34, Rewards Eval: 2085.70, Total Timesteps: 4960700 episode:205 

Rewards Tr: 2164.01, Rewards Eval: 3232.80, Total Timesteps: 5010700 episode:206 

Rewards Tr: 2660.82, Rewards Eval: 2961.91, Total Timesteps: 5060700 episode:207 

Rewards Tr: 2819.63, Rewards Eval: 2771.38, Total Timesteps: 5110700 episode:208 

Rewards Tr: 2462.50, Rewards Eval: 3127.12, Total Timesteps: 5160700 episode:209 

Rewards Tr: 2471.94, Rewards Eval: 3376.32, Total Timesteps: 5210700 episode:210 

Rewards Tr: 2862.54, Rewards Eval: 2750.52, Total Timesteps: 5260700 episode:211 

Rewards Tr: 2572.40, Rewards Eval: 2471.75, Total Timesteps: 5310700 episode:212 

Rewards Tr: 2743.51, Rewards Eval: 2540.40, Total Timesteps: 5360700 episode:213 

Rewards Tr: 2720.80, Rewards Eval: 3244.12, Total Timesteps: 5410700 episode:214 

Rewards Tr: 2925.54, Rewards Eval: 3167.21, Total Timesteps: 5460700 episode:215 

Rewards Tr: 2931.95, Rewards Eval: 2853.09, Total Timesteps: 5510700 episode:216 

Rewards Tr: 2686.05, Rewards Eval: 3354.73, Total Timesteps: 5560700 episode:217 

Rewards Tr: 3177.95, Rewards Eval: 3192.22, Total Timesteps: 5610700 episode:218 

